26106076 | Association | Neoplasms | mic
32665270 | Association | Infections | HLA-C
32665270 | Negative_Correlation | vpu | HLA-C
32724101 | Association | Autoimmune Diseases | CTSH
32724101 | Association | CD59 Deficiency | CTSH
26041808 | Association | HCST | KLRK1
26041808 | Bind | KLRK1 | RAET1G
26041808 | Bind | MICA | KLRK1
26041808 | Bind | KLRK1 | ULBP2
26041808 | Bind | KLRK1 | ULBP3
26041808 | Bind | RAET1L | KLRK1
26041808 | Bind | KLRK1 | MICB
26041808 | Association | Communicable Diseases | KLRK1
26041808 | Bind | KLRK1 | ULBP1
26041808 | Association | Neoplasms | KLRK1
26041808 | Bind | RAET1E | KLRK1
26041808 | Association | Autoimmune Diseases | KLRK1
37063893 | Association | Leukemia Large Granular Lymphocytic | CD8A
37063893 | Association | KLRD1 | CD8A
37063893 | Association | Lymphoproliferative Disorders | CD8A
37063893 | Association | Myositis Inclusion Body | CD8A
28169232 | Association | Neoplasms | MICB
28169232 | Association | Neoplasms | MICA
35074904 | Negative_Correlation | Ipilimumab | Melanoma
35074904 | Negative_Correlation | Ipilimumab | Neoplasms Unknown Primary
35074904 | Association | Neoplasms Unknown Primary | CD4
35074904 | Association | Neoplasms Unknown Primary | CD8A
35074904 | Association | Neoplasms Unknown Primary | IL2RA
35730281 | Association | Acquired Immunodeficiency Syndrome | HLA-C
24718277 | Negative_Correlation | Stat3 | Pias3
24718277 | Association | Graft vs Host Disease | Il17a
24718277 | Positive_Correlation | Cr2 | Pias3
24718277 | Association | Graft vs Host Disease | Stat3
24718277 | Negative_Correlation | Graft vs Host Disease | Pias3
24718277 | Positive_Correlation | Fcer2a | Pias3
21841135 | Association | Bbc3 | Trp53-ps
21841135 | Association | Zbtb17 | Trav6-3
21841135 | Positive_Correlation | Cd4 | Zbtb17
21841135 | Association | Trp53-ps | Pmaip1
21841135 | Association | Tcrb | Zbtb17
21841135 | Association | Trp53-ps | Trav6-3
21841135 | Negative_Correlation | Zbtb17 | Pmaip1
21841135 | Association | Cdkn1a | Trp53-ps
21841135 | Negative_Correlation | Bbc3 | Zbtb17
21841135 | Association | Trp53-ps | Zbtb17
31759187 | Positive_Correlation | ITIH4 | FURIN
31759187 | Association | rev | PACS1
31759187 | Association | ITIH4 | PACS1
31759187 | Association | gag-pol | PACS1
31759187 | Association | rev | XPO1
31759187 | Positive_Correlation | TMED2 | PACS1
31759187 | Association | FURIN | PACS1
31759187 | Association | PACS1 | XPO1
31759187 | Positive_Correlation | ENPEP | FURIN
37766162 | Positive_Correlation | TLR4 agonist G100 | Tlr4
37766162 | Association | Toxoplasmosis Congenital | Cd4
37766162 | Association | Toxoplasmosis | Cd4
37456859 | Association | HIV Infections | rs59440261
37456859 | Association | HIV Infections | MICA
37456859 | Association | HIV Infections | rs112243036
37456859 | Association | HIV Infections | rs2395029
37456859 | Association | HIV Infections | rs3815087
37456859 | Association | HIV Infections | PSORS1C1
37456859 | Association | HIV Infections | CD4
37456859 | Association | HIV Infections | HLA-B
37456859 | Association | HIV Infections | HCP5
35659704 | Association | Neoplasms | IFNG
35659704 | Negative_Correlation | Ipilimumab | Melanoma
35659704 | Association | Melanoma | CTLA4
35659704 | Negative_Correlation | Ipilimumab | CTLA4
35659704 | Association | IFNG | CD8A
33535183 | Association | Carcinoma Hepatocellular | KPNA4
33535183 | Association | KPNA4 | CD4
33535183 | Association | KPNA4 | CD8A
38488328 | Association | Dandruff | MIF
38488328 | Association | Dandruff | HLA-DPB1
38488328 | Positive_Correlation | Dandruff | CD4
38488328 | Association | Dandruff | CD1A
38488328 | Positive_Correlation | Dandruff | CD8A
38488328 | Association | Dandruff | HLA-C
38488328 | Association | Dandruff | TAP1
23596301 | Association | PTPN11 | CD4
23596301 | Association | PIAS3 | CD4
23596301 | Positive_Correlation | Simian Acquired Immunodeficiency Syndrome | PIAS3
23596301 | Association | Infections | LBP
23596301 | Association | CD4 | SOCS3
23596301 | Association | Simian Acquired Immunodeficiency Syndrome | SOCS3
23596301 | Association | Simian Acquired Immunodeficiency Syndrome | PTPN11
38492406 | Association | HLA-C | CD4
38492406 | Association | HLA-C | CD8A
24266436 | Association | CCR5 | CD4
31411976 | Association | Urinary Bladder Neoplasms | KIR2DL5A
31411976 | Association | Non-Muscle Invasive Bladder Neoplasms | KIR2DL5A
31411976 | Association | Non-Muscle Invasive Bladder Neoplasms | KIR2DL1
31411976 | Association | Urinary Bladder Neoplasms | KIR2DL1
31411976 | Association | Urinary Bladder Neoplasms | CD226
20966256 | Bind | Foxp3 | Pias1
20966256 | Association | Encephalomyelitis Autoimmune Experimental | Pias1
35388299 | Positive_Correlation | Dextran Sulfate | Weight Loss
35388299 | Positive_Correlation | Dextran Sulfate | Colorectal Neoplasms
35388299 | Positive_Correlation | Dextran Sulfate | Colonic Diseases
35388299 | Positive_Correlation | Dextran Sulfate | Colitis
37008329 | Association | Aneurysm | Mmp2
37008329 | Positive_Correlation | Eln | Pias3
37008329 | Association | Aortic Aneurysm Abdominal | Pias3
37008329 | Association | Aneurysm | Pias3
37008329 | Positive_Correlation | Cd4 | Pias3
37008329 | Association | Aneurysm | Mmp9
37008329 | Association | Aortic Aneurysm Familial Abdominal 1 | Pias3
37008329 | Positive_Correlation | Mmp9 | Pias3
37008329 | Association | Aortic Aneurysm Abdominal | Eln
37008329 | Negative_Correlation | Stat3 | Pias3
37008329 | Association | Aortic Aneurysm | Pias3
37008329 | Positive_Correlation | Mmp2 | Pias3
17142760 | Association | Neoplasms | HLA-E
17142760 | Negative_Correlation | leptomycin B | IFNG
17142760 | Association | XPO1 | NUP214
17142760 | Association | IFNG | XPO1
17142760 | Association | HLA-A | XPO1
17142760 | Association | Neoplasms | HLA-A
17142760 | Positive_Correlation | HLA-E | IFNG
17142760 | Negative_Correlation | leptomycin B | XPO1
17142760 | Negative_Correlation | leptomycin B | HLA-A
17142760 | Positive_Correlation | HLA-A | IFNG
17142760 | Association | Neoplasms | IFNG
36599262 | Association | Prostatic Neoplasms | KIR3DS1
36599262 | Association | Prostatic Neoplasms | KIR3DL1
36599262 | Association | Prostatic Neoplasms | KIR2DS5
36599262 | Association | Neoplasms | KIR3DL1
36599262 | Association | Prostatic Neoplasms | KIR3DL2
36599262 | Association | Prostatic Neoplasms | KIR2DL5A
35186822 | Association | Mucocutaneous Lymph Node Syndrome | CD14
35186822 | Association | Mucocutaneous Lymph Node Syndrome | NCAM1
35186822 | Association | Mucocutaneous Lymph Node Syndrome | FCGR3A
37857526 | Association | homocitrulline | Lysine
37857526 | Positive_Correlation | homocitrulline | Cyanates
37857526 | Association | homocitrulline | Neoplasms
37857526 | Association | homocitrulline | CD8A
37857526 | Association | Neoplasms | CD8A
37857526 | Association | Cyanates | Lysine
37857526 | Association | Neoplasms | CD4
38038432 | Association | Death | CXCL11
38038432 | Association | COVID-19 | CXCL11
38038432 | Positive_Correlation | Cd4 | CXCL11
38038432 | Positive_Correlation | Coronavirus Infections | CD4
34083274 | Association | Carcinoma Renal Cell | HLA-B
34083274 | Association | Carcinoma Renal Cell | HLA-C
34083274 | Association | Neoplasms | HLA-B
34083274 | Association | Carcinoma Renal Cell | HLA-A
34083274 | Association | Neoplasms | HLA-C
34083274 | Association | Carcinoma Renal Cell | CD74
34083274 | Association | CD4 | CD74
34083274 | Association | Neoplasms | HLA-A
34083274 | Association | Neoplasms | CD74
37398940 | Association | Histiocytosis | ALK
37398940 | Association | Carcinoma Large Cell | ALK
37398940 | Association | Sarcoma | ALK
37398940 | Association | Lymphoma Large-Cell Anaplastic | ALK
37398940 | Association | Lymphoma B-Cell | ALK
37398940 | Association | Sarcoma | PRRC2B
37398940 | Positive_Correlation | Sarcoma | TNFRSF8
37398940 | Association | Neoplasms | ALK
37398940 | Association | Sarcoma | RANBP2
37074725 | Association | Stevens-Johnson Syndrome | CD4
37074725 | Positive_Correlation | Carbamazepine | Stevens-Johnson Syndrome
37074725 | Association | Carbamazepine | CD8A
37074725 | Association | GNLY | CD4
37074725 | Association | Carbamazepine | CD4
37074725 | Positive_Correlation | Carbamazepine | Hypersensitivity
37074725 | Association | Stevens-Johnson Syndrome | GNLY
37074725 | Association | Carbamazepine | GNLY
37074725 | Association | Hypersensitivity | CD4
37074725 | Positive_Correlation | Carbamazepine | Exanthema
36968223 | Negative_Correlation | Bevacizumab | Glioblastoma
36968223 | Association | Glioblastoma | VEGFA
36968223 | Negative_Correlation | avelumab | CD274
36968223 | Negative_Correlation | Steroids | Glioblastoma
36968223 | Association | Glioblastoma | CD274
36968223 | Negative_Correlation | avelumab | Glioblastoma
36968223 | Negative_Correlation | Bevacizumab | Steroids
36326273 | Association | Acquired Immunodeficiency Syndrome | HLA-A
36326273 | Association | HIV Infections | gag
36326273 | Association | HIV Infections | HLA-A
36326273 | Association | nef | HLA-A
38518705 | Association | Hydrocortisone | COVID-19
38518705 | Negative_Correlation | Hydrocortisone | Stress Disorders Post-Traumatic
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-C
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-A
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-DRB4
28559015 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-B
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | PIAS1
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | RNASEL
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | OLR1
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | ITGAL
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | RTN4RL2
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | NUMB
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | CD8A
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | ITGAM
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | CASP8AP2
20855355 | Positive_Correlation | Multiple Sclerosis Relapsing-Remitting | IL37
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | IFNG
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | CD4
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | THBS1
20855355 | Association | Multiple Sclerosis Relapsing-Remitting | MAPK8
20855355 | Negative_Correlation | bentamapimod | MAPK8
20855355 | Association | Multiple Sclerosis | MAPK8
1433943 | Negative_Correlation | Danazol | Purpura Thrombocytopenic Idiopathic
1433943 | Negative_Correlation | Methotrexate | Purpura Thrombocytopenic Idiopathic
1433943 | Negative_Correlation | Steroids | Purpura Thrombocytopenic Idiopathic
1433943 | Negative_Correlation | Methotrexate | Thrombocytopenia cyclic
1433943 | Negative_Correlation | Vinca Alkaloids | Purpura Thrombocytopenic Idiopathic
13678465 | Association | Cognition Disorders | CD4
38263938 | Positive_Correlation | abacavir | Drug Hypersensitivity
38263938 | Negative_Correlation | abacavir | Acquired Immunodeficiency Syndrome
37179751 | Association | Epstein-Barr Virus Infections | LMP2A
37179751 | Association | LMP2A | CD8A
37179751 | Association | LMP2A | CD4
37179751 | Association | HLA-B | CD8A
37179751 | Association | HLA-C | CD8A
9058754 | Positive_Correlation | PLP1 | CD8A
11810515 | Bind | env | CD4
11810515 | Negative_Correlation | Oligosaccharides | Acquired Immunodeficiency Syndrome
11810515 | Positive_Correlation | Oligosaccharides | HIV Infections
11810515 | Bind | Oligosaccharides | env
11810515 | Association | HIV Infections | ITIH4
11810515 | Association | HIV Infections | env
11810515 | Bind | ITIH4 | CD4
11810515 | Association | Mannose | env
11810515 | Bind | Oligosaccharides | ITIH4
11810515 | Association | Mannose | ITIH4
31477625 | Positive_Correlation | KLRK1 | IFNG
31477625 | Association | KLRK1 | CD4
31477625 | Negative_Correlation | CD8A | CD28
31477625 | Association | Hepatitis B Chronic | CD28
31477625 | Association | KLRK1 | CD8A
31477625 | Association | Chronic Disease | CD8A
31477625 | Association | B3GAT1 | CD28
31477625 | Association | KLRK1 | CD28
31477625 | Association | Chronic Disease | CD28
31477625 | Association | Hepatitis B Chronic | B3GAT1
31477625 | Positive_Correlation | TNF | CD8A
31477625 | Association | Hepatitis B Chronic | TNF
31477625 | Association | Hepatitis B Chronic | IFNG
31477625 | Negative_Correlation | IFNG | CD28
31477625 | Association | Hepatitis B Chronic | KLRK1
31477625 | Positive_Correlation | GZMB | CD8A
31477625 | Association | Hepatitis B Chronic | CD8A
31477625 | Association | CD4 | CD8A
31477625 | Negative_Correlation | GZMB | CD28
31477625 | Positive_Correlation | KLRK1 | TNF
31477625 | Positive_Correlation | IFNG | CD8A
31477625 | Association | Hepatitis B Chronic | CXCR3
31477625 | Association | Hepatitis B | CD8A
31477625 | Negative_Correlation | TNF | CD28
31477625 | Association | Hepatitis B Chronic | GZMB
31477625 | Association | Hepatitis B | CD28
31477625 | Association | Hepatitis B Chronic | CD4
26194464 | Positive_Correlation | TGFB1 | CD4
26194464 | Association | EP300 | SMAD2
26194464 | Negative_Correlation | PIAS3 | RORC
26194464 | Positive_Correlation | IL17A | TGFB1
26194464 | Association | EP300 | MAPK1
26194464 | Negative_Correlation | IL17A | SMAD3
26194464 | Association | SMAD2 | MAPK1
26194464 | Negative_Correlation | SMAD3 | RORC
26194464 | Positive_Correlation | IL6 | IL17A
26194464 | Positive_Correlation | IL6 | CD4
26194464 | Positive_Correlation | IL17A | STAT3
26194464 | Association | PIAS3 | SMAD3
26194464 | Negative_Correlation | PIAS3 | IL17A
26194464 | Association | SMAD2 | STAT3
26194464 | Association | RORC | STAT3
26194464 | Association | SMAD3 | STAT3
22591364 | Association | Methamphetamine | Infections
22591364 | Association | Methamphetamine | IRF3
22591364 | Association | Methamphetamine | PIAS4
22591364 | Positive_Correlation | Methamphetamine | 270100
22591364 | Positive_Correlation | Methamphetamine | Viremia
22591364 | Association | Methamphetamine | SOCS2
22591364 | Association | HIV Infections | CD4
22591364 | Association | Methamphetamine | IRF5
22591364 | Association | Methamphetamine | PIAS3
22591364 | Association | Methamphetamine | DDX58
22591364 | Positive_Correlation | Methamphetamine | HIV Infections
22591364 | Association | Methamphetamine | SOCS3
22591364 | Association | Methamphetamine | PIAS1
22591364 | Positive_Correlation | Methamphetamine | Acquired Immunodeficiency Syndrome
22591364 | Association | Methamphetamine | PIAS2
24712655 | Association | SAMHD1 | KPNB1
24712655 | Negative_Correlation | SAMHD1 | CD4
24712655 | Association | SAMHD1 | KPNA2
38321374 | Association | Cardiomyopathy Dilated | HLA-C
38321374 | Association | Heart Failure | IFITM3
38321374 | Association | Heart Failure | HLA-A
38321374 | Association | Cardiomyopathy Dilated | IFITM2
38321374 | Association | Cardiomyopathy Dilated | HLA-B
38321374 | Association | Heart Failure | MX1
38321374 | Association | Heart Failure | IFITM1
38321374 | Association | Heart Failure | IFIT1
38321374 | Association | Cardiomyopathy Dilated | IFITM1
38321374 | Association | Cardiomyopathy Dilated | IFIT1
38321374 | Association | Cardiomyopathy Dilated | ISG20
38321374 | Association | Heart Failure | IFITM2
38321374 | Association | Cardiomyopathy Dilated | IFIT3
38321374 | Association | Heart Failure | HLA-B
38321374 | Association | Cardiomyopathy Dilated | IRF2
38321374 | Association | Heart Failure | SAMHD1
38321374 | Association | Cardiomyopathy Dilated | SAMHD1
38321374 | Association | Cardiomyopathy Dilated | MX1
38321374 | Association | Heart Failure | IFIT3
38321374 | Association | Heart Failure | IRF2
38321374 | Association | Cardiomyopathy Dilated | STAT1
38321374 | Association | Cardiomyopathy Dilated | RSAD2
38321374 | Association | Cardiomyopathy Dilated | IFITM3
38321374 | Association | Cardiomyopathy Dilated | HLA-A
38321374 | Association | Cardiomyopathy Dilated | ADAR
38321374 | Association | Heart Failure | RSAD2
38321374 | Association | Heart Failure | HLA-C
38321374 | Association | Cardiomyopathy Dilated | CD4
28148715 | Negative_Correlation | selinexor | Neoplasms
28148715 | Association | Melanoma | Pdcd1
28148715 | Association | Melanoma | CD274
28148715 | Association | Melanoma | Cd274
28148715 | Positive_Correlation | selinexor | CD274
28148715 | Negative_Correlation | selinexor | Melanoma
28148715 | Positive_Correlation | selinexor | CTLA4
28148715 | Positive_Correlation | selinexor | CD4
28148715 | Positive_Correlation | selinexor | PDCD1
28148715 | Negative_Correlation | selinexor | XPO1
30867508 | Negative_Correlation | hexamethylene bisacetamide | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
30867508 | Association | Neoplasms | KLRK1
30867508 | Association | HCST | IL15
30867508 | Association | hexamethylene bisacetamide | IL15
30867508 | Bind | KLRK1 | MICB
30867508 | Positive_Correlation | hexamethylene bisacetamide | ULBP2
30867508 | Negative_Correlation | hexamethylene bisacetamide | KLRK1
30867508 | Positive_Correlation | hexamethylene bisacetamide | MICB
30867508 | Association | hexamethylene bisacetamide | prostratin
30867508 | Negative_Correlation | hexamethylene bisacetamide | HCST
30867508 | Positive_Correlation | prostratin | ULBP2
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | IL15
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | KLRK1
30867508 | Negative_Correlation | hexamethylene bisacetamide | Precursor Cell Lymphoblastic Leukemia-Lymphoma
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | ULBP2
30867508 | Bind | KLRK1 | ULBP2
30867508 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | MICB
30867508 | Negative_Correlation | hexamethylene bisacetamide | Neoplasms
30867508 | Bind | HCST | KLRK1
30867508 | Negative_Correlation | hexamethylene bisacetamide | Leukemia
37177979 | Association | Carcinoma Squamous Cell | SOX21
37177979 | Association | Carcinoma Squamous Cell | CD4
37177979 | Association | Carcinoma Squamous Cell | HLA-DRB5
37177979 | Association | Carcinoma Squamous Cell | ICAM2
37177979 | Association | Carcinoma Squamous Cell | HLA-C
37177979 | Association | Carcinoma Squamous Cell | MIR4316
37177979 | Association | Carcinoma Squamous Cell | IL4
37177979 | Association | Carcinoma Squamous Cell | HLA-DQA1
37177979 | Association | Carcinoma Squamous Cell | CD40LG
37177979 | Association | Carcinoma Squamous Cell | HLA-A
37177979 | Association | Neoplasms | SOX21
37177979 | Negative_Correlation | Neoplasms | MIR4316
10557076 | Association | Pancreatic Neoplasms | IRF2
10557076 | Association | IRF2 | TMEM132A
10557076 | Association | Malocclusion Angle Class II | IRF1
10557076 | Positive_Correlation | IFNG | CIITA
10557076 | Association | CIITA | CD4
10557076 | Bind | IRF1 | TMEM132A
10557076 | Association | Neoplasms | IRF2
10557076 | Positive_Correlation | Malocclusion Angle Class II | IRF2
37895076 | Association | HLA-C | CD8A
37895076 | Association | HLA-C | CD4
37895076 | Association | Prostatic Neoplasms | HLA-C
35797509 | Association | Triple Negative Breast Neoplasms | CD8A
35797509 | Negative_Correlation | pembrolizumab | Triple Negative Breast Neoplasms
35797509 | Association | Triple Negative Breast Neoplasms | CD4
35797509 | Negative_Correlation | pembrolizumab | Neoplasms
35797509 | Negative_Correlation | atezolizumab | Triple Negative Breast Neoplasms
36059511 | Negative_Correlation | Colonic Diseases | CD274
36059511 | Negative_Correlation | PSEN1 | CD8A
36059511 | Positive_Correlation | CD274 | PSEN1
36059511 | Association | Colonic Diseases | PSEN1
36059511 | Association | Colorectal Neoplasms | CD274
36059511 | Association | PSEN1 | VIM
36059511 | Association | Neoplasms | PSEN1
36059511 | Association | PSEN1 | CD4
36059511 | Association | HDAC2 | PSEN1
36059511 | Association | Colorectal Neoplasms | PSEN1
35614223 | Association | Neoplasms | MICA
35614223 | Association | Neoplasms | CD4
35614223 | Association | Neoplasms | MICB
35614223 | Bind | KLRK1 | MICB
36706355 | Cotreatment | Ipilimumab | Decitabine
36706355 | Negative_Correlation | Ipilimumab | Myelodysplastic Syndromes
36706355 | Negative_Correlation | Ipilimumab | Leukemia
36706355 | Negative_Correlation | Decitabine | Leukemia Myeloid
36706355 | Association | Ipilimumab | CD4
36706355 | Association | Ipilimumab | CTLA4
36706355 | Negative_Correlation | Ipilimumab | Leukemia Myeloid
36706355 | Positive_Correlation | Ipilimumab | FOXP3
36706355 | Negative_Correlation | Decitabine | Leukemia Myeloid Acute
36706355 | Negative_Correlation | Ipilimumab | Leukemia Myeloid Acute
36706355 | Association | Leukemia | FOXP3
36706355 | Association | Leukemia | CTLA4
36706355 | Negative_Correlation | Decitabine | Myelodysplastic Syndromes
36520384 | Association | Stomach Neoplasms | PRKACA
36520384 | Association | Lipids | Stomach Neoplasms
36520384 | Association | Stomach Neoplasms | PIAS4
36520384 | Association | Lipids | STARD4
36520384 | Association | Lipids | SLCO1A2
36520384 | Association | Stomach Neoplasms | ITGB2
36520384 | Association | Stomach Neoplasms | SLCO1A2
36520384 | Association | Lipids | Neoplasms
36520384 | Association | Stomach Neoplasms | PLA2R1
36520384 | Association | Lipids | PLA2R1
36520384 | Association | Stomach Neoplasms | STARD4
36520384 | Association | Lipids | PRKACA
36520384 | Association | Lipids | PIAS4
38035132 | Association | Infections | CD4
38035132 | Association | S | CD8A
38035132 | Positive_Correlation | COVID-19 | CD8A
38035132 | Association | Infections | CD8A
38035132 | Positive_Correlation | COVID-19 | S
38035132 | Positive_Correlation | COVID-19 | CD4
38035132 | Association | S | CD4
36851781 | Association | HIV Infections | rev
34843601 | Negative_Correlation | vpu | BST2
34843601 | Association | vpu | HLA-S
34843601 | Association | vpu | HGS
34843601 | Association | VPS35 | BST2
34843601 | Association | vpu | CD4
34843601 | Association | PREB | vpu
34843601 | Association | vpu | SNX3
34843601 | Association | vpu | STAM
34843601 | Association | BST2 | SNX3
34843601 | Association | PTPN23 | BST2
34843601 | Association | vpu | HLA-C
34843601 | Association | vpu | PTPN23
34843601 | Association | BST2 | STAM
34843601 | Association | PTPN23 | CD4
36331825 | Negative_Correlation | Acquired Immunodeficiency Syndrome | HLA-B
23687071 | Association | mica | Cadmium
34015361 | Negative_Correlation | Sirolimus | Obesity
34015361 | Negative_Correlation | Sirolimus | Inflammation
34015361 | Negative_Correlation | Sirolimus | Cd4
34772758 | Positive_Correlation | tremelimumab | Edema
34772758 | Negative_Correlation | MEDI3617 | ANGPT2
34772758 | Association | Melanoma | CTLA4
34772758 | Cotreatment | tremelimumab | MEDI3617
34772758 | Negative_Correlation | MEDI3617 | Melanoma
34772758 | Negative_Correlation | tremelimumab | CTLA4
34772758 | Positive_Correlation | tremelimumab | Pruritus
34772758 | Association | Melanoma | ANGPT2
34772758 | Negative_Correlation | tremelimumab | Melanoma
34772758 | Positive_Correlation | tremelimumab | Exanthema
36549550 | Association | Infections | CD8A
36549550 | Association | gag | CD8A
37711200 | Association | Neoplasms | CCL14
37711200 | Association | Carcinoma Renal Cell | KIF14
37711200 | Association | Neoplasms | TNFSF13
37711200 | Association | Neoplasms | CXCL16
37711200 | Association | Neoplasms | CD276
37711200 | Association | Neoplasms | KIF14
