38516860 | @GENE_HLA_C | HLA-C | 29 | 5 | Gene | gene | HLA-C
38566402 | @GENE_HLA_C | HLA-C | 28 | 5 | Gene | gene | HLA-C
38590523 | @GENE_HLA_A | HLA-A | 46 | 3 | Gene | gene | HLA
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 88 | 19 | Disease | disease | Parkinson's disease
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 123 | 19 | Disease | disease | Parkinson's disease
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 144 | 2 | Disease | disease | PD
38590523 | @DISEASE_Neurodegenerative_Diseases | Neurodegenerative Diseases | 153 | 40 | Disease | disease | neurodegenerative and polygenic disorder
38590523 | @CHEMICAL_Dopamine | Dopamine | 242 | 8 | Chemical | chemical | dopamine
38590523 | @DISEASE_Movement_Disorders | Movement Disorders | 264 | 18 | Disease | disease | movement disorders
38590523 | @GENE_HLA_A | HLA-A | 439 | 3 | Gene | gene | HLA
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 602 | 11 | Disease | disease | Parkinson's
38590523 | @GENE_SLC26A3 | SLC26A3 | 958 | 3 | Gene | gene | DRA
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 1060 | 2 | Disease | disease | PD
38590523 | @GENE_HLA_A | HLA-A | 1115 | 3 | Gene | gene | HLA
38590523 | @GENE_HLA_A | HLA-A | 1224 | 3 | Gene | gene | HLA
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 1436 | 2 | Disease | disease | PD
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 1471 | 2 | Disease | disease | PD
38590523 | @DISEASE_Parkinsonism_Dystonia_Infantile | Parkinsonism-Dystonia Infantile | 1538 | 17 | Disease | disease | dopamine deficits
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 1756 | 5 | Disease | disease | PD-HC
38590523 | @GENE_HLA_DQA1 | HLA-DQA1 | 1907 | 4 | Gene | gene | DQA1
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 1941 | 2 | Disease | disease | PD
38590523 | @GENE_HLA_DQA1 | HLA-DQA1 | 1956 | 4 | Gene | gene | DQA1
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 2013 | 2 | Disease | disease | PD
38590523 | @GENE_HLA_DRB4 | HLA-DRB4 | 2052 | 4 | Gene | gene | DRB4
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 2130 | 2 | Disease | disease | PD
38590523 | @GENE_HLA_DPA1 | HLA-DPA1 | 2183 | 8 | Gene | gene | HLA-DPA1
38590523 | @GENE_HLA_DPA1 | HLA-DPA1 | 2337 | 8 | Gene | gene | HLA-DPA1
38590523 | @GENE_HLA_DPB1 | HLA-DPB1 | 2350 | 8 | Gene | gene | HLA-DPB1
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 2452 | 2 | Disease | disease | PD
38590523 | @GENE_HLA_DPB1 | HLA-DPB1 | 2547 | 4 | Gene | gene | DPB1
38590523 | @GENE_HLA_A | HLA-A | 2632 | 3 | Gene | gene | HLA
38590523 | @GENE_HLA_A | HLA-A | 2806 | 3 | Gene | gene | HLA
38590523 | @DISEASE_Parkinson_Disease | Parkinson Disease | 2968 | 2 | Disease | disease | PD
8973629 | @GENE_HLA_C | HLA-C | 178 | 3 | Gene | gene | MHC
8973629 | @GENE_FCGRT | FCGRT | 261 | 4 | Gene | gene | FcRn
8973629 | @GENE_AZGP1 | AZGP1 | 271 | 23 | Gene | gene | Zn-alpha 2-glycoprotein
8973629 | @GENE_MICB | MICB | 719 | 8 | Gene | gene | PERB11.2
8973629 | @GENE_MICB | MICB | 1200 | 8 | Gene | gene | PERB11.2
8995188 | @GENE_HLA_C | HLA-C | 72 | 3 | Gene | gene | MHC
8995188 | @GENE_HLA_C | HLA-C | 115 | 3 | Gene | gene | MHC
8995188 | @GENE_HLA_C | HLA-C | 190 | 3 | Gene | gene | MHC
8995188 | @GENE_HLA_C | HLA-C | 356 | 3 | Gene | gene | MHC
8995188 | @GENE_FCGRT | FCGRT | 498 | 4 | Gene | gene | FcRn
8995188 | @GENE_AZGP1 | AZGP1 | 508 | 22 | Gene | gene | Zn-alpha2-glycoprotein
8995188 | @GENE_HLA_C | HLA-C | 605 | 3 | Gene | gene | MHC
8995188 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 668 | 19 | Disease | disease | autoimmune diseases
8995188 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 696 | 35 | Disease | disease | insulin-dependent diabetes mellitus
8995188 | @DISEASE_Acquired_Immunodeficiency_Syndrome | Acquired Immunodeficiency Syndrome | 762 | 4 | Disease | disease | AIDS
8995188 | @DISEASE_HIV_Infections | HIV Infections | 777 | 15 | Disease | disease | HIV-1 infection
8995188 | @GENE_MICA | MICA | 840 | 8 | Gene | gene | PERB11.1
8995188 | @GENE_MICB | MICB | 853 | 8 | Gene | gene | PERB11.2
8995188 | @GENE_MICA | MICA | 1167 | 8 | Gene | gene | PERB11.1
8995188 | @GENE_MICA | MICA | 1467 | 8 | Gene | gene | PERB11.1
8995188 | @GENE_MICB | MICB | 1480 | 8 | Gene | gene | PERB11.2
9420468 | @GENE_HLA_C | HLA-C | 36 | 3 | Gene | gene | MHC
9420468 | @GENE_HLA_C | HLA-C | 197 | 3 | Gene | gene | MHC
9420468 | @GENE_MICA | MICA | 206 | 8 | Gene | gene | PERB11.1
9420468 | @GENE_MICB | MICB | 219 | 8 | Gene | gene | PERB11.2
9420468 | @GENE_HLA_B | HLA-B | 284 | 5 | Gene | gene | HLA-B
9420468 | @GENE_MICA | MICA | 352 | 8 | Gene | gene | PERB11.1
9420468 | @GENE_MICB | MICB | 365 | 8 | Gene | gene | PERB11.2
9420468 | @CHEMICAL_Poly_A | Poly A | 711 | 6 | Chemical | chemical | poly A
9420468 | @CHEMICAL_Poly_A | Poly A | 877 | 6 | Chemical | chemical | poly A
9420468 | @GENE_MICA | MICA | 957 | 8 | Gene | gene | PERB11.1
9420468 | @GENE_MICB | MICB | 975 | 8 | Gene | gene | PERB11.2
9502318 | @CHEMICAL_Metals | Metals | 784 | 5 | Chemical | chemical | metal
9502318 | @GENE_FCR | Fcr | 969 | 11 | Gene | gene | Fc receptor
9502318 | @GENE_B2M | B2m | 1383 | 19 | Gene | gene | beta2 microglobulin
9502318 | @CHEMICAL_Metals | Metals | 1705 | 5 | Chemical | chemical | metal
10229571 | @GENE_HLA_C | HLA-C | 82 | 32 | Gene | gene | major histocompatibility complex
10229571 | @GENE_HLA_C | HLA-C | 286 | 32 | Gene | gene | major histocompatibility complex
10229571 | @GENE_HLA_C | HLA-C | 320 | 3 | Gene | gene | MHC
10229571 | @GENE_MICB | MICB | 903 | 8 | Gene | gene | PERB11.2
10229571 | @GENE_MICB | MICB | 913 | 4 | Gene | gene | MICB
10229571 | @GENE_MICA | MICA | 923 | 8 | Gene | gene | PERB11.1
10229571 | @GENE_MICA | MICA | 933 | 4 | Gene | gene | MICA
10229571 | @GENE_HLA_B | HLA-B | 944 | 5 | Gene | gene | HLA-B
10229571 | @GENE_HLA_C | HLA-C | 954 | 5 | Gene | gene | HLA-C
10229571 | @GENE_HLA_C | HLA-C | 1031 | 6 | Gene | gene | HLA-C.
10229571 | @GENE_HLA_C | HLA-C | 1929 | 3 | Gene | gene | MHC
10229571 | @GENE_HLA_C | HLA-C | 2240 | 3 | Gene | gene | MHC
10331161 | @GENE_HLA_C | HLA-C | 209 | 3 | Gene | gene | MHC
10331161 | @GENE_HLA_C | HLA-C | 886 | 3 | Gene | gene | MHC
10691930 | @GENE_HLA_C | HLA-C | 28 | 3 | Gene | gene | MHC
10691930 | @DISEASE_Psoriasis | Psoriasis | 114 | 9 | Disease | disease | psoriasis
10691930 | @DISEASE_Psoriasis | Psoriasis | 154 | 9 | Disease | disease | psoriasis
10691930 | @GENE_HLA_C | HLA-C | 226 | 32 | Gene | gene | major histocompatibility complex
10691930 | @GENE_HLA_C | HLA-C | 260 | 3 | Gene | gene | MHC
10691930 | @GENE_HLA_A | HLA-A | 311 | 43 | Gene | gene | leucocyte antigen (HLA)-A, -B, -C, -DR, -DQ
10691930 | @GENE_HLA_C | HLA-C | 492 | 3 | Gene | gene | MHC
10691930 | @GENE_HLA_B | HLA-B | 588 | 13 | Gene | gene | HLA-B and -C.
10691930 | @GENE_MICA | MICA | 735 | 8 | Gene | gene | PERB11.1
10691930 | @GENE_MICB | MICB | 748 | 8 | Gene | gene | PERB11.2
10691930 | @GENE_HLA_B | HLA-B | 849 | 6 | Gene | gene | HLA-B.
10691930 | @GENE_MICA | MICA | 891 | 8 | Gene | gene | PERB11.1
10691930 | @DISEASE_Psoriasis | Psoriasis | 911 | 9 | Disease | disease | psoriasis
10691930 | @GENE_MICA | MICA | 1051 | 8 | Gene | gene | PERB11.1
10691930 | @DISEASE_Psoriasis | Psoriasis | 1080 | 16 | Disease | disease | type I psoriasis
10691930 | @GENE_HLA_C | HLA-C | 1570 | 3 | Gene | gene | MHC
10691930 | @DISEASE_Psoriasis | Psoriasis | 1603 | 9 | Disease | disease | psoriasis
10795827 | @GENE_HLA_B | HLA-B | 15 | 5 | Gene | gene | HLA-B
10795827 | @GENE_MICA | MICA | 25 | 8 | Gene | gene | PERB11.1
10795827 | @GENE_MICA | MICA | 35 | 4 | Gene | gene | MICA
10795827 | @GENE_MICA | MICA | 123 | 8 | Gene | gene | PERB11.1
10795827 | @GENE_MICA | MICA | 133 | 4 | Gene | gene | MICA
10795827 | @GENE_HLA_B | HLA-B | 230 | 5 | Gene | gene | HLA-B
10795827 | @GENE_HLA_C | HLA-C | 237 | 5 | Gene | gene | HLA-C
10795827 | @GENE_MICA | MICA | 244 | 8 | Gene | gene | PERB11.1
10795827 | @GENE_MICA | MICA | 254 | 4 | Gene | gene | MICA
10795827 | @GENE_MICB | MICB | 265 | 8 | Gene | gene | PERB11.2
10795827 | @GENE_MICB | MICB | 275 | 4 | Gene | gene | MICB
10795827 | @GENE_MICA | MICA | 326 | 8 | Gene | gene | PERB11.1
10795827 | @GENE_HLA_A | HLA-A | 367 | 9 | Gene | gene | HLA-A, -B
10795827 | @GENE_HLA_B | HLA-B | 495 | 6 | Gene | gene | HLA-B.
10795827 | @GENE_HLA_B | HLA-B | 589 | 5 | Gene | gene | HLA-B
10795827 | @GENE_HLA_B | HLA-B | 720 | 6 | Gene | gene | HLA-B.
10795827 | @GENE_HLA_B | HLA-B | 763 | 5 | Gene | gene | HLA-B
10795827 | @GENE_HLA_C | HLA-C | 907 | 3 | Gene | gene | MHC
11029610 | @GENE_HLA_C | HLA-C | 28 | 3 | Gene | gene | MHC
11029610 | @GENE_HLA_A | HLA-A | 82 | 5 | Gene | gene | HLA-A
11029610 | @GENE_HLA_C | HLA-C | 233 | 32 | Gene | gene | major histocompatibility complex
11029610 | @GENE_HLA_C | HLA-C | 267 | 3 | Gene | gene | MHC
11029610 | @GENE_HFE | HFE | 484 | 3 | Gene | gene | HFE
11029610 | @GENE_HLA_A | HLA-A | 537 | 6 | Gene | gene | HLA-A.
11029610 | @GENE_MICA | MICA | 565 | 4 | Gene | gene | MICA
11029610 | @GENE_MICA | MICA | 571 | 8 | Gene | gene | PERB11.1
11029610 | @GENE_MICB | MICB | 582 | 4 | Gene | gene | MICB
11029610 | @GENE_MICB | MICB | 588 | 8 | Gene | gene | PERB11.2
11029610 | @GENE_PSMB9 | PSMB9 | 607 | 4 | Gene | gene | LMP2
11029610 | @GENE_HLA_C | HLA-C | 763 | 3 | Gene | gene | MHC
11029610 | @GENE_HLA_C | HLA-C | 821 | 3 | Gene | gene | MHC
11029610 | @GENE_HFE | HFE | 1017 | 3 | Gene | gene | HFE
11696220 | @GENE_MICA | MICA | 13 | 4 | Gene | gene | MICA
11696220 | @GENE_MICA | MICA | 19 | 8 | Gene | gene | PERB11.1
11696220 | @GENE_HLA_A | HLA-A | 33 | 3 | Gene | gene | HLA
11696220 | @GENE_MICA | MICA | 71 | 4 | Gene | gene | MICA
11696220 | @GENE_MICA | MICA | 79 | 8 | Gene | gene | PERB11.1
11696220 | @GENE_HLA_B | HLA-B | 198 | 5 | Gene | gene | HLA-B
11696220 | @GENE_MICA | MICA | 380 | 4 | Gene | gene | MICA
11696220 | @GENE_APP | APP | 438 | 10 | Gene | gene | alpha beta
11696220 | @GENE_CD8A | CD8A | 449 | 3 | Gene | gene | CD8
11696220 | @GENE_KLRK1 | KLRK1 | 498 | 5 | Gene | gene | NKG2D
11696220 | @GENE_HCST | HCST | 504 | 5 | Gene | gene | DAP10
11696220 | @GENE_MICA | MICA | 524 | 4 | Gene | gene | MICA
11696220 | @GENE_MICA | MICA | 657 | 4 | Gene | gene | MICA
11696220 | @GENE_MICA | MICA | 791 | 4 | Gene | gene | MICA
11696220 | @GENE_MICA | MICA | 966 | 4 | Gene | gene | MICA
11696220 | @GENE_HLA_A | HLA-A | 1211 | 3 | Gene | gene | HLA
11696220 | @GENE_MICA | MICA | 1314 | 4 | Gene | gene | MICA
11696220 | @GENE_HLA_B | HLA-B | 1323 | 5 | Gene | gene | HLA-B
11696220 | @GENE_MICA | MICA | 1517 | 4 | Gene | gene | MICA
11696220 | @GENE_HLA_B | HLA-B | 1524 | 5 | Gene | gene | HLA-B
11696220 | @GENE_HLA_C | HLA-C | 1532 | 6 | Gene | gene | HLA-Cw
11696220 | @GENE_HLA_DQB1 | HLA-DQB1 | 1555 | 8 | Gene | gene | HLA-DQB1
11696220 | @GENE_HLA_DRB1 | HLA-DRB1 | 1566 | 8 | Gene | gene | HLA-DRB1
11696220 | @GENE_MICA | MICA | 1577 | 4 | Gene | gene | MICA
11696220 | @GENE_HLA_B | HLA-B | 1584 | 5 | Gene | gene | HLA-B
11696220 | @GENE_HLA_C | HLA-C | 1592 | 6 | Gene | gene | HLA-Cw
11696220 | @GENE_HLA_A | HLA-A | 1601 | 5 | Gene | gene | HLA-A
11696220 | @GENE_MICA | MICA | 1700 | 4 | Gene | gene | MICA
11696220 | @GENE_MICA | MICA | 1851 | 4 | Gene | gene | MICA
11703823 | @GENE_LOC722711 | LOC722711 | 71 | 32 | Gene | gene | major histocompatibility complex
11703823 | @GENE_LOC722711 | LOC722711 | 105 | 3 | Gene | gene | MHC
11703823 | @GENE_MICA | MICA | 168 | 4 | Gene | gene | MICA
11703823 | @GENE_MICB | MICB | 173 | 4 | Gene | gene | MICB
11703823 | @GENE_MIC1 | MIC1 | 295 | 9 | Gene | gene | Mamu-MIC1
11703823 | @GENE_MICB | MICB | 471 | 4 | Gene | gene | MIC2
11703823 | @GENE_MIC1 | MIC1 | 481 | 4 | Gene | gene | MIC3
11703823 | @GENE_HLA_A | HLA-A | 586 | 3 | Gene | gene | HLA
11703823 | @GENE_MICA | MICA | 590 | 4 | Gene | gene | MICA
11703823 | @GENE_MICB | MICB | 599 | 4 | Gene | gene | MICB
11703823 | @GENE_CD99 | CD99 | 625 | 4 | Gene | gene | MIC2
11703823 | @GENE_DDX39B | DDX39B | 669 | 4 | Gene | gene | BAT1
11703823 | @GENE_MICB | MICB | 692 | 4 | Gene | gene | MICB
11703823 | @GENE_MICA | MICA | 800 | 4 | Gene | gene | MICA
11703823 | @GENE_MICB | MICB | 808 | 4 | Gene | gene | MICB
11703823 | @GENE_MICD | MICD | 1118 | 4 | Gene | gene | MICD
17493144 | @GENE_MAMU_I | MAMU-I | 153 | 40 | Gene | gene | major histocompatibility complex class I
17493144 | @GENE_GDF15 | GDF15 | 268 | 4 | Gene | gene | MIC1
17493144 | @GENE_MICB | MICB | 274 | 4 | Gene | gene | MIC2
17493144 | @GENE_MIC1 | MIC1 | 283 | 4 | Gene | gene | MIC3
17493144 | @GENE_GDF15 | GDF15 | 543 | 4 | Gene | gene | MIC1
17493144 | @GENE_MICA | MICA | 584 | 4 | Gene | gene | MICA
17493144 | @GENE_CD99 | CD99 | 606 | 4 | Gene | gene | MIC2
17493144 | @GENE_MICB | MICB | 706 | 4 | Gene | gene | MICB
17493144 | @GENE_CD9 | CD9 | 716 | 4 | Gene | gene | MIC3
17493144 | @GENE_MICA | MICA | 739 | 4 | Gene | gene | MICA
17493144 | @GENE_MICB | MICB | 748 | 4 | Gene | gene | MICB
17493144 | @GENE_MICA | MICA | 903 | 4 | Gene | gene | MICA
17493144 | @GENE_MICB | MICB | 909 | 4 | Gene | gene | MICB
17493144 | @GENE_MICA | MICA | 1116 | 4 | Gene | gene | MICA
17493144 | @GENE_MICB | MICB | 1127 | 4 | Gene | gene | MICB
17493144 | @GENE_MICB | MICB | 1329 | 4 | Gene | gene | MICB
17493144 | @GENE_MICA | MICA | 1369 | 4 | Gene | gene | MICA
17493144 | @GENE_MICA | MICA | 1458 | 4 | Gene | gene | MICA
32533616 | @CHEMICAL_Carbon | Carbon | 326 | 6 | Chemical | chemical | carbon
32533616 | @GENE_MICD | MICD | 478 | 5 | Gene | gene | MicD.
32533616 | @CHEMICAL_Polyketides | Polyketides | 642 | 10 | Chemical | chemical | polyketide
32533616 | @GENE_MICA | MICA | 915 | 4 | Gene | gene | MicA
36384391 | @DISEASE_COVID_19_reinfection | COVID-19 reinfection | 9 | 18 | Disease | disease | COVID reinfections
36384391 | @DISEASE_Arthritis_Psoriatic | Arthritis Psoriatic | 44 | 9 | Disease | disease | psoriatic
36384391 | @CHEMICAL_Adalimumab | Adalimumab | 72 | 10 | Chemical | chemical | adalimumab
36384391 | @DISEASE_Psoriasis | Psoriasis | 95 | 9 | Disease | disease | psoriasis
36384391 | @DISEASE_COVID_19 | COVID-19 | 213 | 8 | Disease | disease | Covid-19
36384391 | @DISEASE_Psoriasis | Psoriasis | 326 | 9 | Disease | disease | psoriasis
36384391 | @DISEASE_COVID_19 | COVID-19 | 467 | 8 | Disease | disease | COVID-19
36384391 | @DISEASE_Psoriasis | Psoriasis | 520 | 9 | Disease | disease | psoriasis
36384391 | @CHEMICAL_Adalimumab | Adalimumab | 570 | 10 | Chemical | chemical | adalimumab
36384391 | @DISEASE_COVID_19 | COVID-19 | 644 | 8 | Disease | disease | COVID-19
36384391 | @DISEASE_COVID_19 | COVID-19 | 735 | 8 | Disease | disease | COVID-19
36384391 | @DISEASE_COVID_19 | COVID-19 | 842 | 8 | Disease | disease | COVID-19
36384391 | @DISEASE_COVID_19 | COVID-19 | 1168 | 15 | Disease | disease | COVID infection
36384391 | @DISEASE_Arthritis_Psoriatic | Arthritis Psoriatic | 1189 | 9 | Disease | disease | psoriatic
36384391 | @CHEMICAL_Adalimumab | Adalimumab | 1212 | 10 | Chemical | chemical | adalimumab
36436710 | @CHEMICAL_(11C)UCB_J | (11C)UCB-J | 55 | 9 | Chemical | chemical | 11C]UCB-J
36436710 | @GENE_SV2A | Sv2a | 106 | 32 | Gene | gene | Synaptic vesicle glycoprotein 2A
36436710 | @GENE_SV2A | Sv2a | 140 | 4 | Gene | gene | SV2A
36436710 | @GENE_SV2A | Sv2a | 210 | 4 | Gene | gene | SV2A
36436710 | @CHEMICAL_(11C)UCB_J | (11C)UCB-J | 305 | 9 | Chemical | chemical | 11C]UCB-J
36436710 | @GENE_SV2A | Sv2a | 369 | 4 | Gene | gene | SV2A
36436710 | @GENE_SV2A | Sv2a | 519 | 4 | Gene | gene | SV2A
36436710 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 671 | 21 | Disease | disease | neurological disorder
36436710 | @CHEMICAL_(11C)UCB_J | (11C)UCB-J | 730 | 9 | Chemical | chemical | 11C]UCB-J
36436710 | @DISEASE_Huntington_Disease | Huntington Disease | 890 | 20 | Disease | disease | Huntington's disease
36436710 | @DISEASE_Huntington_Disease | Huntington Disease | 912 | 2 | Disease | disease | HD
36436710 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 939 | 8 | Disease | disease | deficits
36436710 | @DISEASE_Huntington_Disease | Huntington Disease | 1740 | 2 | Disease | disease | HD
36436710 | @GENE_SV2A | Sv2a | 1945 | 4 | Gene | gene | SV2A
36436710 | @CHEMICAL_(11C)UCB_J | (11C)UCB-J | 1974 | 9 | Chemical | chemical | 11C]UCB-J
36930702 | @DISEASE_Whooping_Cough | Whooping Cough | 591 | 9 | Disease | disease | pertussis
36930702 | @CHEMICAL_Platinum | Platinum | 879 | 2 | Chemical | chemical | PT
36930702 | @CHEMICAL_Platinum | Platinum | 1140 | 2 | Chemical | chemical | PT
36930702 | @GENE_IL4 | Il4 | 1170 | 4 | Gene | gene | IL-4
36930702 | @GENE_IL17A | Il17a | 1252 | 5 | Gene | gene | IL-17
36930702 | @GENE_IL23A | Il23a | 1259 | 5 | Gene | gene | IL-23
36930702 | @GENE_IL27 | Il27 | 1266 | 5 | Gene | gene | IL-27
36930702 | @GENE_TNF | Tnf | 1277 | 9 | Gene | gene | TNF-alpha
36930702 | @DISEASE_Inflammation | Inflammation | 1360 | 12 | Disease | disease | inflammatory
36930702 | @DISEASE_Inflammation | Inflammation | 1432 | 12 | Disease | disease | inflammatory
37244285 | @DISEASE_Muscular_Diseases | Muscular Diseases | 54 | 27 | Disease | disease | skeletal muscle dysfunction
37244285 | @DISEASE_Tooth_Mobility | Tooth Mobility | 156 | 29 | Disease | disease | loss of strength and mobility
37244285 | @DISEASE_Fasciculation | Fasciculation | 197 | 35 | Disease | disease | decline of skeletal muscle function
37244285 | @DISEASE_Sarcopenia | Sarcopenia | 281 | 10 | Disease | disease | sarcopenia
37244285 | @DISEASE_Sarcopenia | Sarcopenia | 472 | 10 | Disease | disease | sarcopenia
37244285 | @DISEASE_Fibrosis | Fibrosis | 838 | 8 | Disease | disease | fibrosis
37244285 | @DISEASE_Muscle_Weakness | Muscle Weakness | 859 | 15 | Disease | disease | muscle weakness
37244285 | @DISEASE_Muscular_Diseases | Muscular Diseases | 936 | 27 | Disease | disease | skeletal muscle dysfunction
37403715 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 64 | 16 | Disease | disease | multiple myeloma
37403715 | @GENE_KLRC1 | KLRC1 | 217 | 6 | Gene | gene | NKG2DL
37403715 | @GENE_IL15RA | IL15RA | 236 | 7 | Gene | gene | IL-15Ra
37403715 | @GENE_IL15 | IL15 | 244 | 5 | Gene | gene | IL-15
37403715 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 315 | 16 | Disease | disease | multiple myeloma
37403715 | @GENE_KLRK1 | KLRK1 | 376 | 5 | Gene | gene | NKG2D
37403715 | @GENE_TNFRSF9 | TNFRSF9 | 406 | 5 | Gene | gene | 4-1BB
37403715 | @GENE_CD247 | CD247 | 416 | 4 | Gene | gene | CD3Z
37403715 | @GENE_IL15RA | IL15RA | 433 | 7 | Gene | gene | IL-15Ra
37403715 | @GENE_IL15 | IL15 | 441 | 5 | Gene | gene | IL-15
37403715 | @GENE_CXADRP1 | CXADRP1 | 468 | 3 | Gene | gene | CAR
37403715 | @GENE_IL15RA | IL15RA | 656 | 7 | Gene | gene | IL-15Ra
37403715 | @GENE_NCR3 | NCR3 | 795 | 5 | Gene | gene | NKp30
37403715 | @GENE_NCR2 | NCR2 | 802 | 5 | Gene | gene | NKp44
37403715 | @GENE_NCR1 | NCR1 | 809 | 5 | Gene | gene | NKp46
37403715 | @GENE_LAMP1 | LAMP1 | 856 | 6 | Gene | gene | CD107a
37403715 | @GENE_GZMB | GZMB | 891 | 10 | Gene | gene | granzyme B
37403715 | @DISEASE_Neoplasms | Neoplasms | 1019 | 5 | Disease | disease | tumor
37403715 | @GENE_KLRK1 | KLRK1 | 1094 | 5 | Gene | gene | NKG2D
37403715 | @CHEMICAL_Histamine | Histamine | 1138 | 9 | Chemical | chemical | histamine
37403715 | @DISEASE_Neoplasms | Neoplasms | 1158 | 5 | Disease | disease | tumor
37403715 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1256 | 22 | Disease | disease | multiple myeloma tumor
37403715 | @DISEASE_Neoplasms | Neoplasms | 1330 | 5 | Disease | disease | tumor
37403715 | @GENE_KLRK1 | KLRK1 | 1410 | 5 | Gene | gene | NKG2D
37403715 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1654 | 16 | Disease | disease | multiple myeloma
37403715 | @GENE_IL15RA | IL15RA | 1692 | 7 | Gene | gene | IL-15Ra
37403715 | @GENE_NCR2 | NCR2 | 1756 | 5 | Gene | gene | NKp44
37403715 | @GENE_MICA | MICA | 1940 | 29 | Gene | gene | MHC-I chain-related protein A
37403715 | @GENE_MICA | MICA | 1971 | 4 | Gene | gene | MICA
37403715 | @GENE_MICB | MICB | 1981 | 4 | Gene | gene | MICB
37403715 | @DISEASE_Neoplasms | Neoplasms | 1995 | 5 | Disease | disease | tumor
37403715 | @GENE_KLRC1 | KLRC1 | 2067 | 6 | Gene | gene | NKG2DL
37403715 | @DISEASE_Neoplasms | Neoplasms | 2119 | 5 | Disease | disease | tumor
37403715 | @GENE_GZMB | GZMB | 2132 | 10 | Gene | gene | granzyme B
37403715 | @GENE_LAMP1 | LAMP1 | 2213 | 10 | Gene | gene | CD107alpha
37403715 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 2238 | 22 | Disease | disease | multiple myeloma tumor
37403715 | @DISEASE_Neoplasms | Neoplasms | 2295 | 6 | Disease | disease | tumors
37403715 | @GENE_KLRC1 | KLRC1 | 2486 | 6 | Gene | gene | NKG2DL
37403715 | @GENE_IL15RA | IL15RA | 2504 | 7 | Gene | gene | IL-15Ra
37403715 | @GENE_IL15 | IL15 | 2512 | 5 | Gene | gene | IL-15
