35028605 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 115 | 16 | Disease | disease | hypersensitivity
38431635 | @GENE_STAT3 | STAT3 | 557 | 5 | Gene | gene | STAT3
38431635 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 597 | 20 | Disease | disease | rheumatoid arthritis
38431635 | @GENE_STAT3 | STAT3 | 643 | 5 | Gene | gene | STAT3
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 663 | 7 | Disease | disease | polyJIA
38431635 | @GENE_STAT3 | STAT3 | 708 | 5 | Gene | gene | STAT3
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 763 | 7 | Disease | disease | polyJIA
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 849 | 7 | Disease | disease | polyJIA
38431635 | @GENE_CD4 | CD4 | 1047 | 3 | Gene | gene | CD4
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 1254 | 7 | Disease | disease | polyJIA
38431635 | @GENE_CD4 | CD4 | 1303 | 3 | Gene | gene | CD4
38431635 | @GENE_CD4 | CD4 | 1396 | 3 | Gene | gene | CD4
38431635 | @GENE_IL2RA | IL2RA | 1402 | 4 | Gene | gene | CD25
38431635 | @GENE_FOXP3 | FOXP3 | 1409 | 5 | Gene | gene | FOXP3
38431635 | @GENE_STAT3 | STAT3 | 1473 | 5 | Gene | gene | STAT3
38431635 | @GENE_CD4 | CD4 | 1498 | 3 | Gene | gene | CD4
38431635 | @GENE_IL17A | IL17A | 1628 | 5 | Gene | gene | IL-17
38431635 | @GENE_CD4 | CD4 | 1675 | 3 | Gene | gene | CD4
38431635 | @GENE_CCR6 | CCR6 | 1744 | 4 | Gene | gene | CCR6
38431635 | @GENE_KLRB1 | KLRB1 | 1751 | 5 | Gene | gene | CD161
38431635 | @GENE_IFNG | IFNG | 1759 | 8 | Gene | gene | IFNgamma
38431635 | @GENE_IL17A | IL17A | 1770 | 5 | Gene | gene | IL-17
38431635 | @GENE_CCR6 | CCR6 | 1793 | 4 | Gene | gene | CCR6
38431635 | @GENE_KLRB1 | KLRB1 | 1800 | 5 | Gene | gene | CD161
38431635 | @GENE_IFNG | IFNG | 1808 | 8 | Gene | gene | IFNgamma
38431635 | @GENE_IL17A | IL17A | 1972 | 5 | Gene | gene | IL-17
38431635 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 2061 | 7 | Disease | disease | polyJIA
38431635 | @GENE_STAT3 | STAT3 | 2141 | 5 | Gene | gene | STAT3
38431635 | @DISEASE_Inflammation | Inflammation | 2318 | 12 | Disease | disease | inflammatory
38431635 | @GENE_CD4 | CD4 | 2331 | 3 | Gene | gene | CD4
38462549 | @DISEASE_Inflammation | Inflammation | 11 | 12 | Disease | disease | inflammatory
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 104 | 22 | Disease | disease | dilated cardiomyopathy
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 128 | 22 | Disease | disease | Dilated cardiomyopathy
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 152 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Heart_Failure | Heart Failure | 183 | 13 | Disease | disease | heart failure
38462549 | @DISEASE_Odontoma | Odontoma | 273 | 6 | Disease | disease | fibro-
38462549 | @DISEASE_Inflammation | Inflammation | 279 | 12 | Disease | disease | inflammatory
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 312 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 603 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 834 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Heart_Failure | Heart Failure | 859 | 13 | Disease | disease | heart failure
38462549 | @GENE_IFNG | IFNG | 923 | 9 | Gene | gene | IFN-gamma
38462549 | @GENE_RFX5 | RFX5 | 1020 | 4 | Gene | gene | RFX5
38462549 | @GENE_CD4 | CD4 | 1101 | 3 | Gene | gene | CD4
38462549 | @DISEASE_Inflammation | Inflammation | 1136 | 12 | Disease | disease | inflammatory
38462549 | @GENE_TGFB1 | TGFB1 | 1171 | 4 | Gene | gene | TGFB
38462549 | @GENE_CLEC2B | CLEC2B | 1182 | 6 | Gene | gene | CLEC2B
38462549 | @GENE_KLRB1 | KLRB1 | 1189 | 5 | Gene | gene | KLRB1
38462549 | @GENE_CD46 | CD46 | 1200 | 4 | Gene | gene | CD46
38462549 | @GENE_JAG1 | JAG1 | 1205 | 4 | Gene | gene | JAG1
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 1230 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 1429 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Inflammation | Inflammation | 1610 | 12 | Disease | disease | inflammation
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 1636 | 3 | Disease | disease | DCM
38462549 | @DISEASE_Odontoma | Odontoma | 1695 | 6 | Disease | disease | fibro-
38462549 | @DISEASE_Inflammation | Inflammation | 1701 | 12 | Disease | disease | inflammatory
38462549 | @DISEASE_Cardiomyopathy_Dilated | Cardiomyopathy Dilated | 1734 | 3 | Disease | disease | DCM
38479724 | @GENE_ROCK2 | Rock2 | 0 | 10 | Gene | gene | Rho-kinase
38479724 | @GENE_CD4 | Cd4 | 32 | 3 | Gene | gene | CD4
38479724 | @GENE_STAT3 | Stat3 | 94 | 5 | Gene | gene | STAT3
38479724 | @GENE_STAT5A | Stat5a | 104 | 5 | Gene | gene | STAT5
38479724 | @DISEASE_Corneal_Diseases | Corneal Diseases | 203 | 16 | Disease | disease | corneal diseases
38479724 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 478 | 19 | Disease | disease | autoimmune diseases
38479724 | @GENE_CD4 | Cd4 | 697 | 3 | Gene | gene | CD4
38479724 | @CHEMICAL_Y_27632 | Y 27632 | 862 | 6 | Chemical | chemical | Y27632
38479724 | @GENE_CD4 | Cd4 | 925 | 3 | Gene | gene | CD4
38479724 | @CHEMICAL_Y_27632 | Y 27632 | 953 | 6 | Chemical | chemical | Y27632
38479724 | @GENE_STAT5A | Stat5a | 1016 | 5 | Gene | gene | STAT5
38479724 | @GENE_STAT3 | Stat3 | 1098 | 5 | Gene | gene | STAT3
38479724 | @GENE_CD4 | Cd4 | 1111 | 3 | Gene | gene | CD4
38479724 | @GENE_CD4 | Cd4 | 1175 | 3 | Gene | gene | CD4
38479724 | @GENE_IL2RA | Il2ra | 1179 | 4 | Gene | gene | CD25
38479724 | @GENE_FOXP3 | Foxp3 | 1184 | 5 | Gene | gene | Foxp3
38479724 | @GENE_IKZF2 | Ikzf2 | 1190 | 6 | Gene | gene | Helios
38479724 | @GENE_CD4 | Cd4 | 1220 | 3 | Gene | gene | CD4
38479724 | @GENE_IL17A | Il17a | 1224 | 5 | Gene | gene | IL17A
38479724 | @CHEMICAL_Y_27632 | Y 27632 | 1254 | 6 | Chemical | chemical | Y27632
38479724 | @GENE_CD86 | Cd86 | 1375 | 4 | Gene | gene | CD86
38479724 | @GENE_ROCK1 | Rock1 | 1492 | 5 | Gene | gene | ROCK1
38479724 | @GENE_ROCK2 | Rock2 | 1499 | 5 | Gene | gene | ROCK2
38479724 | @GENE_ITGAX | Itgax | 1506 | 5 | Gene | gene | CD11c
38479724 | @GENE_IL17A | Il17a | 1516 | 6 | Gene | gene | IL-17A
38479724 | @GENE_IKZF2 | Ikzf2 | 1598 | 6 | Gene | gene | Helios
38479724 | @GENE_ROCK2 | Rock2 | 1622 | 10 | Gene | gene | Rho-kinase
38479724 | @GENE_STAT3 | Stat3 | 1731 | 5 | Gene | gene | STAT3
38479724 | @GENE_STAT5A | Stat5a | 1741 | 5 | Gene | gene | STAT5
38485795 | @GENE_HAVCR2 | HAVCR2 | 9 | 6 | Gene | gene | HAVCR2
38485795 | @GENE_HAVCR2 | HAVCR2 | 16 | 5 | Gene | gene | TIM-3
38485795 | @DISEASE_Myocarditis | Myocarditis | 76 | 28 | Disease | disease | Autoinflammatory Myocarditis
38485795 | @DISEASE_Myocarditis | Myocarditis | 106 | 11 | Disease | disease | Myocarditis
38485795 | @DISEASE_Virus_Diseases | Virus Diseases | 135 | 15 | Disease | disease | viral infection
38485795 | @DISEASE_Inflammation | Inflammation | 177 | 12 | Disease | disease | inflammatory
38485795 | @DISEASE_Myocarditis | Myocarditis | 229 | 24 | Disease | disease | inflammatory myocarditis
38485795 | @DISEASE_Myocarditis | Myocarditis | 367 | 11 | Disease | disease | myocarditis
38485795 | @CHEMICAL_Iodine | Iodine | 447 | 1 | Chemical | chemical | I
38485795 | @DISEASE_Myocarditis | Myocarditis | 565 | 11 | Disease | disease | myocarditis
38485795 | @VARIANT_p.Y82C_HAVCR2_human | c.245A>G | 598 | 11 | Variant | variant | c.245 A > G
38485795 | @VARIANT_p.Y82C_HAVCR2_human | p.Y82C | 610 | 10 | Variant | variant | p.Tyr82Cys
38485795 | @GENE_HAVCR2 | HAVCR2 | 643 | 37 | Gene | gene | Hepatitis A Virus Cellular Receptor 2
38485795 | @GENE_HAVCR2 | HAVCR2 | 682 | 6 | Gene | gene | HAVCR2
38485795 | @GENE_HAVCR2 | HAVCR2 | 704 | 59 | Gene | gene | T cell immunoglobulin and mucin domain-containing protein 3
38485795 | @GENE_HAVCR2 | HAVCR2 | 765 | 5 | Gene | gene | TIM-3
38485795 | @GENE_CD4 | CD4 | 877 | 3 | Gene | gene | CD4
38485795 | @GENE_CD8A | CD8A | 886 | 3 | Gene | gene | CD8
38485795 | @GENE_NCAM1 | NCAM1 | 907 | 4 | Gene | gene | CD56
38485795 | @GENE_CD14 | CD14 | 938 | 4 | Gene | gene | CD14
38485795 | @GENE_HAVCR2 | HAVCR2 | 980 | 5 | Gene | gene | TIM-3
38485795 | @GENE_TLR4 | TLR4 | 1008 | 4 | Gene | gene | TLR4
38485795 | @GENE_IL1B | IL1B | 1022 | 17 | Gene | gene | interleukin-1beta
38485795 | @GENE_IL1B | IL1B | 1041 | 8 | Gene | gene | IL-1beta
38485795 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1075 | 3 | Chemical | chemical | LPS
38485795 | @CHEMICAL_Adenosine_Triphosphate | Adenosine Triphosphate | 1079 | 3 | Chemical | chemical | ATP
38485795 | @GENE_HAVCR2 | HAVCR2 | 1162 | 5 | Gene | gene | TIM-3
38485795 | @VARIANT_p.Y82C_HAVCR2_human | p.Y82C | 1168 | 10 | Variant | variant | p.Tyr82Cys
38485795 | @GENE_CD4 | CD4 | 1179 | 3 | Gene | gene | CD4
38485795 | @GENE_CD8A | CD8A | 1188 | 3 | Gene | gene | CD8
38485795 | @GENE_IL2 | IL2 | 1253 | 4 | Gene | gene | IL-2
38485795 | @GENE_IFNG | IFNG | 1259 | 16 | Gene | gene | interferon gamma
38485795 | @GENE_PDCD1 | PDCD1 | 1385 | 4 | Gene | gene | PD-1
38485795 | @GENE_LAG3 | LAG3 | 1394 | 5 | Gene | gene | LAG-3
38485795 | @DISEASE_Hypomagnesemia_primary | Hypomagnesemia primary | 1485 | 16 | Disease | disease | TIM-3 deficiency
38485795 | @GENE_HAVCR2 | HAVCR2 | 1520 | 6 | Gene | gene | HAVCR2
38485795 | @VARIANT_p.Y82C_HAVCR2_human | c.245A>G | 1527 | 11 | Variant | variant | c.245 A > G
38485795 | @VARIANT_p.Y82C_HAVCR2_human | p.Y82C | 1539 | 10 | Variant | variant | p.Tyr82Cys
38485795 | @DISEASE_Hereditary_Autoinflammatory_Diseases | Hereditary Autoinflammatory Diseases | 1618 | 25 | Disease | disease | autoinflammatory symptoms
38485795 | @DISEASE_Myocarditis | Myocarditis | 1685 | 11 | Disease | disease | myocarditis
38485795 | @GENE_IL1B | IL1B | 1708 | 8 | Gene | gene | IL-1beta
38487164 | @CHEMICAL_baricitinib | baricitinib | 17 | 11 | Chemical | chemical | Baricitinib
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 58 | 17 | Disease | disease | atopic dermatitis
38487164 | @GENE_AKT1 | AKT1 | 118 | 3 | Gene | gene | Akt
38487164 | @GENE_MTOR | MTOR | 122 | 4 | Gene | gene | mTOR
38487164 | @GENE_CD4 | CD4 | 171 | 3 | Gene | gene | CD4
38487164 | @DISEASE_Inflammation | Inflammation | 189 | 20 | Disease | disease | inflammatory disease
38487164 | @DISEASE_Cytokine_Release_Syndrome | Cytokine Release Syndrome | 242 | 18 | Disease | disease | cytokine disorders
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 264 | 17 | Disease | disease | atopic dermatitis
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 283 | 2 | Disease | disease | AD
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 442 | 2 | Disease | disease | AD
38487164 | @CHEMICAL_baricitinib | baricitinib | 501 | 11 | Chemical | chemical | Baricitinib
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 633 | 2 | Disease | disease | AD
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 844 | 2 | Disease | disease | AD
38487164 | @GENE_JAK1 | JAK1 | 906 | 4 | Gene | gene | JAK1
38487164 | @GENE_JAK2 | JAK2 | 915 | 4 | Gene | gene | JAK2
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 944 | 2 | Disease | disease | AD
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 1061 | 2 | Disease | disease | AD
38487164 | @CHEMICAL_baricitinib | baricitinib | 1074 | 11 | Chemical | chemical | Baricitinib
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 1170 | 2 | Disease | disease | AD
38487164 | @GENE_MTOR | MTOR | 1276 | 4 | Gene | gene | mTOR
38487164 | @GENE_AKT1 | AKT1 | 1290 | 3 | Gene | gene | Akt
38487164 | @CHEMICAL_baricitinib | baricitinib | 1385 | 11 | Chemical | chemical | Baricitinib
38487164 | @DISEASE_Dermatitis_Atopic | Dermatitis Atopic | 1426 | 2 | Disease | disease | AD
38506564 | @GENE_SERPINH1 | SERPINH1 | 107 | 8 | Gene | gene | SERPINH1
38506564 | @DISEASE_Glioma | Glioma | 119 | 6 | Disease | disease | glioma
38506564 | @GENE_SERPINH1 | SERPINH1 | 139 | 8 | Gene | gene | SERPINH1
38506564 | @DISEASE_Neoplasms | Neoplasms | 184 | 7 | Disease | disease | cancers
38506564 | @DISEASE_Glioma | Glioma | 302 | 6 | Disease | disease | glioma
38506564 | @GENE_SERPINH1 | SERPINH1 | 383 | 8 | Gene | gene | SERPINH1
38506564 | @DISEASE_Glioma | Glioma | 395 | 6 | Disease | disease | glioma
38506564 | @GENE_SERPINH1 | SERPINH1 | 541 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 625 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 707 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 766 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 822 | 8 | Gene | gene | SERPINH1
38506564 | @DISEASE_Glioma | Glioma | 875 | 6 | Disease | disease | glioma
38506564 | @GENE_SERPINH1 | SERPINH1 | 1008 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 1089 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 1240 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_SERPINH1 | SERPINH1 | 1346 | 8 | Gene | gene | SERPINH1
38506564 | @DISEASE_Glioma | Glioma | 1423 | 6 | Disease | disease | glioma
38506564 | @GENE_SERPINH1 | SERPINH1 | 1492 | 8 | Gene | gene | SERPINH1
38506564 | @GENE_CD4 | CD4 | 1543 | 3 | Gene | gene | CD4
38506564 | @GENE_CD8A | CD8A | 1552 | 3 | Gene | gene | CD8
38506564 | @GENE_SERPINH1 | SERPINH1 | 1579 | 8 | Gene | gene | SERPINH1
38506564 | @DISEASE_Glioma | Glioma | 1610 | 6 | Disease | disease | glioma
38506564 | @DISEASE_Glioma | Glioma | 1718 | 6 | Disease | disease | glioma
38565387 | @GENE_CIRBP | CIRBP | 14 | 4 | Gene | gene | CIRP
38565387 | @GENE_IL6R | IL6R | 49 | 4 | Gene | gene | IL6R
38565387 | @GENE_STAT3 | STAT3 | 54 | 5 | Gene | gene | STAT3
38565387 | @DISEASE_IgA_Vasculitis | IgA Vasculitis | 73 | 14 | Disease | disease | IgA vasculitis
38565387 | @DISEASE_Vasculitis | Vasculitis | 89 | 27 | Disease | disease | Immunoglobulin A vasculitis
38565387 | @DISEASE_Vasculitis | Vasculitis | 118 | 4 | Disease | disease | IgAV
38565387 | @DISEASE_Vasculitis | Vasculitis | 143 | 10 | Disease | disease | vasculitis
38565387 | @GENE_CIRBP | CIRBP | 391 | 34 | Gene | gene | cold inducible RNA binding protein
38565387 | @GENE_CIRBP | CIRBP | 427 | 4 | Gene | gene | CIRP
38565387 | @DISEASE_Vasculitis | Vasculitis | 450 | 4 | Disease | disease | IgAV
38565387 | @GENE_CIRBP | CIRBP | 469 | 4 | Gene | gene | CIRP
38565387 | @GENE_PTPRC | PTPRC | 571 | 6 | Gene | gene | CD45RA
38565387 | @GENE_SELL | SELL | 578 | 5 | Gene | gene | CD62L
38565387 | @GENE_FAS | FAS | 584 | 4 | Gene | gene | CD95
38565387 | @GENE_IL6R | IL6R | 727 | 5 | Gene | gene | IL6Ra
38565387 | @GENE_CIRBP | CIRBP | 778 | 4 | Gene | gene | CIRP
38565387 | @GENE_CD4 | CD4 | 812 | 3 | Gene | gene | CD4
38565387 | @GENE_CD8A | CD8A | 821 | 3 | Gene | gene | CD8
38565387 | @GENE_STAT3 | STAT3 | 902 | 5 | Gene | gene | STAT3
38565387 | @GENE_IL6R | IL6R | 921 | 9 | Gene | gene | IL6Ralpha
38565387 | @GENE_CIRBP | CIRBP | 942 | 4 | Gene | gene | CIRP
38565387 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 962 | 8 | Disease | disease | toxicity
38565387 | @GENE_CIRBP | CIRBP | 1019 | 4 | Gene | gene | CIRP
38565387 | @DISEASE_Inflammation | Inflammation | 1091 | 12 | Disease | disease | inflammation
38565387 | @GENE_IL6R | IL6R | 1155 | 5 | Gene | gene | IL6Ra
38565387 | @GENE_CIRBP | CIRBP | 1205 | 4 | Gene | gene | CIRP
38565387 | @DISEASE_Vasculitis | Vasculitis | 1244 | 4 | Disease | disease | IgAV
38565387 | @GENE_CIRBP | CIRBP | 1267 | 4 | Gene | gene | CIRP
38565387 | @GENE_IL6R | IL6R | 1276 | 5 | Gene | gene | IL6Ra
38565387 | @DISEASE_Vasculitis | Vasculitis | 1319 | 4 | Disease | disease | IgAV
38579905 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 67 | 12 | Disease | disease | AKI-COVID-19
38579905 | @DISEASE_Acute_Kidney_Injury | Acute Kidney Injury | 302 | 19 | Disease | disease | acute kidney injury
38579905 | @DISEASE_Acute_Kidney_Injury | Acute Kidney Injury | 323 | 3 | Disease | disease | AKI
38579905 | @DISEASE_COVID_19 | COVID-19 | 328 | 8 | Disease | disease | COVID-19
38579905 | @DISEASE_COVID_19 | COVID-19 | 338 | 24 | Disease | disease | coronavirus disease 2019
38579905 | @DISEASE_Acute_Kidney_Injury | Acute Kidney Injury | 606 | 3 | Disease | disease | AKI
38579905 | @DISEASE_COVID_19 | COVID-19 | 614 | 16 | Disease | disease | COVID-19 disease
38579905 | @DISEASE_Stiff_Person_Syndrome | Stiff-Person Syndrome | 671 | 18 | Disease | disease | Inheritance in Man
38579905 | @DISEASE_Genetic_Diseases_Inborn | Genetic Diseases Inborn | 691 | 4 | Disease | disease | OMIM
38579905 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 884 | 12 | Disease | disease | AKI-COVID-19
38579905 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 1454 | 12 | Disease | disease | AKI-COVID-19
38579905 | @GENE_TP53 | TP53 | 1520 | 4 | Gene | gene | TP53
38579905 | @GENE_JAK2 | JAK2 | 1526 | 4 | Gene | gene | JAK2
38579905 | @GENE_PIK3CA | PIK3CA | 1532 | 6 | Gene | gene | PIK3CA
38579905 | @GENE_PTGS2 | PTGS2 | 1540 | 5 | Gene | gene | PTGS2
38579905 | @GENE_KEAP1 | KEAP1 | 1547 | 5 | Gene | gene | KEAP1
38579905 | @GENE_MCL1 | MCL1 | 1558 | 4 | Gene | gene | MCL1
38579905 | @GENE_CD4 | CD4 | 1894 | 3 | Gene | gene | CD4
