38449806 | @GENE_CCR5 | Ccr5 | 0 | 4 | Gene | gene | CCR5
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 1501 | 7 | Chemical | chemical | TAK-779
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 1573 | 7 | Chemical | chemical | TAK-779
38449806 | @CHEMICAL_Dexamethasone | Dexamethasone | 1626 | 13 | Chemical | chemical | dexamethasone
38449806 | @GENE_IL6R | IL6R | 1652 | 4 | Gene | gene | IL6R
38449806 | @CHEMICAL_tocilizumab | tocilizumab | 1678 | 11 | Chemical | chemical | tocilizumab
38449806 | @CHEMICAL_TAK_779 | TAK 779 | 1734 | 7 | Chemical | chemical | TAK-779
38449806 | @GENE_CCR5 | Ccr5 | 1752 | 4 | Gene | gene | CCR5
38449806 | @DISEASE_Syndrome | Syndrome | 1803 | 27 | Disease | disease | hyperinflammation syndromes
38449806 | @DISEASE_COVID_19 | COVID-19 | 1842 | 8 | Disease | disease | COVID-19
38566145 | @DISEASE_Psoriasis | Psoriasis | 35 | 9 | Disease | disease | psoriasis
38566145 | @GENE_IL17A | Il17a | 71 | 6 | Gene | gene | IL-17A
38566145 | @DISEASE_Psoriasis | Psoriasis | 123 | 9 | Disease | disease | Psoriasis
38566145 | @DISEASE_Skin_Diseases | Skin Diseases | 162 | 14 | Disease | disease | skin condition
38566145 | @DISEASE_Psoriasis | Psoriasis | 236 | 9 | Disease | disease | psoriasis
38566145 | @DISEASE_Psoriasis | Psoriasis | 338 | 9 | Disease | disease | psoriasis
38566145 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 459 | 19 | Disease | disease | autoimmune diseases
38566145 | @DISEASE_Psoriasis | Psoriasis | 548 | 9 | Disease | disease | psoriasis
38566145 | @CHEMICAL_Imiquimod | Imiquimod | 660 | 9 | Chemical | chemical | imiquimod
38566145 | @CHEMICAL_Imiquimod | Imiquimod | 671 | 3 | Chemical | chemical | IMQ
38566145 | @DISEASE_Psoriasis | Psoriasis | 684 | 9 | Disease | disease | psoriasis
38566145 | @DISEASE_Inflammation | Inflammation | 739 | 17 | Disease | disease | skin inflammation
38566145 | @GENE_IL17A | Il17a | 761 | 6 | Gene | gene | IL-17A
38566145 | @DISEASE_Inflammation | Inflammation | 867 | 12 | Disease | disease | inflammatory
38566145 | @GENE_IL17A | Il17a | 1006 | 6 | Gene | gene | IL-17A
38566145 | @GENE_RORC | Rorc | 1016 | 4 | Gene | gene | RORc
38566145 | @DISEASE_Inflammation | Inflammation | 1116 | 17 | Disease | disease | skin inflammation
38566145 | @GENE_KLRK1 | Klrk1 | 1190 | 5 | Gene | gene | NKG2D
38566145 | @DISEASE_Psoriasis | Psoriasis | 1255 | 9 | Disease | disease | psoriasis
38566145 | @CHEMICAL_Imiquimod | Imiquimod | 1276 | 3 | Chemical | chemical | IMQ
38566145 | @GENE_KLRK1 | Klrk1 | 1299 | 5 | Gene | gene | NKG2D
38566145 | @GENE_KLRK1 | Klrk1 | 1316 | 5 | Gene | gene | NKG2D
38566145 | @GENE_RORC | Rorc | 1392 | 4 | Gene | gene | RORc
38566145 | @GENE_IL17A | Il17a | 1397 | 5 | Gene | gene | IL17A
38566145 | @GENE_CCR5 | Ccr5 | 1448 | 4 | Gene | gene | Ccr5
38566145 | @CHEMICAL_Imiquimod | Imiquimod | 1556 | 3 | Chemical | chemical | IMQ
38566145 | @DISEASE_Skin_Diseases | Skin Diseases | 1568 | 12 | Disease | disease | skin lesions
38566145 | @GENE_CCR5 | Ccr5 | 1645 | 4 | Gene | gene | CCR5
38566145 | @GENE_IL17A | Il17a | 1671 | 5 | Gene | gene | IL-17
38566145 | @DISEASE_Psoriasis | Psoriasis | 1738 | 9 | Disease | disease | psoriasis
38566145 | @DISEASE_Psoriasis | Psoriasis | 1846 | 9 | Disease | disease | psoriasis
216614 | @CHEMICAL_3_(3_amino_3_carboxypropyl)uridine | 3-(3-amino-3-carboxypropyl)uridine | 48 | 12 | Chemical | chemical | nucleoside X
216614 | @CHEMICAL_3_(3_amino_3_carboxypropyl)uridine | 3-(3-amino-3-carboxypropyl)uridine | 294 | 12 | Chemical | chemical | nucleoside X
216614 | @CHEMICAL_3_(3_amino_3_carboxypropyl)uridine | 3-(3-amino-3-carboxypropyl)uridine | 804 | 12 | Chemical | chemical | nucleoside X
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 0 | 14 | Chemical | chemical | N-nitrosamines
3953157 | @CHEMICAL_Nitrites | Nitrites | 28 | 7 | Chemical | chemical | nitrite
3953157 | @CHEMICAL_Nitrites | Nitrites | 163 | 7 | Chemical | chemical | nitrite
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 175 | 14 | Chemical | chemical | N-nitrosamines
3953157 | @CHEMICAL_Nitrites | Nitrites | 191 | 7 | Chemical | chemical | Nitrite
3953157 | @CHEMICAL_Sulfanilamide | Sulfanilamide | 231 | 13 | Chemical | chemical | sulfanilamide
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 299 | 14 | Chemical | chemical | N-nitrosamines
3953157 | @CHEMICAL_Nitrites | Nitrites | 466 | 7 | Chemical | chemical | nitrite
3953157 | @CHEMICAL_Sodium_Nitrite | Sodium Nitrite | 505 | 5 | Chemical | chemical | NaNO2
3953157 | @CHEMICAL_Sodium_Nitrite | Sodium Nitrite | 557 | 5 | Chemical | chemical | NaNO2
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 614 | 14 | Chemical | chemical | N-nitrosamines
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 698 | 12 | Chemical | chemical | nitrosamines
3953157 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 744 | 22 | Chemical | chemical | N-nitrosodimethylamine
3953157 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 768 | 4 | Chemical | chemical | NDMA
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 782 | 11 | Chemical | chemical | nitrosamine
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 899 | 14 | Chemical | chemical | N-nitrosamines
3953157 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 926 | 19 | Chemical | chemical | N-nitrosopiperidine
3953157 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 947 | 4 | Chemical | chemical | NPIP
3953157 | @CHEMICAL_Diethylnitrosamine | Diethylnitrosamine | 986 | 21 | Chemical | chemical | N-nitrosodiethylamine
3953157 | @CHEMICAL_Diethylnitrosamine | Diethylnitrosamine | 1009 | 4 | Chemical | chemical | NDEA
3953157 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1051 | 20 | Chemical | chemical | N-nitrosopyrrolidine
3953157 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1073 | 4 | Chemical | chemical | NPYR
3953157 | @CHEMICAL_N_nitrosomorpholine | N-nitrosomorpholine | 1116 | 19 | Chemical | chemical | N-nitrosomorpholine
3953157 | @CHEMICAL_N_nitrosothiazolidine | N-nitrosothiazolidine | 1164 | 21 | Chemical | chemical | N-nitrosothiazolidine
3953157 | @CHEMICAL_N_nitrosothiazolidine | N-nitrosothiazolidine | 1187 | 4 | Chemical | chemical | NTHZ
3953157 | @CHEMICAL_N_nitrosothiazolidine | N-nitrosothiazolidine | 1250 | 4 | Chemical | chemical | NTHZ
3953157 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1414 | 4 | Chemical | chemical | NPYR
3953157 | @CHEMICAL_N_nitrosothiazolidine | N-nitrosothiazolidine | 1470 | 4 | Chemical | chemical | NTHZ
3953157 | @CHEMICAL_N_nitrosothiazolidine | N-nitrosothiazolidine | 1535 | 4 | Chemical | chemical | NTHZ
3953157 | @CHEMICAL_Nitrites | Nitrites | 1629 | 7 | Chemical | chemical | nitrite
3953157 | @CHEMICAL_Nitrosamines | Nitrosamines | 1648 | 13 | Chemical | chemical | N-nitrosamine
3953157 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 1766 | 4 | Chemical | chemical | NDMA
3953157 | @CHEMICAL_Diethylnitrosamine | Diethylnitrosamine | 1772 | 4 | Chemical | chemical | NDEA
3953157 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1778 | 4 | Chemical | chemical | NPIP
3953157 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1787 | 4 | Chemical | chemical | NPYR
3953157 | @CHEMICAL_N_nitrosothiazolidine | N-nitrosothiazolidine | 1842 | 4 | Chemical | chemical | NTHZ
7130088 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 24 | 22 | Chemical | chemical | N-nitrosodimethylamine
7130088 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 51 | 20 | Chemical | chemical | N-nitrosopyrrolidine
7130088 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 257 | 22 | Chemical | chemical | N-nitrosodimethylamine
7130088 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 281 | 4 | Chemical | chemical | NDMA
7130088 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 291 | 20 | Chemical | chemical | N-nitrosopyrrolidine
7130088 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 313 | 4 | Chemical | chemical | NPYR
7130088 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 476 | 4 | Chemical | chemical | NDMA
7130088 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 510 | 4 | Chemical | chemical | NPYR
7130088 | @CHEMICAL_Mineral_Oil | Mineral Oil | 701 | 11 | Chemical | chemical | mineral oil
7130088 | @CHEMICAL_Nitrosamines | Nitrosamines | 876 | 11 | Chemical | chemical | nitrosamine
7130088 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 932 | 4 | Chemical | chemical | NDMA
7130088 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 945 | 4 | Chemical | chemical | NPYR
7130088 | @CHEMICAL_Nitrosamines | Nitrosamines | 1079 | 12 | Chemical | chemical | nitrosamines
19161662 | @CHEMICAL_Nitrosamines | Nitrosamines | 18 | 14 | Chemical | chemical | N-nitrosamines
19161662 | @CHEMICAL_Drinking_Water | Drinking Water | 44 | 14 | Chemical | chemical | drinking water
19161662 | @CHEMICAL_Nitrosamines | Nitrosamines | 1082 | 12 | Chemical | chemical | nitrosamines
19161662 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 1096 | 22 | Chemical | chemical | N-nitrosodimethylamine
19161662 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 1120 | 4 | Chemical | chemical | NDMA
19161662 | @CHEMICAL_Diethylnitrosamine | Diethylnitrosamine | 1161 | 21 | Chemical | chemical | N-nitrosodiethylamine
19161662 | @CHEMICAL_Diethylnitrosamine | Diethylnitrosamine | 1184 | 4 | Chemical | chemical | NDEA
19161662 | @CHEMICAL_N_nitroso(di_n_propyl)amine | N-nitroso(di-n-propyl)amine | 1191 | 25 | Chemical | chemical | N-nitrosodi-n-propylamine
19161662 | @CHEMICAL_N_nitroso(di_n_propyl)amine | N-nitroso(di-n-propyl)amine | 1218 | 4 | Chemical | chemical | NDPA
19161662 | @CHEMICAL_dibutylnitrosamine | dibutylnitrosamine | 1225 | 24 | Chemical | chemical | N-nitrosodi-n-butylamine
19161662 | @CHEMICAL_dibutylnitrosamine | dibutylnitrosamine | 1251 | 4 | Chemical | chemical | NDBA
19161662 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1258 | 19 | Chemical | chemical | N-nitrosopiperidine
19161662 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1279 | 4 | Chemical | chemical | NPip
19161662 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1290 | 20 | Chemical | chemical | N-nitrosopyrrolidine
19161662 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1312 | 4 | Chemical | chemical | NPyr
19161662 | @CHEMICAL_Nitrosamines | Nitrosamines | 1356 | 12 | Chemical | chemical | nitrosamines
19161662 | @CHEMICAL_dibutylnitrosamine | dibutylnitrosamine | 1399 | 4 | Chemical | chemical | NDBA
19161662 | @CHEMICAL_N_nitroso(di_n_propyl)amine | N-nitroso(di-n-propyl)amine | 1412 | 4 | Chemical | chemical | NDPA
19161662 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1425 | 4 | Chemical | chemical | NPip
19161662 | @CHEMICAL_Diethylnitrosamine | Diethylnitrosamine | 1438 | 4 | Chemical | chemical | NDEA
19161662 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1452 | 4 | Chemical | chemical | NPyr
19161662 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 1484 | 4 | Chemical | chemical | NDMA
19161662 | @CHEMICAL_Nitrosamines | Nitrosamines | 1526 | 12 | Chemical | chemical | nitrosamines
19161662 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1656 | 4 | Chemical | chemical | NPyr
19161662 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1665 | 4 | Chemical | chemical | NPip
19161662 | @CHEMICAL_Water | Water | 1683 | 5 | Chemical | chemical | water
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 20 | 29 | Disease | disease | chronic lymphocytic leukaemia
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 54 | 26 | Disease | disease | small lymphocytic lymphoma
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 174 | 29 | Disease | disease | chronic lymphocytic leukaemia
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 205 | 3 | Disease | disease | CLL
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 252 | 26 | Disease | disease | small lymphocytic lymphoma
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 280 | 3 | Disease | disease | SLL
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 689 | 3 | Disease | disease | CLL
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 697 | 3 | Disease | disease | SLL
29153094 | @GENE_CXCR3 | CXCR3 | 894 | 5 | Gene | gene | CXCR3
29153094 | @GENE_CXCR3 | CXCR3 | 901 | 5 | Gene | gene | CD183
29153094 | @GENE_CXCR4 | CXCR4 | 942 | 5 | Gene | gene | CXCR4
29153094 | @GENE_CXCR4 | CXCR4 | 949 | 5 | Gene | gene | CD184
29153094 | @GENE_ITGA4 | ITGA4 | 1018 | 15 | Gene | gene | integrin alpha4
29153094 | @GENE_ITGA4 | ITGA4 | 1041 | 5 | Gene | gene | CD49d
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 1052 | 3 | Disease | disease | CLL
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1077 | 3 | Disease | disease | SLL
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1254 | 3 | Disease | disease | SLL
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 1283 | 3 | Disease | disease | CLL
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 1475 | 3 | Disease | disease | CLL
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1493 | 3 | Disease | disease | SLL
29153094 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1513 | 3 | Disease | disease | SLL
29153094 | @DISEASE_Leukemia_Prolymphocytic_T_Cell | Leukemia Prolymphocytic T-Cell | 1556 | 3 | Disease | disease | CLL
29950561 | @GENE_SMAD6 | SMAD6 | 8 | 5 | Gene | gene | Smad6
29950561 | @GENE_PIAS3 | PIAS3 | 62 | 5 | Gene | gene | PIAS3
29950561 | @GENE_STAT3 | STAT3 | 77 | 5 | Gene | gene | STAT3
29950561 | @GENE_STAT3 | STAT3 | 152 | 50 | Gene | gene | signal transducer and activator of transcription 3
29950561 | @GENE_STAT3 | STAT3 | 204 | 5 | Gene | gene | STAT3
29950561 | @DISEASE_Glioma | Glioma | 225 | 7 | Disease | disease | gliomas
29950561 | @GENE_SMAD6 | SMAD6 | 283 | 5 | Gene | gene | Smad6
29950561 | @DISEASE_Glioma | Glioma | 319 | 6 | Disease | disease | glioma
29950561 | @GENE_STAT3 | STAT3 | 391 | 5 | Gene | gene | STAT3
29950561 | @GENE_STAT3 | STAT3 | 468 | 5 | Gene | gene | STAT3
29950561 | @GENE_PIAS3 | PIAS3 | 475 | 5 | Gene | gene | PIAS3
29950561 | @GENE_SMAD6 | SMAD6 | 497 | 5 | Gene | gene | Smad6
29950561 | @GENE_PIAS3 | PIAS3 | 527 | 5 | Gene | gene | PIAS3
29950561 | @GENE_SMAD6 | SMAD6 | 610 | 5 | Gene | gene | Smad6
29950561 | @GENE_PIAS3 | PIAS3 | 639 | 5 | Gene | gene | PIAS3
29950561 | @GENE_SMAD6 | SMAD6 | 646 | 5 | Gene | gene | Smad6
29950561 | @GENE_SMURF1 | SMURF1 | 661 | 6 | Gene | gene | Smurf1
29950561 | @GENE_PIAS3 | PIAS3 | 682 | 5 | Gene | gene | PIAS3
29950561 | @GENE_SMAD6 | SMAD6 | 777 | 5 | Gene | gene | Smad6
29950561 | @GENE_SMAD6 | SMAD6 | 798 | 5 | Gene | gene | Smad6
29950561 | @GENE_PIAS3 | PIAS3 | 812 | 5 | Gene | gene | PIAS3
29950561 | @GENE_STAT3 | STAT3 | 827 | 5 | Gene | gene | STAT3
29950561 | @DISEASE_Glioma | Glioma | 857 | 6 | Disease | disease | glioma
29950561 | @GENE_PIAS3 | PIAS3 | 961 | 5 | Gene | gene | PIAS3
29950561 | @GENE_SMAD6 | SMAD6 | 1057 | 5 | Gene | gene | Smad6
29950561 | @DISEASE_Glioma | Glioma | 1072 | 6 | Disease | disease | glioma
29950561 | @GENE_PIAS3 | PIAS3 | 1103 | 5 | Gene | gene | PIAS3
29950561 | @GENE_STAT3 | STAT3 | 1136 | 5 | Gene | gene | STAT3
30054984 | @GENE_STAT3 | STAT3 | 46 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 83 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 111 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 256 | 5 | Gene | gene | STAT3
30054984 | @GENE_PIAS3 | PIAS3 | 263 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 274 | 5 | Gene | gene | STAT3
30054984 | @GENE_PIAS3 | PIAS3 | 325 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 331 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Neoplasms | Neoplasms | 378 | 6 | Disease | disease | tumour
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 395 | 12 | Disease | disease | colon cancer
30054984 | @GENE_STAT3 | STAT3 | 465 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 508 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 592 | 5 | Gene | gene | PIAS3
30054984 | @GENE_PIAS3 | PIAS3 | 755 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 761 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Neoplasms | Neoplasms | 803 | 6 | Disease | disease | tumour
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 820 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 947 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 957 | 5 | Gene | gene | STAT3
30054984 | @GENE_PIAS3 | PIAS3 | 1081 | 5 | Gene | gene | PIAS3
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1143 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 1212 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 1255 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1308 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 1342 | 5 | Gene | gene | PIAS3
30054984 | @DISEASE_Neoplasms | Neoplasms | 1480 | 6 | Disease | disease | tumour
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1497 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 1523 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 1586 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1629 | 12 | Disease | disease | colon cancer
30054984 | @GENE_PIAS3 | PIAS3 | 1695 | 5 | Gene | gene | PIAS3
30054984 | @GENE_STAT3 | STAT3 | 1701 | 5 | Gene | gene | STAT3
30054984 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1734 | 12 | Disease | disease | colon cancer
30537729 | @GENE_MIR21A | Mir21a | 32 | 6 | Gene | gene | miR-21
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 42 | 18 | Disease | disease | Acute Pancreatitis
30537729 | @GENE_MIR21A | Mir21a | 132 | 11 | Gene | gene | microRNA 21
30537729 | @GENE_MIR21A | Mir21a | 145 | 6 | Gene | gene | miR-21
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 172 | 18 | Disease | disease | acute pancreatitis
30537729 | @GENE_MIR21A | Mir21a | 246 | 6 | Gene | gene | miR-21
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 256 | 12 | Disease | disease | pancreatitis
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 273 | 12 | Disease | disease | pancreatitis
30537729 | @DISEASE_Lung_Injury | Lung Injury | 297 | 11 | Disease | disease | lung injury
30537729 | @GENE_MIR21A | Mir21a | 454 | 6 | Gene | gene | miR-21
30537729 | @CHEMICAL_Ceruletide | Ceruletide | 493 | 9 | Chemical | chemical | caerulein
30537729 | @CHEMICAL_Ceruletide | Ceruletide | 944 | 9 | Chemical | chemical | caerulein
30537729 | @DISEASE_Inflammation | Inflammation | 1070 | 12 | Disease | disease | inflammatory
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 1135 | 18 | Disease | disease | acute pancreatitis
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 1251 | 17 | Disease | disease | pancreatic injury
30537729 | @GENE_PIAS3 | Pias3 | 1305 | 5 | Gene | gene | Pias3
30537729 | @GENE_HMGB1 | Hmgb1 | 1333 | 5 | Gene | gene | Hmgb1
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 1392 | 12 | Disease | disease | pancreatitis
30537729 | @GENE_HMGB1 | Hmgb1 | 1428 | 5 | Gene | gene | Hmgb1
30537729 | @GENE_MIR21A | Mir21a | 1480 | 6 | Gene | gene | miR-21
30537729 | @GENE_MIR21A | Mir21a | 1542 | 6 | Gene | gene | miR-21
30537729 | @CHEMICAL_Ceruletide | Ceruletide | 1571 | 9 | Chemical | chemical | caerulein
30537729 | @DISEASE_Pancreatitis | Pancreatitis | 1589 | 19 | Disease | disease | acute pancreatitis-
30537729 | @DISEASE_Lung_Injury | Lung Injury | 1619 | 11 | Disease | disease | lung injury
30537729 | @GENE_HMGB1 | Hmgb1 | 1645 | 5 | Gene | gene | Hmgb1
30537729 | @GENE_MIR21A | Mir21a | 1712 | 6 | Gene | gene | miR-21
