36232721 | @DISEASE_Liver_Failure | Liver Failure | 9 | 21 | Disease | disease | and Liver Homeostasis
38582276 | @DISEASE_Thrombosis | Thrombosis | 214 | 10 | Disease | disease | thrombotic
38582276 | @DISEASE_Hemorrhage | Hemorrhage | 229 | 11 | Disease | disease | hemorrhagic
38582276 | @GENE_CNR2 | Cnr2 | 332 | 3 | Gene | gene | CB2
38582276 | @DISEASE_Brain_Damage_Chronic | Brain Damage Chronic | 422 | 14 | Disease | disease | brain damaging
38582276 | @DISEASE_Stroke | Stroke | 527 | 6 | Disease | disease | stroke
38582276 | @DISEASE_Infarction_Middle_Cerebral_Artery | Infarction Middle Cerebral Artery | 603 | 32 | Disease | disease | Middle Cerebral Artery Occlusion
38582276 | @DISEASE_Infarction_Middle_Cerebral_Artery | Infarction Middle Cerebral Artery | 637 | 4 | Disease | disease | MCAO
38582276 | @DISEASE_Infarction_Middle_Cerebral_Artery | Infarction Middle Cerebral Artery | 681 | 4 | Disease | disease | MCAO
38582276 | @DISEASE_Infarction_Middle_Cerebral_Artery | Infarction Middle Cerebral Artery | 715 | 4 | Disease | disease | MCAO
38582276 | @DISEASE_Infarction_Middle_Cerebral_Artery | Infarction Middle Cerebral Artery | 773 | 4 | Disease | disease | MCAO
38582276 | @CHEMICAL_Lactic_Acid | Lactic Acid | 864 | 7 | Chemical | chemical | lactate
38582276 | @CHEMICAL_N_acetylaspartate | N-acetylaspartate | 872 | 18 | Chemical | chemical | n-acetyl aspartate
38582276 | @GENE_MBP | Mbp | 987 | 3 | Gene | gene | MBP
38582276 | @DISEASE_Paresis | Paresis | 1000 | 11 | Disease | disease | hemiparesis
38582276 | @CHEMICAL_Glutamic_Acid | Glutamic Acid | 1073 | 9 | Chemical | chemical | glutamate
38582276 | @CHEMICAL_N_acetylaspartate | N-acetylaspartate | 1083 | 18 | Chemical | chemical | n-acetyl aspartate
38582276 | @DISEASE_Neuroinflammatory_Diseases | Neuroinflammatory Diseases | 1166 | 17 | Disease | disease | neuroinflammation
38582276 | @GENE_TLR4 | Tlr4 | 1185 | 20 | Gene | gene | Toll-like receptor 4
38582276 | @GENE_TNF | Tnf | 1210 | 4 | Gene | gene | TNFa
38582276 | @DISEASE_Infarction_Middle_Cerebral_Artery | Infarction Middle Cerebral Artery | 1357 | 4 | Disease | disease | MCAO
38582276 | @DISEASE_Infarction | Infarction | 1412 | 7 | Disease | disease | infarct
38582276 | @DISEASE_Brain_Damage_Chronic | Brain Damage Chronic | 1453 | 12 | Disease | disease | brain damage
38582276 | @DISEASE_Neuroinflammatory_Diseases | Neuroinflammatory Diseases | 1626 | 17 | Disease | disease | neuroinflammation
38582276 | @DISEASE_Stroke | Stroke | 1802 | 6 | Disease | disease | stroke
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 58 | 18 | Disease | disease | plasmacytoma tumor
6161166 | @DISEASE_Neoplasms | Neoplasms | 147 | 5 | Disease | disease | tumor
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 307 | 12 | Disease | disease | plasmacytoma
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 321 | 3 | Disease | disease | PCT
6161166 | @DISEASE_Lymphoma_T_Cell | Lymphoma T-Cell | 364 | 4 | Disease | disease | CTLL
6161166 | @DISEASE_Neoplasms | Neoplasms | 544 | 5 | Disease | disease | tumor
6161166 | @DISEASE_Neoplasms | Neoplasms | 595 | 5 | Disease | disease | tumor
6161166 | @DISEASE_Neoplasms | Neoplasms | 684 | 5 | Disease | disease | tumor
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 756 | 3 | Disease | disease | PCT
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 816 | 3 | Disease | disease | PCT
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 850 | 3 | Disease | disease | PCT
6161166 | @DISEASE_Lymphoma | Lymphoma | 858 | 11 | Disease | disease | T lymphomas
6161166 | @DISEASE_Plasmacytoma | Plasmacytoma | 892 | 3 | Disease | disease | PCT
6161166 | @DISEASE_Lymphoma_T_Cell | Lymphoma T-Cell | 940 | 4 | Disease | disease | CTLL
6161166 | @GENE_THY1 | Thy1 | 1096 | 7 | Gene | gene | Thy-1.2
6161166 | @GENE_CD8A | Cd8a | 1105 | 5 | Gene | gene | Lyt-2
6161166 | @GENE_CD5 | Cd5 | 1235 | 5 | Gene | gene | Lyt-1
6774049 | @GENE_IGHV2_3 | Ighv2-3 | 157 | 26 | Gene | gene | immunoglobulin heavy-chain
6774049 | @GENE_IGKV9_129 | Igkv9-129 | 220 | 32 | Gene | gene | immunoglobulin kappa-light-chain
6774049 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 380 | 15 | Disease | disease | myeloma protein
6774049 | @GENE_SERPINB1_PS1 | Serpinb1-ps1 | 541 | 9 | Gene | gene | ovalbumin
6774049 | @GENE_IGHV2_3 | Ighv2-3 | 595 | 26 | Gene | gene | immunoglobulin heavy-chain
6774049 | @GENE_IGKV4_74 | Igkv4-74 | 671 | 7 | Gene | gene | V kappa
6774049 | @GENE_IGKV4_74 | Igkv4-74 | 912 | 7 | Gene | gene | V kappa
6774049 | @GENE_CD8B1 | Cd8b1 | 982 | 5 | Gene | gene | Lyt-3
6774049 | @GENE_IGKV4_74 | Igkv4-74 | 1068 | 7 | Gene | gene | V kappa
6774049 | @GENE_IGKV4_74 | Igkv4-74 | 1148 | 7 | Gene | gene | V kappa
17157914 | @GENE_NUP37 | NUP37 | 812 | 3 | Gene | gene | p37
17157914 | @GENE_NUP62 | NUP62 | 817 | 3 | Gene | gene | p62
17157914 | @GENE_NFE2 | NFE2 | 825 | 3 | Gene | gene | p45
22013062 | @GENE_NEF | nef | 80 | 3 | Gene | gene | Nef
22013062 | @GENE_NEF | nef | 126 | 3 | Gene | gene | Nef
22013062 | @GENE_NEF | nef | 398 | 3 | Gene | gene | Nef
22013062 | @GENE_NEF | nef | 606 | 3 | Gene | gene | Nef
22013062 | @GENE_NEF | nef | 716 | 3 | Gene | gene | nef
22013062 | @GENE_NEF | nef | 959 | 3 | Gene | gene | nef
22013062 | @GENE_CD8B | CD8B | 994 | 7 | Gene | gene | CD8beta
22013062 | @GENE_CD8B | CD8B | 1107 | 7 | Gene | gene | CD8beta
22013062 | @GENE_NEF | nef | 1285 | 3 | Gene | gene | Nef
22013062 | @GENE_NEF | nef | 1375 | 3 | Gene | gene | Nef
22013062 | @GENE_TFAP2A | TFAP2A | 1384 | 4 | Gene | gene | AP-2
22013062 | @GENE_CD4 | CD4 | 1453 | 3 | Gene | gene | CD4
22013062 | @GENE_CD28 | CD28 | 1461 | 4 | Gene | gene | CD28
22013062 | @GENE_CD4 | CD4 | 1536 | 3 | Gene | gene | CD4
22013062 | @GENE_CD8B | CD8B | 1541 | 7 | Gene | gene | CD8beta
22013062 | @GENE_CD28 | CD28 | 1554 | 4 | Gene | gene | CD28
22013062 | @GENE_NEF | nef | 1769 | 3 | Gene | gene | Nef
22013062 | @GENE_CD8A | CD8A | 1904 | 3 | Gene | gene | CD8
23089138 | @DISEASE_Infections | Infections | 433 | 9 | Disease | disease | infection
23089138 | @DISEASE_Infections | Infections | 547 | 9 | Disease | disease | infection
23089138 | @DISEASE_Hemorrhagic_Septicemia_Viral | Hemorrhagic Septicemia Viral | 606 | 34 | Disease | disease | viral hemorrhagic septicemia virus
23089138 | @DISEASE_Hemorrhagic_Septicemia_Viral | Hemorrhagic Septicemia Viral | 642 | 4 | Disease | disease | VHSV
23089138 | @DISEASE_Infections | Infections | 1013 | 10 | Disease | disease | infections
24101382 | @GENE_MR1 | MR1 | 15 | 3 | Gene | gene | MR1
24101382 | @DISEASE_Aphasia_Conduction | Aphasia Conduction | 114 | 11 | Disease | disease | -associated
24101382 | @GENE_TRAV1_2 | TRAV1-2 | 217 | 7 | Gene | gene | TRAV1-2
24101382 | @GENE_TRAJ33 | TRAJ33 | 225 | 6 | Gene | gene | TRAJ33
24101382 | @GENE_MR1 | MR1 | 359 | 3 | Gene | gene | MR1
24101382 | @GENE_MR1 | MR1 | 608 | 3 | Gene | gene | MR1
24101382 | @GENE_CD8A | CD8A | 808 | 3 | Gene | gene | CD8
24101382 | @GENE_CD4 | CD4 | 818 | 3 | Gene | gene | CD4
24101382 | @GENE_CD8A | CD8A | 824 | 3 | Gene | gene | CD8
24101382 | @GENE_CD4 | CD4 | 859 | 3 | Gene | gene | CD4
24101382 | @GENE_CD8A | CD8A | 916 | 3 | Gene | gene | CD8
24101382 | @GENE_CD8A | CD8A | 939 | 8 | Gene | gene | CD8alpha
24101382 | @GENE_CD8B | CD8B | 950 | 7 | Gene | gene | CD8beta
24101382 | @GENE_MR1 | Mr1 | 1141 | 3 | Gene | gene | MR1
24101382 | @GENE_CD4 | CD4 | 1176 | 3 | Gene | gene | CD4
24101382 | @GENE_CD4 | CD4 | 1184 | 3 | Gene | gene | CD4
24101382 | @GENE_CD8A | CD8A | 1190 | 3 | Gene | gene | CD8
24101382 | @GENE_CD8A | CD8A | 1201 | 3 | Gene | gene | CD8
24101382 | @GENE_TRB | TRB | 1298 | 8 | Gene | gene | TCR-beta
24101382 | @GENE_TRAV1_2 | TRAV1-2 | 1375 | 7 | Gene | gene | TRAV1-2
24101382 | @GENE_TRAJ33 | TRAJ33 | 1383 | 6 | Gene | gene | TRAJ33
24101382 | @GENE_TRAJ12 | TRAJ12 | 1406 | 6 | Gene | gene | TRAJ12
24101382 | @GENE_TRAJ20 | TRAJ20 | 1416 | 6 | Gene | gene | TRAJ20
24101382 | @GENE_TRAV1_2 | TRAV1-2 | 1449 | 7 | Gene | gene | TRAV1-2
24101382 | @GENE_MR1 | MR1 | 1471 | 3 | Gene | gene | MR1
24594598 | @VARIANT_p.P14T_Tcrb_house_mouse | p.P14T | 269 | 5 | Variant | variant | P14 T
24594598 | @GENE_TCRB | Tcrb | 295 | 7 | Gene | gene | TCRbeta
24594598 | @GENE_CD8B1 | Cd8b1 | 314 | 7 | Gene | gene | CD8beta
24594598 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 403 | 40 | Disease | disease | acute lymphocytic choriomeningitis virus
24594598 | @DISEASE_Lymphocytic_Choriomeningitis | Lymphocytic Choriomeningitis | 445 | 4 | Disease | disease | LCMV
24594598 | @DISEASE_Infections | Infections | 451 | 9 | Disease | disease | infection
24594598 | @GENE_PTCRA | Ptcra | 484 | 4 | Gene | gene | GP33
24594598 | @GENE_FASL | Fasl | 705 | 4 | Gene | gene | FasL
24594598 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 719 | 12 | Disease | disease | cytotoxicity
24594598 | @GENE_IFNG | Ifng | 736 | 9 | Gene | gene | IFN-gamma
24594598 | @GENE_IFNG | Ifng | 945 | 9 | Gene | gene | IFN-gamma
24594598 | @GENE_IFIT1 | Ifit1 | 1013 | 3 | Gene | gene | p56
24594598 | @GENE_LCK | Lck | 1017 | 3 | Gene | gene | lck
24594598 | @GENE_TCRA | Tcra | 1113 | 8 | Gene | gene | TCRalpha
24594598 | @GENE_TRAV6_3 | Trav6-3 | 1158 | 3 | Gene | gene | TCR
24594598 | @GENE_PTCRA | Ptcra | 1246 | 4 | Gene | gene | GP33
24594598 | @GENE_TRAV6_3 | Trav6-3 | 1482 | 3 | Gene | gene | TCR
24594598 | @CHEMICAL_Peptides | Peptides | 1533 | 7 | Chemical | chemical | peptide
26664914 | @DISEASE_Infections | Infections | 19 | 9 | Disease | disease | Infection
26664914 | @DISEASE_Gastroenteritis | Gastroenteritis | 228 | 15 | Disease | disease | gastroenteritis
26664914 | @DISEASE_Infections | Infections | 421 | 9 | Disease | disease | infection
26664914 | @DISEASE_Infections | Infections | 467 | 9 | Disease | disease | infection
26664914 | @DISEASE_Infections | Infections | 656 | 9 | Disease | disease | infection
26664914 | @DISEASE_Infections | Infections | 753 | 9 | Disease | disease | Infection
26664914 | @GENE_CD3D | CD3D | 903 | 3 | Gene | gene | CD3
26664914 | @GENE_CD4 | CD4 | 908 | 3 | Gene | gene | CD4
26664914 | @GENE_CD8A | CD8A | 913 | 8 | Gene | gene | CD8alpha
26664914 | @GENE_CD8BP | CD8BP | 923 | 7 | Gene | gene | CD8beta
26664914 | @DISEASE_Inflammation | Inflammation | 1063 | 12 | Disease | disease | inflammatory
26664914 | @GENE_IL1B | IL1B | 1086 | 8 | Gene | gene | IL-1beta
26664914 | @GENE_IL6 | IL6 | 1099 | 4 | Gene | gene | IL-6
26664914 | @GENE_IL8L2 | IL8L2 | 1122 | 6 | Gene | gene | CXCLi2
26664914 | @DISEASE_Infections | Infections | 1153 | 9 | Disease | disease | infection
26664914 | @DISEASE_Infections | Infections | 1360 | 9 | Disease | disease | infection
30548472 | @GENE_CD4 | CD4 | 27 | 3 | Gene | gene | CD4
30548472 | @DISEASE_Lymphoma_T_Cell_Cutaneous | Lymphoma T-Cell Cutaneous | 40 | 25 | Disease | disease | cutaneous T-cell lymphoma
30548472 | @GENE_CD4 | CD4 | 443 | 3 | Gene | gene | CD4
30548472 | @GENE_CD1C | CD1C | 483 | 4 | Gene | gene | CD1c
30548472 | @GENE_CD8A | CD8A | 489 | 8 | Gene | gene | CD8alpha
30548472 | @GENE_CD8B | CD8B | 499 | 7 | Gene | gene | CD8beta
30548472 | @GENE_MS4A1 | MS4A1 | 515 | 4 | Gene | gene | CD20
30548472 | @GENE_PTPRC | PTPRC | 521 | 6 | Gene | gene | CD45RA
30548472 | @GENE_PTPRC | PTPRC | 575 | 4 | Gene | gene | CD45
30548472 | @DISEASE_Skin_Diseases | Skin Diseases | 724 | 12 | Disease | disease | skin lesions
34136383 | @GENE_C1QBP | C1qbp | 42 | 3 | Gene | gene | p32
34136383 | @DISEASE_Neoplasms | Neoplasms | 57 | 9 | Disease | disease | Malignant
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 80 | 17 | Disease | disease | Colorectal Cancer
34136383 | @GENE_C1QBP | C1qbp | 105 | 3 | Gene | gene | p32
34136383 | @DISEASE_Adenocarcinoma | Adenocarcinoma | 205 | 15 | Disease | disease | adenocarcinomas
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 232 | 21 | Disease | disease | colorectal malignancy
34136383 | @GENE_C1QBP | C1qbp | 270 | 3 | Gene | gene | p32
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 329 | 17 | Disease | disease | colorectal cancer
34136383 | @GENE_C1QBP | C1qbp | 384 | 3 | Gene | gene | p32
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 391 | 17 | Disease | disease | colorectal cancer
34136383 | @GENE_C1QBP | C1qbp | 456 | 3 | Gene | gene | p32
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 480 | 17 | Disease | disease | colorectal cancer
34136383 | @DISEASE_Neoplasms | Neoplasms | 525 | 9 | Disease | disease | malignant
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 548 | 12 | Disease | disease | Colon cancer
34136383 | @GENE_C1QBP | C1qbp | 605 | 3 | Gene | gene | p32
34136383 | @DISEASE_Neoplasms | Neoplasms | 642 | 9 | Disease | disease | malignant
34136383 | @GENE_C1QBP | C1qbp | 689 | 3 | Gene | gene | p32
34136383 | @DISEASE_Neoplasms | Neoplasms | 753 | 9 | Disease | disease | malignant
34136383 | @GENE_HAS2 | Has2 | 782 | 5 | Gene | gene | HAS-2
34136383 | @GENE_PDCD4 | Pdcd4 | 792 | 5 | Gene | gene | PDCD4
34136383 | @GENE_C1QBP | C1qbp | 844 | 3 | Gene | gene | p32
34136383 | @GENE_AKT1 | Akt1 | 867 | 3 | Gene | gene | Akt
34136383 | @GENE_MTOR | Mtor | 871 | 4 | Gene | gene | mTOR
34136383 | @DISEASE_Neoplasms | Neoplasms | 938 | 9 | Disease | disease | malignant
34136383 | @GENE_C1QBP | C1qbp | 1125 | 3 | Gene | gene | p32
34136383 | @DISEASE_Carcinogenesis | Carcinogenesis | 1185 | 13 | Disease | disease | tumorigenesis
34136383 | @GENE_C1QBP | C1qbp | 1267 | 3 | Gene | gene | p32
34136383 | @DISEASE_Neoplasms | Neoplasms | 1299 | 9 | Disease | disease | malignant
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1322 | 17 | Disease | disease | colorectal cancer
34136383 | @DISEASE_Colorectal_Neoplasms | Colorectal Neoplasms | 1407 | 17 | Disease | disease | colorectal cancer
34421919 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 14 | 23 | Chemical | chemical | Reactive Oxygen Species
34421919 | @DISEASE_Inflammation | Inflammation | 75 | 22 | Disease | disease | Psoriatic Inflammation
34421919 | @DISEASE_Psoriasis | Psoriasis | 99 | 9 | Disease | disease | Psoriasis
34421919 | @DISEASE_Skin_Diseases | Skin Diseases | 147 | 25 | Disease | disease | inflammatory skin disease
34421919 | @GENE_IL23A | Il23a | 309 | 19 | Gene | gene | interleukin (IL)-23
34421919 | @GENE_IL17A | Il17a | 329 | 5 | Gene | gene | IL-17
34421919 | @DISEASE_Inflammation | Inflammation | 403 | 17 | Disease | disease | skin inflammation
34421919 | @DISEASE_Psoriasis | Psoriasis | 469 | 9 | Disease | disease | psoriasis
34421919 | @CHEMICAL_Imiquimod | Imiquimod | 512 | 9 | Chemical | chemical | imiquimod
34421919 | @CHEMICAL_Imiquimod | Imiquimod | 523 | 3 | Chemical | chemical | IMQ
34421919 | @DISEASE_Inflammation | Inflammation | 549 | 17 | Disease | disease | skin inflammation
34421919 | @GENE_C1QBP | C1qbp | 630 | 3 | Gene | gene | p32
34421919 | @GENE_C1QBP | C1qbp | 634 | 5 | Gene | gene | C1qbp
34421919 | @CHEMICAL_Imiquimod | Imiquimod | 723 | 3 | Chemical | chemical | IMQ
34421919 | @DISEASE_Inflammation | Inflammation | 735 | 22 | Disease | disease | psoriatic inflammation
34421919 | @GENE_C1QBP | C1qbp | 793 | 3 | Gene | gene | p32
34421919 | @GENE_C1QBP | C1qbp | 797 | 5 | Gene | gene | C1qbp
34421919 | @CHEMICAL_Imiquimod | Imiquimod | 832 | 3 | Chemical | chemical | IMQ
34421919 | @GENE_C1QBP | C1qbp | 905 | 3 | Gene | gene | p32
34421919 | @GENE_C1QBP | C1qbp | 909 | 5 | Gene | gene | C1qbp
34421919 | @GENE_IL1B | Il1b | 962 | 8 | Gene | gene | IL-1beta
34421919 | @GENE_IL23A | Il23a | 972 | 5 | Gene | gene | IL-23
34421919 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 997 | 23 | Chemical | chemical | reactive oxygen species
