35408447 | Association | Signs and Symptoms Digestive | ACE2
37365840 | Association | PTK2B | KLF4
37365840 | Association | Epoprostenol | TAGLN
37365840 | Association | LPL | MME
37365840 | Association | REN | SLIT3
37365840 | Association | MME | TLR4
37365840 | Association | Epoprostenol | LPL
37365840 | Association | PDX1 | SLIT3
37365840 | Association | SLIT3 | SOD1
37365840 | Association | Reactive Oxygen Species | PPARG
37365840 | Association | DUSP1 | TLR4
37365840 | Association | PDX1 | PPARG
37365840 | Association | Epoprostenol | SIRT1
37365840 | Association | SIRT1 | TAGLN
37365840 | Association | MTOR | REN
37365840 | Association | PTK2B | NPFF
37365840 | Association | PPARG | REN
37365840 | Association | Nitric Oxide | KLF4
37365840 | Association | DUSP1 | MTOR
37365840 | Positive_Correlation | MAS1L | ANGPT4
37365840 | Association | PDX1 | SAA@
37365840 | Association | DUSP1 | KLF4
37365840 | Association | Reactive Oxygen Species | UCP1
37365840 | Association | Reactive Oxygen Species | DUSP1
37365840 | Association | SIRT1 | SOD1
37365840 | Association | Thiobarbituric Acid Reactive Substances | AKT1
37365840 | Association | PTK2B | SREBF1
37365840 | Association | PTK2B | TLR4
37365840 | Association | PTK2B | SAA@
37365840 | Association | PPARG | TAGLN
37365840 | Association | SAA@ | TNF
37365840 | Association | F3 | MME
37365840 | Association | F3 | TAGLN
37365840 | Association | MME | TGFB1
37365840 | Association | TNF | KLF4
37365840 | Association | Epoprostenol | MME
37365840 | Association | SIRT1 | UCP1
37365840 | Association | PPARG | KLF4
37365840 | Association | Epoprostenol | SREBF1
37365840 | Association | F3 | PTK2B
37365840 | Association | SOD1 | UCP1
37365840 | Association | Myocardial Ischemia | MAS1L
37365840 | Association | F3 | TNF
37365840 | Association | Nitric Oxide | AKT1
37365840 | Association | MTOR | KLF4
37365840 | Association | Reactive Oxygen Species | AKT1
37365840 | Association | SIRT1 | TNF
37365840 | Association | F3 | TLR4
37365840 | Association | AKT1 | PPARG
37365840 | Association | Epoprostenol | F3
37365840 | Association | SIRT1 | MME
37365840 | Association | SAA@ | KLF4
37365840 | Association | LPL | TGFB1
37365840 | Association | REN | SAA@
37365840 | Association | SREBF1 | NPFF
37365840 | Association | Nitric Oxide | TNF
37365840 | Association | REN | SREBF1
37365840 | Association | SAA@ | SLIT3
37365840 | Association | TAGLN | TGFB1
37365840 | Negative_Correlation | Inflammation | MAS1L
37365840 | Association | LPL | SOD1
37365840 | Association | PPARG | SOD1
37365840 | Association | PTK2B | SIRT1
37365840 | Association | REN | SOD1
37365840 | Association | Epoprostenol | REN
37365840 | Association | SLIT3 | NPFF
37365840 | Association | DUSP1 | SOD1
37365840 | Association | Cardiovascular Diseases | MAS1L
37365840 | Association | Nitric Oxide | TGFB1
37365840 | Association | AKT1 | TAGLN
37365840 | Association | PPARG | NPFF
37365840 | Association | F3 | NPFF
37365840 | Association | Nitric Oxide | TAGLN
37365840 | Association | SLIT3 | TNF
37365840 | Association | DUSP1 | REN
37365840 | Association | Epoprostenol | NPFF
37365840 | Association | PTK2B | LPL
37365840 | Association | Reactive Oxygen Species | Thiobarbituric Acid Reactive Substances
37365840 | Association | F3 | MTOR
37365840 | Negative_Correlation | Ventricular Remodeling | MAS1L
37365840 | Association | DUSP1 | LPL
37365840 | Association | Epoprostenol | KLF4
37365840 | Positive_Correlation | MAS1L | ANGPTL3
37365840 | Association | MME | NPFF
37365840 | Association | PDX1 | LPL
37365840 | Association | PTK2B | MME
37365840 | Association | Epoprostenol | UCP1
37365840 | Association | MME | REN
37365840 | Association | Thiobarbituric Acid Reactive Substances | SAA@
37365840 | Negative_Correlation | Cardiomyopathies | MAS1L
37365840 | Association | Epoprostenol | TGFB1
37365840 | Association | F3 | SREBF1
37365840 | Association | Reactive Oxygen Species | TAGLN
37365840 | Association | SREBF1 | TGFB1
37365840 | Association | AKT1 | TGFB1
37365840 | Association | DUSP1 | UCP1
37365840 | Association | DUSP1 | TGFB1
37365840 | Association | REN | NPFF
37365840 | Association | Thiobarbituric Acid Reactive Substances | F3
37365840 | Association | SAA@ | SOD1
37365840 | Association | PTK2B | UCP1
37365840 | Association | LPL | TNF
37365840 | Negative_Correlation | Thrombosis | MAS1L
37365840 | Positive_Correlation | Blood Glucose | MAS1L
37365840 | Association | LPL | SLIT3
37365840 | Association | PPARG | SLIT3
37365840 | Association | Nitric Oxide | PDX1
37365840 | Association | MME | TAGLN
37365840 | Association | Thiobarbituric Acid Reactive Substances | PTK2B
37365840 | Association | REN | TNF
37365840 | Association | SOD1 | TGFB1
37365840 | Association | MTOR | MME
37365840 | Association | DUSP1 | TAGLN
37365840 | Association | SIRT1 | MTOR
37365840 | Association | Nitric Oxide | Thiobarbituric Acid Reactive Substances
37365840 | Association | TAGLN | KLF4
37365840 | Association | SAA@ | TLR4
37365840 | Association | Thiobarbituric Acid Reactive Substances | TLR4
37365840 | Association | Nitric Oxide | SOD1
37365840 | Negative_Correlation | Hypertrophy | MAS1L
37365840 | Association | TLR4 | KLF4
37365840 | Association | LPL | KLF4
37365840 | Association | Epoprostenol | DUSP1
37365840 | Association | TAGLN | TNF
37365840 | Association | Thiobarbituric Acid Reactive Substances | MTOR
37365840 | Association | MTOR | SAA@
37365840 | Association | Thiobarbituric Acid Reactive Substances | DUSP1
37365840 | Association | Reactive Oxygen Species | SAA@
37365840 | Association | Plaque Atherosclerotic | MAS1L
37365840 | Association | SIRT1 | PDX1
37365840 | Association | MTOR | PDX1
37365840 | Association | PTK2B | TNF
37365840 | Association | Thiobarbituric Acid Reactive Substances | REN
37365840 | Association | PPARG | SAA@
37365840 | Positive_Correlation | MAS1L | TM7SF2
37365840 | Association | UCP1 | KLF4
37365840 | Association | TGFB1 | KLF4
37365840 | Positive_Correlation | MAS1L | ANGPT2
37365840 | Association | Hypertension | MAS1L
37365840 | Association | Epoprostenol | Reactive Oxygen Species
37365840 | Association | Obesity | MAS1L
37365840 | Association | Nitric Oxide | PTK2B
37365840 | Association | Epoprostenol | TNF
37365840 | Association | Reactive Oxygen Species | TNF
37409267 | Association | IFNG | ACE2
37571863 | Association | Inflammatory Bowel Diseases | TNF
37608279 | Association | ACE2 | UCHL1
37608279 | Association | ACE2 | MAP4K3
37608279 | Positive_Correlation | IKZF1 | ACE2
37608279 | Negative_Correlation | Lung Injury | ACE2
37608279 | Association | USP50 | ACE2
37608279 | Association | MDM2 | ACE2
37608279 | Association | UBR4 | ACE2
37608279 | Association | PIAS4 | ACE2
37608279 | Positive_Correlation | ACE2 | STAT3
37608279 | Negative_Correlation | ESRRA | ACE2
37608279 | Negative_Correlation | FOXM1 | ACE2
37608279 | Association | PRMT5 | ACE2
37608279 | Negative_Correlation | Diabetes Mellitus | ACE2
37608279 | Negative_Correlation | ACE2 | SMARCA4
37608279 | Negative_Correlation | Chronic Disease | ACE2
37608279 | Negative_Correlation | Hypertension | ACE2
37608279 | Association | Virus Diseases | ACE2
37608279 | Association | ACE2 | REN
37608279 | Negative_Correlation | ACE2 | TFAP2A
37608279 | Association | FOXM1 | SMARCA4
37608279 | Positive_Correlation | GATA6 | ACE2
37608279 | Association | COVID-19 | ACE2
37608279 | Association | PRKAA1 | ACE2
37608279 | Positive_Correlation | SIRT1 | ACE2
37608279 | Association | CSNK1A1 | ACE2
37925604 | Association | Lung Diseases | Il17a
38240823 | Association | COVID-19 | XPO1
38283360 | Association | KPNA2 | ORF6
38283360 | Negative_Correlation | IRF3 | ORF6
38283360 | Association | IFNA1 | KPNA2
38283360 | Negative_Correlation | IFNA1 | ORF6
38283360 | Negative_Correlation | ORF6 | STAT1
38598121 | Negative_Correlation | IL10 | ACE2
38598121 | Negative_Correlation | IL10 | BDKRB1
38598121 | Association | Inflammation | ACE2
38598121 | Association | Inflammation | BDKRB1
38598121 | Negative_Correlation | Inflammation | IL10
38606261 | Negative_Correlation | Ivermectin | NFKB1
38606261 | Negative_Correlation | Ivermectin | Scabies
38606261 | Negative_Correlation | Ivermectin | Malaria
38606261 | Negative_Correlation | Ivermectin | Inflammation
38606261 | Negative_Correlation | Ivermectin | Parasitic Diseases
38606261 | Negative_Correlation | Ivermectin | Rosacea
38606261 | Negative_Correlation | Ivermectin | Infections
38606261 | Negative_Correlation | Ivermectin | Virus Diseases
38606261 | Negative_Correlation | Ivermectin | Neoplasms
1836956 | Association | Tetradecanoylphorbol Acetate | Il4
1836956 | Association | Tetradecanoylphorbol Acetate | Cd8b1
1836956 | Association | Tetradecanoylphorbol Acetate | Cd8a
1836956 | Association | Tetradecanoylphorbol Acetate | Il7
1836956 | Association | Cd8b1 | Il7
1836956 | Association | Cd8a | Il7
2118122 | Association | TXK | CD8A
2118122 | Association | LCK | CD8A
2118122 | Association | LCK | CD4
2118122 | Association | TXK | CD4
2332632 | Bind | Cd247 | CD8A
2332632 | Association | Cd247 | Cd8a
2523934 | Association | Cd4 | Ly6c1
2523934 | Association | Cd4 | Il2
2523934 | Positive_Correlation | Cd4 | Ifng
2523934 | Association | Cd3e | Ifng
2523934 | Association | Cd4 | Il3
2523934 | Positive_Correlation | Cd4 | Tnf
2523934 | Association | Fcr | Cd3e
2523934 | Association | Cd4 | Ptprc
6388971 | Positive_Correlation | Dermatitis Atopic | IGHE
10477615 | Association | Neoplasms | ITGA6
11104582 | Association | Rheumatic Diseases | Esr1
11104582 | Association | Raloxifene Hydrochloride | Hereditary Angioedema Type III
11104582 | Negative_Correlation | LY 117018 | Inflammation
11104582 | Comparison | LY 117018 | Estradiol
11104582 | Negative_Correlation | Raloxifene Hydrochloride | Osteoporosis
11104582 | Negative_Correlation | LY 117018 | Hypersensitivity Delayed
11104582 | Positive_Correlation | LY 117018 | Atrophy
11104582 | Association | Raloxifene Hydrochloride | Inflammation
11104582 | Association | Raloxifene Hydrochloride | Esr1
19449311 | Positive_Correlation | LAT | CD8A
24681565 | Negative_Correlation | HDAC2 | CD8B
24681565 | Association | CBFB | CD4
24681565 | Negative_Correlation | HDAC2 | CBFB
24681565 | Association | HDAC1 | CD4
24681565 | Association | CD4 | CD8A
24681565 | Negative_Correlation | HDAC1 | CBFB
24681565 | Association | CBFB | CD8A
24681565 | Positive_Correlation | HDAC1 | CD8A
24681565 | Association | HDAC2 | CD4
24681565 | Negative_Correlation | HDAC2 | CD8A
24681565 | Negative_Correlation | HDAC1 | CD8B
24681565 | Association | CD4 | CD8B
26429413 | Negative_Correlation | moxidectin | Infections
26429413 | Negative_Correlation | Fenbendazole | Infections
28701395 | Association | gag | CD8A
28701395 | Association | gag | CD4
28701395 | Association | gag | TNF
28701395 | Association | gag | IL2
32758800 | Association | Inflammation | IFNG
32758800 | Association | CD8A | TNF
32758800 | Association | Inflammation | TNF
32758800 | Association | TNF | CD4
32758800 | Association | CD8B | TNF
32758800 | Association | CD8A | IFNG
32758800 | Association | CD8B | IFNG
32758800 | Association | Inflammation | Error occurred: cannot get document summary
32758800 | Association | IFNG | CD4
32793912 | Association | Hypersensitivity Immediate | Il21
32793912 | Association | Cd8b1 | Il21
32793912 | Association | Cd8b1 | Ifng
32793912 | Association | Hypersensitivity Immediate | Cd8b1
32793912 | Positive_Correlation | Cd8b1 | Tbx21
32793912 | Association | Hypersensitivity Immediate | Tbx21
32793912 | Positive_Correlation | Cd4 | Il21
33324408 | Association | Cognition Disorders | TNFRSF25
33324408 | Association | Cognition Disorders | PTPRC
33324408 | Association | Cognition Disorders | CD8B
33324408 | Association | Conversion Disorder | IFNG
33324408 | Association | Conversion Disorder | CD8B
33324408 | Association | Conversion Disorder | PTPRC
33324408 | Association | Cognition Disorders | IFNG
33324408 | Association | Cognition Disorders | TOR1A
33324408 | Association | Cognition Disorders | CD8A
33324408 | Association | IFNG | CD4
33359361 | Association | Inflammation | LOC106603888
33359361 | Association | Inflammation | il8
34010360 | Association | Hypersensitivity Immediate | Il21
34010360 | Association | Cd8b1 | Ifng
34010360 | Positive_Correlation | Cd8b1 | Tbx21
34010360 | Association | Hypersensitivity Immediate | Cd8b1
34010360 | Association | Cd8b1 | Il21
34010360 | Positive_Correlation | Cd4 | Il21
36169564 | Negative_Correlation | Disease | PDCD1
36169564 | Positive_Correlation | CD8A | CD8B
36169564 | Association | Neoplasms | CD8B
36169564 | Negative_Correlation | PDCD1 | CD4
36169564 | Association | Neoplasms | PDCD1
36169564 | Positive_Correlation | PDCD1 | CD3E
36169564 | Positive_Correlation | PDCD1 | CD8A
36169564 | Negative_Correlation | FOXP3 | PDCD1
36203585 | Association | CD4 | CD27
37251903 | Association | Neoplasms | CD4
37251903 | Association | Neoplasms | CD8B
37251903 | Association | Neoplasms | CD3D
37251903 | Association | Neoplasms | CD19
37478362 | Association | Rectal Neoplasms | CD8B
37478362 | Association | Rectal Neoplasms | CD69
37683720 | Association | COVID-19 | S
37974224 | Association | Precancerous Conditions | PIEZO1
37974224 | Association | Squamous Cell Carcinoma of Head and Neck | YAP1
37974224 | Association | Mouth Diseases | PIEZO1
37974224 | Association | Squamous Cell Carcinoma of Head and Neck | VEGFC
37974224 | Association | Precancerous Conditions | CD4
37974224 | Association | Carcinoma Squamous Cell | PIEZO1
37974224 | Association | Carcinoma Squamous Cell | CD8B
37974224 | Association | Carcinoma Squamous Cell | Piezo1
37974224 | Association | Mouth Diseases | CD4
37974224 | Positive_Correlation | VEGFC | CD8A
37974224 | Association | Heart Valve Diseases | Piezo1
37974224 | Positive_Correlation | YAP1 | VEGFC
37974224 | Association | CD4 | PIEZO1
37974224 | Association | Carcinoma Squamous Cell | Yap1
37974224 | Association | Carcinoma Squamous Cell | CD8A
38128681 | Positive_Correlation | Infections | nos2
38128681 | Positive_Correlation | Infections | LOC100136285
38128681 | Positive_Correlation | Infections | LOC100136024
38128681 | Positive_Correlation | Infections | LOC100136222
38531803 | Association | FLOT2 | SIGLEC15
38531803 | Association | CTLA4 | FLOT2
38531803 | Association | Lymphoma Large B-Cell Diffuse | CD4
38531803 | Association | Lymphoma Large B-Cell Diffuse | FLOT2
38531803 | Association | FLOT2 | PDCD1LG2
38531803 | Association | Lymphoma Large B-Cell Diffuse | PDCD1LG2
38531803 | Association | FLOT2 | CD4
38531803 | Association | FLOT2 | PDCD1
38531803 | Association | FLOT2 | LAG3
38531803 | Association | FLOT2 | HAVCR2
1519445 | Association | N-bromoacetyl-3 3' 5-triiodothyronine | C1QBP
1519445 | Association | Triiodothyronine Reverse | Dio3
1519445 | Association | Colonic Neoplasms | Dio3
