38449806 | Association | Brain Injuries Diffuse | Ccl5
31373534 | Association | Pias3 | Senp3
31373534 | Association | Pias3 | Becn1
31373534 | Negative_Correlation | Pik3c3 | Senp3
31373534 | Association | Rubcn | Sqstm1
31373534 | Association | Sumo3 | Pias3
31373534 | Association | Becn1 | Senp3
31373534 | Bind | Becn1 | Uvrag
31373534 | Bind | Pik3c3 | Becn1
31373534 | Bind | Atg14 | Becn1
31373534 | Association | Sumo3 | Senp3
31373534 | Association | Sumo3 | Becn1
31373534 | Association | Reactive Oxygen Species | Senp3
32231468 | Negative_Correlation | tabersonine | Nitric Oxide
32231468 | Negative_Correlation | tabersonine | Atherosclerosis
32231468 | Positive_Correlation | tabersonine | Lipids
32231468 | Association | Apoe | Nfkbia
32231468 | Association | Apoe | Pias3
32231468 | Negative_Correlation | tabersonine | Pias3
32231468 | Association | tabersonine | Apoe
32231468 | Positive_Correlation | tabersonine | Creb1
32231468 | Negative_Correlation | tabersonine | Stat3
32231468 | Association | Atherosclerosis | Stat3
32231468 | Negative_Correlation | tabersonine | Nfkbia
32231468 | Association | Stat3 | Pias3
32398867 | Negative_Correlation | Socs3 | Mir181a-2
32398867 | Association | Breast Neoplasms | SOCS3
32398867 | Association | Breast Neoplasms | PIAS3
32398867 | Association | Neoplasms | PIAS3
32398867 | Association | Breast Neoplasms | IL6
32398867 | Association | Neoplasms | Socs3
32398867 | Association | Neoplasms | Mir181a-2
32398867 | Association | Mir181a-2 | SOCS3
32398867 | Association | Breast Neoplasms | Mir181a-2
32398867 | Association | PIAS3 | Mir181a-2
32415173 | Negative_Correlation | PIAS3 | AKT2
32415173 | Association | Prostatic Neoplasms | PIAS3
32415173 | Negative_Correlation | Prostatitis | ROR2
32415173 | Negative_Correlation | Prostatic Neoplasms | ROR2
32415173 | Negative_Correlation | PIAS3 | AKT1
32415173 | Association | Prostatic Neoplasms | AKT2
32415173 | Positive_Correlation | PIAS3 | ROR2
32415173 | Association | Prostatic Neoplasms | AKT1
32415173 | Association | AKT2 | ROR2
33327748 | Association | Atherosclerosis | Cxcr4
33327748 | Association | Vascular System Injuries | Cxcr4
33376963 | Association | Water | CCR5
33376963 | Association | Water | CXCR4
33478139 | Association | ERVK-6 | CXCR4
33478139 | Association | env | CD4
33478139 | Association | CCR5 | env
33478139 | Association | env | CXCR4
33478139 | Association | CCR5 | ERVK-6
33478139 | Bind | ERVK-6 | CD4
33980979 | Association | plerixafor | CXCR4
33980979 | Negative_Correlation | mavorixafor | CXCR4
34142550 | Association | LINGO2 | TFF3
34142550 | Association | TFF3 | CXCR4
34404752 | Association | ACKR1 | CXCL12
34404752 | Association | ACKR3 | CXCL12
34404752 | Bind | CXCL12 | CXCR4
34404752 | Association | Neoplasm Metastasis | CXCL12
34501388 | Negative_Correlation | Bortezomib | CXCR4
34501388 | Association | Multiple Myeloma | CXCR4
34501388 | Negative_Correlation | plerixafor | Multiple Myeloma
34501388 | Association | Sarcoma Myeloid | CXCR4
34501388 | Negative_Correlation | plerixafor | CXCR4
34501388 | Negative_Correlation | Bortezomib | NFKB1
34501388 | Negative_Correlation | plerixafor | CXCL12
34501388 | Association | Multiple Myeloma | CD38
34501388 | Bind | CXCL12 | CXCR4
34501388 | Negative_Correlation | Bortezomib | Sarcoma Myeloid
34501388 | Association | Multiple Myeloma | CXCL12
34501388 | Negative_Correlation | Bortezomib | Multiple Myeloma
34501388 | Negative_Correlation | daratumumab | CD38
34501388 | Negative_Correlation | Denosumab | Bone Resorption
34887661 | Association | Arthritis Rheumatoid | VEGFA
34887661 | Positive_Correlation | IL6 | VEGFA
34887661 | Association | Arthritis Rheumatoid | PIAS3
34887661 | Negative_Correlation | PIAS3 | VEGFA
34887661 | Negative_Correlation | PIAS3 | STAT3
34887661 | Association | Arthritis Rheumatoid | STAT3
35007290 | Negative_Correlation | Dexamethasone | Bacterial Infections
35007290 | Negative_Correlation | Dexamethasone | Inflammation
35007290 | Association | Inflammation | IL6
35007290 | Negative_Correlation | Dexamethasone | COVID-19
35007290 | Association | Inflammation | CRP
35204787 | Positive_Correlation | Liver Failure | MCM5
36214307 | Association | Candidiasis Oral | IL1B
36214307 | Association | Diabetes Complications | CXCR4
36214307 | Negative_Correlation | sivelestat | Candidiasis Oral
36214307 | Association | COVID-19 | MMP9
36214307 | Association | Candidiasis Oral | MMP9
36214307 | Association | Candidiasis Oral | IFNG
36214307 | Association | IL17A | TNF
36214307 | Association | Candidiasis Oral | IL17A
36214307 | Association | COVID-19 | TNF
36214307 | Association | Diabetes Complications | IL1A
36214307 | Association | Diabetes Complications | TNF
36214307 | Association | IFNG | IL17A
36214307 | Association | COVID-19 | IL1B
36214307 | Association | COVID-19 | IFNG
36214307 | Association | Diabetes Complications | IL1B
36214307 | Association | COVID-19 | CSF2
36214307 | Association | IL17A | MMP9
36214307 | Association | Candidiasis Oral | TNF
36214307 | Association | IL17A | CXCR4
36214307 | Association | Diabetes Complications | CSF2
36214307 | Association | Candidiasis Oral | CSF2
36214307 | Association | IL1A | IL17A
36214307 | Association | BKT140 | IL1B
36214307 | Association | Candidiasis Oral | IL1A
36214307 | Association | COVID-19 | IL17A
36214307 | Association | COVID-19 | IL1A
37040097 | Association | CXCR4 | MMRN2
37040097 | Association | Hypoxia | CXCR4
37040097 | Association | Corneal Neovascularization | MMRN2
37040097 | Association | Corneal Neovascularization | CXCR4
37069359 | Negative_Correlation | Multiple Myeloma | CSF3
37069359 | Association | CSF3 | CD34
37290620 | Negative_Correlation | pregna-4 17-diene-3 16-dione | CXCR4
37290620 | Negative_Correlation | pregna-4 17-diene-3 16-dione | Neoplasms
37290620 | Association | Breast Neoplasms | CXCR4
37290620 | Association | Neoplasms | NFKB1
37290620 | Association | Triple Negative Breast Neoplasms | CXCL12
37290620 | Association | NFKB1 | CXCR4
37290620 | Negative_Correlation | pregna-4 17-diene-3 16-dione | CXCL12
37290620 | Positive_Correlation | Triple Negative Breast Neoplasms | CXCR4
37327120 | Negative_Correlation | 4-fluorobenzoyl-TN-14003 | CD34
37327120 | Negative_Correlation | 4-fluorobenzoyl-TN-14003 | CXCR4
37327120 | Association | 4-fluorobenzoyl-TN-14003 | IL3RA
37457445 | Association | Necrosis | Cxcr4
37457445 | Association | Breast Neoplasms | Cxcr4
37457445 | Negative_Correlation | benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone | Cisplatin
37457445 | Negative_Correlation | CTCE-9908 | Breast Neoplasms
37523265 | Association | CCR2 | CXCR4
37523265 | Association | Infections | CCR2
37735875 | Association | Inflammation | Il17a
37735875 | Negative_Correlation | Cxcr4 | Stat3
37735875 | Negative_Correlation | Inflammation | Cxcr4
37735875 | Association | Inflammation | Tnf
37735875 | Association | Inflammation | Stat3
37735875 | Negative_Correlation | Cxcr4 | Il17a
37735875 | Negative_Correlation | Cxcr4 | Il6
37735875 | Association | Pancreatic Neoplasms | Cxcr4
37735875 | Association | Pancreatic Neoplasms | Nfkb1
37735875 | Association | Inflammation | Il6
37735875 | Association | Pancreatic Neoplasms | Stat3
37735875 | Association | Il6 | Stat3
37735875 | Association | Il17a | Stat3
37735875 | Association | Carcinoma Pancreatic Ductal | Cxcr4
37735875 | Association | Cxcr4 | Nfkb1
37735875 | Negative_Correlation | Stat3 | Tnf
37735875 | Negative_Correlation | Cxcr4 | Tnf
37767160 | Association | Stomach Neoplasms | PGK1
37767160 | Negative_Correlation | Sesquiterpenes | Neoplasms
38095299 | Bind | Cxcr4 | Cxcl12
38095299 | Bind | Ackr3 | Cxcl12
38131305 | Association | Neoplasms | CXCR4
38131305 | Negative_Correlation | LY2510924 | CXCR4
38131305 | Negative_Correlation | plerixafor | CXCR4
38131305 | Negative_Correlation | IFT81 | CXCR4
38131305 | Negative_Correlation | mavorixafor | CXCR4
38315878 | Association | Waldenstrom Macroglobulinemia | CXCR4
38315878 | Association | Waldenstrom Macroglobulinemia | TP53
38315878 | Negative_Correlation | zanubrutinib | IBTK
38315878 | Negative_Correlation | Waldenstrom Macroglobulinemia | IBTK
38315878 | Comparison | zanubrutinib | ibrutinib
38315878 | Negative_Correlation | zanubrutinib | Waldenstrom Macroglobulinemia
38315878 | Association | Waldenstrom Macroglobulinemia | ARID1A
38315878 | Negative_Correlation | ibrutinib | Waldenstrom Macroglobulinemia
38332341 | Association | Carcinoma Neuroendocrine | CXCR4
38346795 | Bind | CXCR3 | ACKR3
38346795 | Association | Neoplasms | ACKR3
11477070 | Association | Infertility | PIAS2
11477070 | Negative_Correlation | PARK7 | PIAS2
11477070 | Association | Infertility | Park7
11477070 | Positive_Correlation | PARK7 | AR
11477070 | Association | AR | PIAS2
11893729 | Association | GRIP1 | PIAS2
17623776 | Positive_Correlation | Sp7 | Nfatc1
17623776 | Association | Pias2 | Nfatc1
17623776 | Positive_Correlation | Sp7 | Nfatc3
17623776 | Positive_Correlation | Sp7 | Pias2
17623776 | Bind | Runx2 | Sp7
17623776 | Association | Pias2 | Nfatc3
20661221 | Association | HIF1A | PIAS4
20661221 | Association | Hypoxia | SUMO1
20661221 | Positive_Correlation | Hypoxia | HIF1A
20661221 | Association | Colorectal Neoplasms | PIAS4
20661221 | Association | Neoplasms | PIAS4
20661221 | Association | HIF1A | SUMO1
20661221 | Association | Hypoxia | PIAS4
21199872 | Association | PIAS4 | UBE2I
21199872 | Negative_Correlation | IFNA1 | PIAS4
21447800 | Association | Cisplatin | BIN1
21447800 | Association | Neoplasms | MYC
21447800 | Association | Neoplasms | BIN1
21447800 | Association | Neoplasms | PARP1
21447800 | Negative_Correlation | PARP1 | BIN1
21447800 | Negative_Correlation | BIN1 | MYC
21447800 | Negative_Correlation | Cisplatin | Neoplasms
21447800 | Association | MYC | ZBTB17
21447800 | Association | Cisplatin | MYC
21447800 | Positive_Correlation | PARP1 | MYC
21624955 | Association | Prkcz | Pias4
21624955 | Association | 3-nitrotyrosine | Trp53-ps
21624955 | Positive_Correlation | Prkcz | Trp53-ps
21624955 | Bind | Bcl2 | Trp53-ps
21624955 | Association | Trp53-ps | Pias4
21624955 | Association | Atherosclerosis | Pias4
21624955 | Association | Peroxynitrous Acid | Trp53-ps
21624955 | Association | Atherosclerosis | Trp53-ps
21624955 | Positive_Correlation | Peroxynitrous Acid | Prkcz
21624955 | Association | Atherosclerosis | Prkcz
21931855 | Association | NKX3-1 | SUMO1
21931855 | Association | NKX2-5 | SUMO1
21961235 | Association | Pias2 | Psmb3
21961235 | Association | Pias2 | Nisch
21961235 | Association | Pias2 | Ndufaf3
21961235 | Bind | Pias2 | Cyfip2
21961235 | Association | Nsun5 | Pias2
21961235 | Association | Pias2 | Ints10
22082260 | Negative_Correlation | Glucose | Ischemia
22082260 | Association | Oxygen | SUMO3
22082260 | Association | Neuroblastoma | SUMO3
22082260 | Association | Glucose | SUMO3
22082260 | Negative_Correlation | Oxygen | Ischemia
22210188 | Bind | RACK1 | PIAS2
22539679 | Association | Embryo Loss | Ifng
22539679 | Association | Diabetes Mellitus Type 1 | Ifng
22539679 | Association | Pgr | Pias4
23515314 | Negative_Correlation | PIAS4 | PIAS1
23515314 | Association | PIAS4 | PITX2
23515314 | Association | PITX2 | PIAS1
23704280 | Association | Lung Neoplasms | PIAS4
23704280 | Association | SIRT1 | HIC1
23704280 | Association | Neoplasms | PIAS4
23704280 | Negative_Correlation | Hypoxia | SIRT1
23704280 | Association | Lung Neoplasms | SIRT1
23704280 | Negative_Correlation | Resveratrol | Neoplasm Metastasis
23704280 | Negative_Correlation | Resveratrol | Lung Neoplasms
23704280 | Association | SIRT1 | PIAS4
23704280 | Association | SIRT1 | UBE2I
23704280 | Positive_Correlation | Resveratrol | SIRT1
23704280 | Association | Hypoxia | HIC1
23704280 | Association | Neoplasms | UBE2I
23704280 | Negative_Correlation | Neoplasm Metastasis | SIRT1
23843607 | Negative_Correlation | Hypoxia | SIRT1
23843607 | Association | Neoplasm Metastasis | SIRT1
23843607 | Association | Ovarian Neoplasms | SIRT1
23843607 | Negative_Correlation | Hypoxia Brain | SIRT1
23843607 | Association | Carcinogenesis | SIRT1
23843607 | Positive_Correlation | Hypoxia | PIAS4
23843607 | Negative_Correlation | SIRT1 | PIAS4
23843607 | Association | Neoplasm Metastasis | PIAS4
23843607 | Association | Neoplasms | PIAS4
23843607 | Association | Neoplasms | SIRT1
23843607 | Association | Ovarian Neoplasms | PIAS4
24379443 | Positive_Correlation | Srebf1 | Pias4
24379443 | Negative_Correlation | Fatty Liver | Pias4
24379443 | Association | Lipids | Srebf1
24379443 | Association | Lipids | Pias4
24457965 | Association | Neoplasms | Pias4
24457965 | Association | Atm | Mapk8
24457965 | Association | Neoplasms | Atm
24457965 | Positive_Correlation | Reactive Oxygen Species | Mapk8
24457965 | Association | Ikbkg | Pias4
24457965 | Positive_Correlation | Ikbkg | Nfkb1
24457965 | Positive_Correlation | Atm | Nfkb1
24457965 | Association | Atm | Pias4
24457965 | Association | Mapk8 | Pias4
24457965 | Negative_Correlation | Reactive Oxygen Species | Ikbkg
24457965 | Association | Reactive Oxygen Species | Neoplasms
24457965 | Positive_Correlation | Nfkb1 | Pias4
24457965 | Positive_Correlation | Reactive Oxygen Species | Atm
24457965 | Negative_Correlation | Reactive Oxygen Species | Pias4
24457965 | Association | Atm | Ikbkg
24457965 | Positive_Correlation | Reactive Oxygen Species | Nfkb1
24614299 | Association | PIAS4 | SUMO3
24614299 | Association | STXBP5 | SUMO3
24614299 | Association | PIAS4 | SUMO2
24614299 | Association | STXBP5 | SUMO2
24614299 | Association | STXBP5 | PIAS4
25425577 | Association | Metabolic Diseases | Nr1h4
25425577 | Association | Rxra | Nr1h4
25425577 | Association | Triglycerides | Nr1h4
25425577 | Association | Sumo2 | Nr1h4
25425577 | Association | Nr1h4 | Pias4
25425577 | Association | Inflammation | Nr1h4
25425577 | Association | Glucose Intolerance | Nr1h4
25425577 | Association | Inflammation | Sumo2
25425577 | Association | Obesity | Nr1h4
25425577 | Association | Nfkb1 | Nr1h4
25614517 | Positive_Correlation | REV1 | TP53
25614517 | Negative_Correlation | Neoplasms | TP53
25614517 | Association | Breast Neoplasms | TP53
25614517 | Association | REV1 | SUMO3
25614517 | Association | REV1 | SUMO2
25614517 | Association | Melanoma | TP53
25614517 | Association | Neoplasms | REV1
25701873 | Association | Limb-girdle muscular dystrophy type 2H | Trim32
25701873 | Association | Limb-girdle muscular dystrophy type 2H | Mul1
25701873 | Association | Muscular Diseases | Trim32
25701873 | Association | Ndrg2 | Trim32
25701873 | Association | Pias4 | Trim32
26063058 | Association | STAT1 | NR1I2
26063058 | Association | SENP6 | SUMO3
26063058 | Association | SENP3 | SUMO3
26063058 | Association | PIAS4 | NR1I2
26063058 | Positive_Correlation | CYP4F3 | NR1I2
26063058 | Association | PIAS1 | NR1I2
26063058 | Association | PPARGC1A | NR1I2
26063058 | Association | PPARGC1A | PIAS4
26063058 | Association | SENP6 | SUMO2
26063058 | Association | PIAS4 | SUMO1
26063058 | Association | SUMO1 | NR1I2
26063058 | Positive_Correlation | SUMO3 | PIAS1
26063058 | Positive_Correlation | CYP4F3 | PIAS1
26063058 | Association | SENP3 | SUMO2
26063058 | Association | SENP2 | NR1I2
26063058 | Association | Inflammation | NR1I2
26063058 | Association | TNF | NR1I2
26083374 | Association | Ciliopathies | Glis2
26083374 | Positive_Correlation | Ins2 | Glis2
26083374 | Association | Kidney Diseases Cystic | Glis2
26083374 | Association | Pias4 | Glis2
26083374 | Association | Nephronophthisis familial juvenile | Glis2
26083374 | Association | Nephronophthisis 7 | Glis2
26083374 | Association | Sumo3 | Glis2
26708148 | Negative_Correlation | CCND1 | PIAS2
26708148 | Association | Osteosarcoma | PIAS2
26708148 | Positive_Correlation | CDK8 | PIAS2
26708148 | Negative_Correlation | CCND3 | PIAS2
26708148 | Positive_Correlation | CDK4 | PIAS2
26708148 | Positive_Correlation | CDK6 | PIAS2
26708148 | Association | Neoplasms | PIAS2
27162139 | Association | PIAS4 | PRKCZ
27162139 | Association | PRKCZ | AREL1
27162139 | Association | Pias4 | TGFB1
27162139 | Association | GSK3B | AREL1
27162139 | Positive_Correlation | Fibrosis | AREL1
27162139 | Positive_Correlation | PIAS4 | AREL1
27162139 | Association | Lung Injury | PIAS4
27162139 | Association | Lung Injury | AREL1
27162139 | Association | GSK3B | PIAS4
27162139 | Positive_Correlation | TGFB1 | AREL1
27162139 | Negative_Correlation | Idiopathic Pulmonary Fibrosis | PIAS4
27162139 | Positive_Correlation | Idiopathic Pulmonary Fibrosis | AREL1
27177020 | Positive_Correlation | FKBP4 | NR3C1
27285989 | Association | Fatty Liver Alcoholic | Pias4
27285989 | Association | Inflammation | Pias4
27285989 | Negative_Correlation | Pias4 | Sirt1
27285989 | Association | Nfkb1 | Sirt1
27285989 | Positive_Correlation | Glucose | Pias4
27285989 | Positive_Correlation | Nfkb1 | Pias4
27285989 | Association | Inflammation | Nfkb1
27285989 | Negative_Correlation | Glucose | Sirt1
27285989 | Association | Inflammation | Sirt1
27285989 | Association | Fatty Liver Alcoholic | Sirt1
27312341 | Association | PIAS4 | RNF4
27312341 | Association | Hypertrophy | PIAS4
27312341 | Association | Hypertrophy | NKX3-2
27312341 | Association | Hypertrophy | HDAC9
27312341 | Association | EP300 | NKX3-2
27312341 | Association | Hypertrophy | RNF4
27312341 | Association | NKX3-2 | RNF4
27312341 | Association | PIAS4 | NKX3-2
27312341 | Positive_Correlation | NKX3-2 | HDAC9
27323886 | Negative_Correlation | Smad3 | Sirt1
27323886 | Positive_Correlation | Glucose | Pias4
27323886 | Association | Chemical and Drug Induced Liver Injury | Pias4
27323886 | Negative_Correlation | Chemical and Drug Induced Liver Injury | Sirt1
27323886 | Positive_Correlation | Smad3 | Pias4
27323886 | Negative_Correlation | Pias4 | Sirt1
27323886 | Association | Liver Cirrhosis | Sirt1
27323886 | Association | Liver Cirrhosis | Pias4
27323886 | Negative_Correlation | Glucose | Sirt1
27658114 | Positive_Correlation | Bleomycin | Pulmonary Fibrosis
27658114 | Association | Tgfb1 | Pias4
27924068 | Positive_Correlation | Carbohydrates | Liver Cirrhosis
27924068 | Positive_Correlation | Smad3 | Pias4
27924068 | Positive_Correlation | Pias4 | Sirt1
27924068 | Association | Liver Cirrhosis | Sirt1
27924068 | Association | Smad3 | Sirt1
27924068 | Association | Liver Cirrhosis | Pias4
27924068 | Association | Liver Cirrhosis | Smad3
28000708 | Bind | ISL1 | PIAS4
28000708 | Association | INS | ISL1
28000708 | Positive_Correlation | INS | PIAS4
28000708 | Association | Diabetes Mellitus Type 2 | ISL1
28000708 | Association | Diabetes Mellitus Type 2 | Isl1
28000708 | Association | Diabetes Mellitus Type 2 | PIAS4
28689771 | Association | Renal Insufficiency | Csf2
28689771 | Association | Renal Insufficiency | Il11
28689771 | Negative_Correlation | Tacrolimus | Ifng
28689771 | Positive_Correlation | Tacrolimus | Lif
28689771 | Association | Renal Insufficiency | Nfkb1
28689771 | Association | Obesity | Pias4
28689771 | Negative_Correlation | Tacrolimus | Fkbp4
28689771 | Negative_Correlation | Tacrolimus | Obesity
28689771 | Negative_Correlation | Tacrolimus | Pgr
28689771 | Association | Diabetes Mellitus | Ifng
28689771 | Association | Pgr | Pias4
28689771 | Negative_Correlation | Tacrolimus | Pias4
28689771 | Association | Fkbp4 | Pgr
28689771 | Negative_Correlation | Metformin | Ifng
28689771 | Comparison | Metformin | Tacrolimus
28689771 | Negative_Correlation | Tacrolimus | Stat3
28689771 | Positive_Correlation | Metformin | Pias4
28689771 | Association | Diabetes Mellitus | Fkbp4
28689771 | Negative_Correlation | Metformin | Fkbp4
28689771 | Negative_Correlation | Tacrolimus | Diabetes Mellitus
28689771 | Negative_Correlation | Tacrolimus | Renal Insufficiency
28689771 | Association | Diabetes Mellitus | Pgr
28689771 | Association | Renal Insufficiency | Stat3
28689771 | Negative_Correlation | Metformin | Pgr
28689771 | Positive_Correlation | Metformin | Lif
28970247 | Bind | Ifnb1 | Pias4
28970247 | Association | Poly I-C | Ifnb1
28970247 | Association | Kdm5a | Pias4
30143652 | Association | Diabetes Mellitus | HNF1A
30143652 | Association | Diabetes Mellitus | PIAS4
30143652 | Association | Diabetes Mellitus Type 2 | HNF1A
30143652 | Association | PIAS4 | HNF1A
31226106 | Positive_Correlation | Dux | Dppa2
31226106 | Association | Sumo2 | Dux
31226106 | Association | Sumo2 | Dppa2
31226106 | Positive_Correlation | Dux | Dppa4
31614335 | Association | SH2D1A | PIAS4
31614335 | Association | MAFA | PIAS4
31614335 | Negative_Correlation | NEUROD1 | PIAS4
31614335 | Association | INS | MAFA
31614335 | Negative_Correlation | INS | PIAS4
31614335 | Negative_Correlation | PDX1 | PIAS4
32462635 | Association | Amyotrophic lateral sclerosis 1 | SUMO3
32462635 | Association | PIAS4 | SOD1
32462635 | Association | SENP1 | SOD1
32462635 | Association | Amyotrophic lateral sclerosis 1 | SOD1
32462635 | Association | SUMO3 | SOD1
32462635 | Association | Amyotrophic Lateral Sclerosis | SOD1
32571912 | Association | Lung Diseases | Socs3
32571912 | Positive_Correlation | Neoplasms | Il6
32571912 | Positive_Correlation | Neoplasms | Tgfb1
32571912 | Association | Infections | Tgfb1
32571912 | Positive_Correlation | Neoplasms | Il10
32571912 | Association | Lung Diseases | Stat3
32571912 | Negative_Correlation | Socs3 | Stat3
32571912 | Positive_Correlation | Neoplasms | Ifng
32571912 | Negative_Correlation | Socs3 | Tnf
32784646 | Association | Neoplasms | Trp53-ps
32784646 | Association | Oxygen | Neoplasms
32784646 | Association | Msx1 | Trp53-ps
32784646 | Negative_Correlation | Neoplasms | Msx1
32784646 | Negative_Correlation | Msx1 | VEGFA
32784646 | Association | MSX1 | Pias4
32784646 | Association | Msx1 | Pias4
34717917 | Association | Digitoxin | KRAS
34717917 | Negative_Correlation | Digitoxin | STAT3
34717917 | Association | Cetuximab | KRAS
34717917 | Negative_Correlation | Digitoxin | Neoplasms
34717917 | Positive_Correlation | Digitoxin | NR0B2
34717917 | Negative_Correlation | Cetuximab | Colorectal Neoplasms
34717917 | Association | Colorectal Neoplasms | KRAS
34717917 | Positive_Correlation | Digitoxin | PTEN
34717917 | Negative_Correlation | Digitoxin | RPS6KB1
34717917 | Negative_Correlation | Digitoxin | HIF1A
34717917 | Association | Colorectal Neoplasms | STAT3
34717917 | Negative_Correlation | Digitoxin | EIF4EBP1
34717917 | Negative_Correlation | Digitoxin | Colorectal Neoplasms
34717917 | Association | Digitoxin | PIAS3
34717917 | Association | Colorectal Neoplasms | HIF1A
35256747 | Association | Nr3c1 | Pias4
35256747 | Association | Fkbp5 | Nr3c1
35256747 | Association | Fkbp5 | Pias4
35256747 | Negative_Correlation | Fkbp5 | Nr3c1
35256747 | Association | Trauma and Stressor Related Disorders | Fkbp5
35256747 | Association | Trauma and Stressor Related Disorders | Nr3c1
35256747 | Association | Fkbp5 | Hsp90aa1
35256747 | Negative_Correlation | Clomipramine | Pias4
35256747 | Negative_Correlation | Clomipramine | Fkbp5
37197494 | Positive_Correlation | bufalin | PIAS3
37197494 | Association | Esophageal Squamous Cell Carcinoma | STAT3
37197494 | Negative_Correlation | bufalin | Esophageal Squamous Cell Carcinoma
37197494 | Negative_Correlation | bufalin | Neoplasms
37197494 | Positive_Correlation | bufalin | STAT3
37197494 | Association | Esophageal Squamous Cell Carcinoma | PIAS3
37392066 | Negative_Correlation | Psoriasis | PIAS3
37392066 | Negative_Correlation | PIAS3 | TNF
37392066 | Positive_Correlation | Imiquimod | Dermatitis
37392066 | Association | Inflammation | TP53
