2896072 | Association | THY1 | CD8B
37853469 | Positive_Correlation | Ifng | Cxcl9
37853469 | Association | Atf3 | Cxcl10
37853469 | Association | Atf3 | Cxcl9
37853469 | Association | Colorectal Neoplasms | BRAF
37853469 | Association | Neoplasms | BRAF
37863157 | Negative_Correlation | Breast Neoplasms | Cd8a
37963636 | Negative_Correlation | poly(I).poly(c12 U) | Breast Neoplasms
37963636 | Association | GZMB | TLR3
37963636 | Association | Breast Neoplasms | IFNA1
37963636 | Negative_Correlation | Celecoxib | Breast Neoplasms
37963636 | Positive_Correlation | TLR3 | CD8A
37963636 | Association | Neoplasms | IFNA1
37963636 | Positive_Correlation | poly(I).poly(c12 U) | TLR3
37963636 | Association | Breast Neoplasms | TLR3
37963636 | Negative_Correlation | Celecoxib | COX2
37963636 | Negative_Correlation | pembrolizumab | Breast Neoplasms
37984124 | Association | Neoplasms | Cd274
37984124 | Association | Carcinoma Hepatocellular | Cd274
38358555 | Association | Autoimmune Diseases | BATF3
38358555 | Association | ITGAE | BATF3
38358555 | Negative_Correlation | FOXP3 | BATF3
38358555 | Association | Neoplasms | BATF3
38358555 | Bind | IRF4 | BATF3
38358555 | Positive_Correlation | IL9 | BATF3
38358555 | Association | BATF3 | CD8A
38411117 | Association | Neonatal herpes | CD8A
38580644 | Association | Cholangitis | Nr1i3
38580644 | Association | Nr1i3 | Pdcd1
27677155 | Negative_Correlation | Neoplasms | Pawr
27677155 | Positive_Correlation | Neoplasms | Prlr
27677155 | Association | Neoplasms | Il15
27677155 | Negative_Correlation | Neoplasms | Pdcd1lg2
27677155 | Negative_Correlation | Neoplasms | Cd1d1
27677155 | Positive_Correlation | Neoplasms | Cd8b1
27677155 | Negative_Correlation | Neoplasms | Il4
27677155 | Negative_Correlation | Neoplasms | Socs5
27677155 | Negative_Correlation | Neoplasms | Sit1
27677155 | Positive_Correlation | Neoplasms | Tnfrsf13c
27677155 | Negative_Correlation | Neoplasms | Il27
27677155 | Association | Neoplasms | Il18
27677155 | Positive_Correlation | Neoplasms | Cd8a
27677155 | Positive_Correlation | Neoplasms | Cxcl12
27677155 | Positive_Correlation | Neoplasms | Sftpd
27677155 | Negative_Correlation | Neoplasms | Sla2
30097855 | Positive_Correlation | Lymphoma T-Cell | p.P588H
30097855 | Association | Lymphoma T-Cell | PCDHGB6
30097855 | Positive_Correlation | Lymphoma T-Cell | p.K469X
30097855 | Association | Lymphoma T-Cell | POLK
30097855 | Association | Lymphoma T-Cell | OTOG
30097855 | Association | Lymphoma T-Cell | PLCG1
30097855 | Association | Lymphoma T-Cell | OSGEPL1
30097855 | Association | Lymphoma T-Cell | TTC36
30097855 | Association | Lymphoma T-Cell Peripheral | Prkcb
30097855 | Association | Lymphoma T-Cell | RASSF9
30097855 | Association | Lymphoma T-Cell | PRKCB
30097855 | Association | Lymphoma T-Cell | GNL3L
30097855 | Association | Lymphoma T-Cell | FYN
30097855 | Association | Lymphoma T-Cell | TET2
30097855 | Association | Lymphoma T-Cell | PRRC2B
30097855 | Association | Lymphoma T-Cell | Prkcb
30097855 | Association | Leukemia-Lymphoma Adult T-Cell | Prkcb
30097855 | Association | Lymphoma T-Cell | ZNF676
30097855 | Association | Lymphoma T-Cell | Polk
31704286 | Bind | LCK | TRBV20OR9-2
31704286 | Association | HLA-C | CD8A
31704286 | Bind | HLA-C | TRBV20OR9-2
31704286 | Association | Disulfides | CD8A
31704286 | Association | CD8A | CD8B
31992596 | Bind | H2-T23 | CD8A
35265090 | Association | CCR7 | CD8A
35265090 | Association | BACH2 | CD8A
35265090 | Association | EZH2 | CD8A
35265090 | Association | SELL | CD8A
35265090 | Association | LEF1 | CD8A
35265090 | Association | ID2 | CD8A
35265090 | Positive_Correlation | Ionomycin | TNF
35265090 | Association | ZEB1 | CD8A
35265090 | Association | ZNF683 | CD8A
35265090 | Association | IL7R | CD8A
35265090 | Association | KLRG1 | CD8A
35265090 | Association | BCL2 | CD8A
35265090 | Association | TCF7 | CD8A
35265090 | Association | PRDM1 | CD8A
35265090 | Association | CX3CR1 | CD8A
35265090 | Association | TBX21 | CD8A
35265090 | Association | BATF | CD8A
35265090 | Association | SATB1 | CD8A
35265090 | Association | CD8A | ZEB2
35726891 | Association | Ovarian Neoplasms | KDM5A
35726891 | Association | Neoplasms | KDM5A
35726891 | Association | KDM5A | CD8A
35726891 | Association | Carcinoma Ovarian Epithelial | KDM5A
35726891 | Association | Neoplasms | CD8A
35726891 | Association | Carcinoma Ovarian Epithelial | CD8A
35783265 | Association | Vulvar Lichen Sclerosus | CENPN
35783265 | Association | Vulvar Lichen Sclerosus | CENPE
35783265 | Association | Vulvar Lichen Sclerosus | CXCL2
35783265 | Association | Vulvar Lichen Sclerosus | CCNK
35783265 | Association | Vulvar Lichen Sclerosus | CXCL11
35783265 | Association | Vulvar Lichen Sclerosus | ZAP70
35783265 | Association | Vulvar Lichen Sclerosus | CD3D
35783265 | Association | Vulvar Lichen Sclerosus | CD3G
35783265 | Association | Vulvar Lichen Sclerosus | CXCL3
35783265 | Association | Vulvar Lichen Sclerosus | CXCL8
35783265 | Association | Vulvar Lichen Sclerosus | NR4A2
35783265 | Association | Vulvar Lichen Sclerosus | CXCL10
35783265 | Association | Vulvar Lichen Sclerosus | LAT
35783265 | Association | Vulvar Lichen Sclerosus | CCNL1
35783265 | Association | Vulvar Lichen Sclerosus | CCNB1
35783265 | Association | Vulvar Lichen Sclerosus | NR4A1
35783265 | Association | Vulvar Lichen Sclerosus | CXCL1
35783265 | Association | Vulvar Lichen Sclerosus | CXCL9
35783265 | Association | Vulvar Lichen Sclerosus | CCNE1
35783265 | Association | Vulvar Lichen Sclerosus | CCNL2
35783265 | Association | Vulvar Lichen Sclerosus | CCR5
35783265 | Association | Vulvar Lichen Sclerosus | MIR203A
35783265 | Association | Vulvar Lichen Sclerosus | CCNB2
35783265 | Association | Vulvar Lichen Sclerosus | CENPA
35783265 | Association | Vulvar Lichen Sclerosus | CXCR3
35783265 | Association | Vulvar Lichen Sclerosus | CXCR2
35783265 | Association | Vulvar Lichen Sclerosus | CENPF
35783265 | Association | Vulvar Lichen Sclerosus | LCK
35783265 | Association | Vulvar Lichen Sclerosus | CD8B
35783265 | Association | Vulvar Lichen Sclerosus | NR4A3
35963284 | Positive_Correlation | Floxacillin | Liver Failure
35963284 | Positive_Correlation | abacavir | Drug Hypersensitivity
36047204 | Association | Neoplasms Vascular Tissue | Ccl17
36047204 | Association | Skin Diseases | Ccr4
36047204 | Positive_Correlation | abacavir | Drug Hypersensitivity
36047204 | Association | Ear Diseases | Ccl17
36047204 | Bind | Ccr4 | Ccl17
36047204 | Positive_Correlation | abacavir | Ccl17
36047204 | Association | Skin Diseases | Ccl17
36047204 | Positive_Correlation | abacavir | Skin Diseases
36224625 | Association | Neoplasms | Akt1
36778211 | Association | Colorectal Neoplasms | Pdcd1
36778211 | Negative_Correlation | urolithin B | Colorectal Neoplasms
36778211 | Negative_Correlation | urolithin B | Carcinogenesis
36778211 | Association | Carcinogenesis | Cd274
37199039 | Association | AP 1903 reagent | p.A11R
37395402 | Bind | 6-methyladenine | Prrc2b
37395402 | Association | 6-methyladenine | Hypoxia
37395402 | Association | Cognition Disorders | Prrc2b
37395402 | Association | Hypoxia | Prrc2b
37395402 | Association | N-methyladenosine | Hypoxia
37430060 | Association | Lung Neoplasms | ALK
37430060 | Association | Neoplasms | ALK
37430060 | Association | ALK | CD8A
37430060 | Association | Carcinoma Non-Small-Cell Lung | ALK
37430060 | Association | Carcinoma Non-Small-Cell Lung | CD8A
37523987 | Negative_Correlation | abacavir | Neoplasms
37523987 | Positive_Correlation | Ifng | CD8A
37523987 | Association | Neoplasms | Ifng
37523987 | Association | Neoplasms | Cxcr3
37523987 | Association | Neoplasms | CD8A
37523987 | Association | abacavir | Cxcr3
37523987 | Positive_Correlation | abacavir | Ifng
37523987 | Positive_Correlation | abacavir | CD8A
37523987 | Association | Cxcr3 | CD8A
37540821 | Association | Herpes Zoster | MICD
37540821 | Association | Neuromyelitis Optica | rs9260809
37540821 | Positive_Correlation | Herpes Zoster | rs2523591
37540821 | Association | Herpes Zoster | rs9260809
37540821 | Association | Neuromyelitis Optica | AQP4
37540821 | Association | Herpes Zoster | IFNA21
37540821 | Association | Herpes Zoster | rs7047299
37540821 | Association | Herpes Zoster | HLA-B
37540821 | Association | Neuromyelitis Optica | rs9266089
37540821 | Positive_Correlation | Chickenpox | rs9266089
37540821 | Association | Neuromyelitis Optica | rs7047299
37540821 | Association | Chickenpox | HLA-B
37540821 | Positive_Correlation | Herpes Zoster | rs885950
37540821 | Association | Herpes Labialis | AQP4
37540821 | Association | Herpes Zoster | AQP4
37540821 | Association | Neuromyelitis Optica | HCG9
37540821 | Association | Herpes Zoster | HCG9
37540821 | Association | Neuromyelitis Optica | IFNA21
37540821 | Association | Herpes Zoster | POU5F1
37766594 | Association | Cholesterol | Scarb1
37766594 | Association | Scarb1 | Cd274
37766594 | Association | Colitis | Scarb1
37766594 | Positive_Correlation | Ldlr | Scarb1
37766594 | Positive_Correlation | Abca1 | Scarb1
37766594 | Association | Colorectal Neoplasms | Scarb1
37766594 | Association | Cholesterol | Abca1
37766594 | Association | Cholesterol | Ldlr
37766594 | Association | Neoplasms | Scarb1
37766594 | Association | Neoplasms | Cd274
37766594 | Association | Cholesterol | Neoplasms
37766594 | Association | Pdcd1 | Scarb1
37821882 | Association | Colorectal Neoplasms | ZNF703
37821882 | Association | ZNF70 | CD8A
37821882 | Association | Psychological Distress | ZNF70
37821882 | Association | Psychological Distress | ZNF703
37858067 | Association | Carcinoma Hepatocellular | Pdcd1
37858067 | Association | Cd8a | Sh2d1a
37858067 | Positive_Correlation | Bcl2a1a | Sh2d1a
37858067 | Association | Carcinoma Hepatocellular | Cd8a
37858067 | Association | Neoplasms | Sh2d1a
37858067 | Positive_Correlation | Nfkb1 | Sh2d1a
37858067 | Association | Neoplasm Metastasis | Nfkb1
37858067 | Association | Neoplasm Metastasis | Sh2d1a
37858067 | Association | Pdcd1 | Sh2d1a
37858067 | Association | Carcinoma Hepatocellular | Bcl2a1a
37858067 | Association | Carcinoma Hepatocellular | Ctla4
37858067 | Association | Carcinoma Hepatocellular | Nfkb1
37858067 | Association | Carcinoma Hepatocellular | Sh2d1a
37858067 | Association | Ctla4 | Sh2d1a
37888903 | Positive_Correlation | cyclic guanosine monophosphate-adenosine monophosphate | Tmem173
37888903 | Positive_Correlation | cyclic guanosine monophosphate-adenosine monophosphate | Six4
37888903 | Association | Inflammation | Six4
37888903 | Positive_Correlation | Six4 | Tmem173
37888903 | Positive_Correlation | Pdcd1 | Six4
37888903 | Association | Neoplasms | Cgas
37888903 | Association | Neoplasms | Tmem173
37888903 | Association | Colorectal Neoplasms | Six4
37888903 | Association | Neoplasms | Six4
37888903 | Positive_Correlation | vadimezan | Six4
37888903 | Association | Neoplasms | Pdcd1
37888903 | Association | Cd8a | Six4
37888903 | Positive_Correlation | vadimezan | Tmem173
38207230 | Bind | CD274 | PDCD1
38207230 | Association | Carcinoma Non-Small-Cell Lung | CD274
38242488 | Positive_Correlation | Trichloroethylene | Dermatitis
38242488 | Association | Radiodermatitis | Tlr4
38242488 | Association | Skin Diseases | Tlr4
38242488 | Association | Chemical and Drug Induced Liver Injury | Tlr4
38242488 | Association | Chemical and Drug Induced Liver Injury | Nfkb1
38242488 | Association | Trichloroethylene | Tlr4
38242488 | Positive_Correlation | Trichloroethylene | Skin Diseases
38242488 | Positive_Correlation | Trichloroethylene | Chemical and Drug Induced Liver Injury
38242488 | Association | Dermatitis | Nfkb1
38242488 | Association | Nfkb1 | Tlr4
38242488 | Association | Nfkb1 | Tlr2
38242488 | Association | Trichloroethylene | Nfkb1
38242488 | Positive_Correlation | Trichloroethylene | Drug Hypersensitivity
38279987 | Association | PDCD1 | CD8A
38279987 | Association | CTLA4 | PDCD1
38279987 | Association | Melanoma Cutaneous Malignant | CD8A
38279987 | Association | CTLA4 | CD8A
38279987 | Association | Melanoma Cutaneous Malignant | CD1D
38279987 | Association | Melanoma Cutaneous Malignant | PDCD1
38279987 | Association | Fatty Acids | CD8A
38279987 | Association | Fatty Acids | CTLA4
38279987 | Association | Fatty Acids | PDCD1
38279987 | Association | Fatty Acids | Melanoma Cutaneous Malignant
38279987 | Association | Melanoma Cutaneous Malignant | CTLA4
38291496 | Association | Neoplasms | CD8A
38291496 | Association | Glycosuria Renal | CD8A
38291496 | Association | Kidney Neoplasms | CD8A
38329122 | Bind | Sema6d | Plxna4
38329122 | Association | Neoplasms | SEMA6D
38329122 | Association | SEMA6D | CD8A
38329122 | Association | Head and Neck Neoplasms | SEMA6D
38329122 | Negative_Correlation | PDCD1 | SEMA6D
38329122 | Negative_Correlation | IFNG | SEMA6D
38329122 | Association | Neoplasms | Sema6d
38329122 | Negative_Correlation | GZMB | SEMA6D
38357542 | Negative_Correlation | Pancreatic Neoplasms | CD8A
38357542 | Association | Pancreatic Neoplasms | VSIR
38357542 | Positive_Correlation | Pancreatic Neoplasms | CD68
38357542 | Association | Carcinoma Pancreatic Ductal | VSIR
38357542 | Association | Carcinoma Pancreatic Ductal | CD8A
38357542 | Association | Carcinoma Pancreatic Ductal | CD68
38420798 | Negative_Correlation | Neoplasm Metastasis | CD8A
38420798 | Association | Triple Negative Breast Neoplasms | CD8A
38420798 | Negative_Correlation | Breast Neoplasms | CD8A
38447418 | Negative_Correlation | artenimol | Arthritis Rheumatoid
38447418 | Negative_Correlation | artenimol | Liver Cirrhosis Biliary
38447418 | Positive_Correlation | artenimol | Cd8a
38447418 | Negative_Correlation | artenimol | Bone Diseases
38447418 | Negative_Correlation | artenimol | Tooth Erosion
38447418 | Positive_Correlation | artenimol | Col2a1
38447418 | Association | artenimol | Autoimmune Diseases
38454413 | Association | Colorectal Neoplasms | Tmem160
38454413 | Association | Colorectal Neoplasms | CD274
38454413 | Bind | CD274 | SPOP
38454413 | Association | Neoplasms | Tmem160
38454413 | Bind | TMEM160 | SPOP
38454413 | Association | Colorectal Neoplasms | TMEM160
38454413 | Association | Neoplasms | CD274
38454413 | Association | Neoplasm Metastasis | Tmem160
38454413 | Bind | CD274 | TMEM160
38454413 | Association | Neoplasms | TMEM160
38525129 | Positive_Correlation | abacavir | Drug Eruptions
38525129 | Positive_Correlation | abacavir | Skin Diseases
38628599 | Positive_Correlation | abacavir | Calcium
38628599 | Negative_Correlation | 4-phenylbutyric acid | Il1b
38628599 | Positive_Correlation | abacavir | Il1b
38628599 | Positive_Correlation | abacavir | Skin Diseases
38628599 | Positive_Correlation | abacavir | Ccl27a
38628599 | Negative_Correlation | 4-phenylbutyric acid | Skin Diseases
38628599 | Positive_Correlation | abacavir | Hspa1b
38628599 | Positive_Correlation | abacavir | Drug Hypersensitivity
38628599 | Negative_Correlation | 4-phenylbutyric acid | abacavir
38628599 | Positive_Correlation | abacavir | Ifng
38628599 | Negative_Correlation | 4-phenylbutyric acid | Ccl27a
10899907 | Association | Inflammation | Ccr2
10899907 | Bind | Ccr5 | Ccl3
12009566 | Association | lipoxin A4 | Arachidonic Acid
12091350 | Association | Ccr5 | Itgax
12091350 | Association | Ccr2 | Itgax
12091350 | Association | Ccr6 | Itgax
12091350 | Association | Cd8a | Ccr7
12091350 | Positive_Correlation | Ifng | Itgax
12091350 | Association | Ccr7 | Itgax
12091350 | Association | Cd8a | Ccr5
12091350 | Association | Cd8a | Itgax
12091350 | Association | Cd8a | Ccr2
12091350 | Positive_Correlation | Ccr6 | Cd8a
12091350 | Positive_Correlation | Cd8a | Ifng
15331395 | Association | Arthritis Rheumatoid | CCL5
15331395 | Association | IgA Vasculitis | CCR5
15331395 | Association | Arthritis Rheumatoid | CCL3
15331395 | Association | Arthritis Rheumatoid | CCL4
15331395 | Association | Arthritis Rheumatoid | CCR5
16419163 | Association | Colitis | Il2
16419163 | Association | Il2 | Ly75
16419163 | Association | Ccr5 | Il2
16808956 | Association | CXCR4 | CD8A
16808956 | Bind | CD4 | CD8A
16808956 | Bind | CXCR4 | CD4
18485203 | Positive_Correlation | TRBV20OR9-2 | CD3G
18485203 | Association | ITGAL | TRBV20OR9-2
18485203 | Association | TRBV20OR9-2 | TYROBP
18485203 | Association | ITGB1 | TRBV20OR9-2
18485203 | Association | ITGB2 | TRBV20OR9-2
18485203 | Association | TRAT1 | TRBV20OR9-2
18485203 | Positive_Correlation | TRBV20OR9-2 | CD3D
18485203 | Association | TRBV20OR9-2 | CD8A
20190758 | Association | CCR4 | CCL17
22638733 | Association | Arthritis Rheumatoid | CCR5
22638733 | Association | Arthritis Juvenile | CCR5
23012431 | Positive_Correlation | Itgae | Clec9a
23012431 | Positive_Correlation | Clec9a | Cd207
23012431 | Negative_Correlation | Myoclonic Epilepsies Progressive | Cd207
23012431 | Negative_Correlation | Myoclonic Epilepsies Progressive | Ccr5
23012431 | Negative_Correlation | Myoclonic Epilepsies Progressive | Clec9a
23012431 | Positive_Correlation | Il10 | Itgae
23012431 | Association | Myoclonic Epilepsies Progressive | Cd8a
23012431 | Negative_Correlation | Myoclonic Epilepsies Progressive | Il10
23012431 | Positive_Correlation | Ccr5 | Cd207
23012431 | Negative_Correlation | Myoclonic Epilepsies Progressive | Itgae
23012431 | Positive_Correlation | Il10 | Cd207
23012431 | Association | Cd8a | Clec9a
23012431 | Association | Cd8a | Ccr5
23012431 | Association | Autoimmune Diseases | Cd8a
23012431 | Positive_Correlation | Ccr5 | Itgae
23012431 | Association | Cd8a | Il10
25166904 | Association | Lipopolysaccharides | Cd8a
25166904 | Association | Inflammation | Cd8a
25166904 | Association | Lipopolysaccharides | Itgax
25166904 | Association | Cytokine Release Syndrome | Itgax
25166904 | Positive_Correlation | Lipopolysaccharides | Inflammation
25166904 | Association | Inflammation | Itgax
25166904 | Positive_Correlation | Lipopolysaccharides | Cytokine Release Syndrome
25166904 | Association | Cytokine Release Syndrome | Cd8a
25853812 | Association | Spondylitis Ankylosing | CXCR4
25853812 | Association | Inflammation | CXCR1
25853812 | Association | Arthritis Rheumatoid | CD44
25853812 | Association | Arthritis Rheumatoid | CXCR1
25911114 | Negative_Correlation | Infections | IFNA3
27846843 | Association | Infections | CD8A
27846843 | Association | Infections | CD4
27846843 | Association | Infections | CD3D
27846843 | Positive_Correlation | Infections | IL2
30004616 | Association | Cd8a | Flt3l
30004616 | Association | Cd4 | Flt3l
30004616 | Association | Flt3l | Il2ra
30004616 | Association | Flt3l | Trav6-3
30004616 | Association | Flt3l | Foxp3
32081834 | Association | Carcinoma Renal Cell | CD8A
32081834 | Positive_Correlation | Neoplasms | CXCL9
32081834 | Positive_Correlation | Neoplasms | CD3G
32081834 | Association | Carcinoma Renal Cell | CCL5
32081834 | Association | Neoplasms | CCR5
32081834 | Association | Neoplasms | CD3D
32081834 | Positive_Correlation | Neoplasms | IFNG
32081834 | Positive_Correlation | Neoplasms | CCL5
32081834 | Positive_Correlation | Neoplasms | IRF1
33204151 | Association | IFNG | CD27
33204151 | Association | CD8A | CD27
33204151 | Association | PDCD1LG2 | CD70
33204151 | Association | GZMB | CD27
33204151 | Bind | CD27 | CD70
33204151 | Association | CCR5 | CD27
33204151 | Association | CXCL9 | CD27
33204151 | Negative_Correlation | Esophageal Squamous Cell Carcinoma | CD70
33204151 | Negative_Correlation | Esophageal Squamous Cell Carcinoma | CD27
33204151 | Association | CXCR6 | CD27
33204151 | Association | CXCL10 | CD27
33204151 | Association | HHLA2 | CD70
33204151 | Association | CXCL10 | CD8A
33204151 | Association | CXCL11 | CD27
33204151 | Association | CXCR3 | CD27
33204151 | Association | CD274 | CD70
35936748 | Association | Carcinoma Renal Cell | CD8A
35936748 | Association | Carcinoma Renal Cell | CD209
35936748 | Association | Carcinoma Hepatocellular | CD209
35936748 | Association | Carcinoma Hepatocellular | HLA-DQA1
35936748 | Association | Colorectal Neoplasms | IL34
35936748 | Association | Carcinoma Renal Cell | HLA-A
35936748 | Association | Colorectal Neoplasms | HLA-A
35936748 | Association | Carcinoma Renal Cell | IL34
35936748 | Association | Carcinoma Renal Cell | HLA-DPB1
35936748 | Association | Carcinoma Renal Cell | HLA-DRA
35936748 | Association | Carcinoma Renal Cell | CD4
35936748 | Association | Carcinoma Hepatocellular | IL34
35936748 | Association | Carcinoma Hepatocellular | HLA-A
35936748 | Association | Colorectal Neoplasms | HLA-DRA
35936748 | Association | Carcinoma Hepatocellular | HLA-DPB1
35936748 | Association | Carcinoma Renal Cell | CCR5
35936748 | Association | Carcinoma Renal Cell | PROCR
35936748 | Association | Carcinoma Renal Cell | HLA-DQA1
35936748 | Association | Carcinoma Renal Cell | HCK
35965624 | Association | Lymphoma Follicular | SPARC
35965624 | Association | Lymphoma Follicular | MMP9
35965624 | Association | Lymphoma Follicular | FN1
35965624 | Association | Lymphoma Follicular | ELAVL2
35965624 | Association | Lymphoma Follicular | IL18
35965624 | Association | Lymphoma Follicular | POSTN
35965624 | Association | Lymphoma Follicular | VCAM1
35965624 | Association | ELAVL2 | IL18
36330810 | Association | Hypoxia | ITGAM
36330810 | Association | Hypoxia | CD86
36330810 | Association | Prednisone | PTPRC
36330810 | Association | Hypoxia | CCR5
36330810 | Association | Hypoxia | PTPRC
36330810 | Association | Hypoxia | CD8A
38165703 | Association | Geographic Atrophy | CCR6
38165703 | Association | Geographic Atrophy | CXCR4
38165703 | Association | Geographic Atrophy | CD4
38165703 | Association | Geographic Atrophy | CCR5
38165703 | Association | Geographic Atrophy | CD8A
38168677 | Association | Ccr5 | CD8A
38168677 | Association | Infections | CD8A
38168677 | Association | Inflammation | CD8A
38168677 | Association | Ccr2 | CD8A
38168677 | Association | Zika Virus Infection | CD8A
38168677 | Association | Infections | H2-Ab1
38237887 | Association | Neoplasm Metastasis | CCL5
38237887 | Association | CCR5 | HIF1A
38237887 | Association | Neoplasms | YAP1
38237887 | Association | Triple Negative Breast Neoplasms | CCR5
38237887 | Association | Triple Negative Breast Neoplasms | CCL5
38237887 | Association | CCR5 | CXCL8
38237887 | Association | YAP1 | CCL5
38237887 | Association | Neoplasm Metastasis | CCR5
38237887 | Association | YAP1 | HIF1A
38237887 | Association | Neoplasm Metastasis | CTNNB1
38237887 | Negative_Correlation | Verteporfin | Neoplasm Metastasis
38237887 | Association | CCR5 | ZEB1
38237887 | Negative_Correlation | Verteporfin | Neoplasms
38237887 | Association | Triple Negative Breast Neoplasms | YAP1
38237887 | Association | Neoplasm Metastasis | ZEB2
38237887 | Association | CCR5 | CTNNB1
38237887 | Association | CCR5 | CXCL16
