37537117 | Positive_Correlation | Sevoflurane | p.S262S
37129099 | Negative_Correlation | Cd8a | Tnf
37129099 | Negative_Correlation | Cd8a | Il13
37129099 | Negative_Correlation | Tacrolimus | Col3a1
37129099 | Negative_Correlation | Tacrolimus | Col1a1
37129099 | Negative_Correlation | Fingolimod Hydrochloride | Col3a1
37129099 | Negative_Correlation | Fingolimod Hydrochloride | Tgfb1
37129099 | Negative_Correlation | Fingolimod Hydrochloride | Col1a1
37129099 | Negative_Correlation | Tacrolimus | Tgfb1
37129099 | Negative_Correlation | Cd8a | Il13ra1
37264710 | Negative_Correlation | cryptotanshinone | Neoplasm Metastasis
37264710 | Negative_Correlation | cryptotanshinone | Triple Negative Breast Neoplasms
37264710 | Negative_Correlation | Chondroitin Sulfates | Paclitaxel
37264710 | Negative_Correlation | Paclitaxel | Neoplasms
37264710 | Cotreatment | cryptotanshinone | Paclitaxel
37264710 | Negative_Correlation | Paclitaxel | Triple Negative Breast Neoplasms
37264710 | Negative_Correlation | Chondroitin Sulfates | Neoplasm Metastasis
37264710 | Negative_Correlation | Chondroitin Sulfates | Stat3
37264710 | Association | Triple Negative Breast Neoplasms | Stat3
37264710 | Negative_Correlation | Paclitaxel | Neoplasm Metastasis
37264710 | Positive_Correlation | cryptotanshinone | Drug-Related Side Effects and Adverse Reactions
37264710 | Negative_Correlation | cryptotanshinone | Stat3
37264710 | Association | Neoplasm Metastasis | Stat3
37264710 | Negative_Correlation | Chondroitin Sulfates | Triple Negative Breast Neoplasms
37264710 | Cotreatment | cryptotanshinone | Chondroitin Sulfates
37264710 | Negative_Correlation | cryptotanshinone | Neoplasms
37532798 | Association | Amphetamine | Slc6a3
37532798 | Association | Disruptive Impulse Control and Conduct Disorders | Slc6a3
37532798 | Association | Dopamine | Personality Disorders
37532798 | Association | Dopamine | Disruptive Impulse Control and Conduct Disorders
37532798 | Association | Dopamine | Slc6a3
37532798 | Association | Personality Disorders | Slc6a3
37572797 | Negative_Correlation | Nkg7 | HDAC9
37572797 | Negative_Correlation | Ccl5 | HDAC9
37572797 | Negative_Correlation | Vorinostat | HDAC9
37572797 | Association | Neoplasms | Psmb10
37572797 | Association | Neoplasms | Cxcl9
37572797 | Association | Neoplasms | Pdcd1
37572797 | Negative_Correlation | Vorinostat | Neoplasms
37572797 | Negative_Correlation | Psmb10 | HDAC9
37572797 | Positive_Correlation | Pdcd1 | CD8A
37572797 | Negative_Correlation | HLA-A | HDAC9
37572797 | Association | Neoplasms | Nkg7
37572797 | Association | Neoplasms | Ctnnb1
37572797 | Negative_Correlation | HLA-DQB1 | HDAC9
37572797 | Negative_Correlation | Vorinostat | CD8A
37572797 | Negative_Correlation | Vorinostat | Breast Neoplasms
37572797 | Association | Neoplasms | HDAC9
37572797 | Association | Neoplasms | Cd8a
37572797 | Association | Breast Neoplasms | HDAC9
37572797 | Association | Neoplasms | Ccl5
37572797 | Negative_Correlation | CD8A | HDAC9
37572797 | Association | Neoplasms | Cxcr6
37572797 | Negative_Correlation | HLA-DQA1 | HDAC9
37572797 | Association | Neoplasms | Myc
37634288 | Association | Inflammation | Casp3
37634288 | Association | Inflammation | Ifng
37634288 | Association | Inflammation | Tnf
37634288 | Positive_Correlation | Gliosis | Aif1
37634288 | Association | Neuroinflammatory Diseases | Casp3
37634288 | Association | Inflammation | Il10
37793777 | Negative_Correlation | Nicotinamide Mononucleotide | Lysosomal Storage Diseases
37793777 | Association | Lipid Peroxides | Lysosomal Storage Diseases
37793777 | Negative_Correlation | Nicotinamide Mononucleotide | Heart Failure
37793777 | Association | NAD | Nicotinamide Mononucleotide
37793777 | Association | Heart Failure | C1qbp
37793777 | Association | Lipid Peroxides | Mitochondrial Diseases
37793777 | Association | Cardiomyopathy Dilated | C1qbp
37793777 | Association | NAD | 614922
37793777 | Association | NAD | Mitochondrial Diseases
37898694 | Association | Colitis Ulcerative | NKG7
37898694 | Association | Colitis Ulcerative | OAS2
37898694 | Association | Colitis Ulcerative | IFI44
37898694 | Association | Colitis Ulcerative | CD8A
37898694 | Association | Non-alcoholic Fatty Liver Disease | NKG7
37898694 | Association | Non-alcoholic Fatty Liver Disease | OAS2
37898694 | Association | Colitis Ulcerative | CD2
37905138 | Negative_Correlation | PLX5622 | Csf1r
37924157 | Association | Rhabdomyosarcoma | Ifng
37924157 | Association | Cd276 | Nr1i3
37924157 | Association | Rhabdomyosarcoma | Fgfr4
37924157 | Association | Cd28 | CD276
37924157 | Association | Rhabdomyosarcoma | Cd276
37924157 | Positive_Correlation | Gzmb | CXADRP1
37924157 | Negative_Correlation | Hematologic Neoplasms | Nr1i3
37924157 | Association | Nr1i3 | FGFR4
37924157 | Association | Rhabdomyosarcoma | Cd28
37924157 | Association | Immunoglobulin G4-Related Disease | Cd276
37924157 | Association | Rhabdomyosarcoma | CXADRP1
37924157 | Association | Neoplasms | Fgfr4
37924157 | Association | Nr1i3 | Cd28
37924157 | Association | FGFR4 | CXADRP1
37924157 | Positive_Correlation | Ifng | CXADRP1
37924157 | Association | Immunoglobulin G4-Related Disease | Nr1i3
37924157 | Association | Rhabdomyosarcoma | FGFR4
37924157 | Association | Rhabdomyosarcoma | Nr1i3
37924157 | Association | Rhabdomyosarcoma | CD8A
37924157 | Positive_Correlation | Rhabdomyosarcoma | CD276
37924157 | Association | Cd28 | FGFR4
38198970 | Positive_Correlation | Lipopolysaccharides | Ccl3
38198970 | Positive_Correlation | Lipopolysaccharides | Chemical and Drug Induced Liver Injury
38198970 | Positive_Correlation | Lipopolysaccharides | Bax
38198970 | Association | Fibrosis | Pla2g6
38198970 | Positive_Correlation | Eosinophilic Granuloma | Cd8a
38198970 | Association | Eosinophilic Granuloma | Pla2g6
38198970 | Association | Splenomegaly | Pla2g6
38198970 | Positive_Correlation | Lipopolysaccharides | Il10
38198970 | Association | Autoimmune Diseases | Ccl3
38198970 | Association | Inflammation | Pla2g6
38198970 | Association | Fatty Liver | Pla2g6
38198970 | Positive_Correlation | Lipopolysaccharides | Acta2
38198970 | Positive_Correlation | Lipopolysaccharides | Fibrosis
38198970 | Positive_Correlation | Lipopolysaccharides | Parp1
38198970 | Association | Crp | Pla2g6
38198970 | Association | Liver Diseases | Pla2g6
38198970 | Positive_Correlation | Lipopolysaccharides | Hepatitis Autoimmune
38198970 | Association | Lipopolysaccharides | Pla2g6
38198970 | Association | Hepatitis Autoimmune | Pla2g6
38198970 | Association | Sepsis | PLA2G6
38198970 | Positive_Correlation | Lipopolysaccharides | Mcpt1
38198970 | Association | Bacterial Infections | PLA2G6
38198970 | Association | Eosinophilic Granuloma | Cd68
38198970 | Association | Autoimmune Diseases | Pla2g6
38198970 | Association | Inflammation | Ccl3
38198970 | Positive_Correlation | Lipopolysaccharides | Cxcl1
38198970 | Positive_Correlation | Lipopolysaccharides | Eosinophilic Granuloma
38198970 | Association | Massive Hepatic Necrosis | Pla2g6
38198970 | Association | Liver Diseases | Ccl3
38198970 | Association | Ccl3 | Pla2g6
38198970 | Association | Sepsis | Pla2g6
38198970 | Association | Fibrosis | Acta2
38198970 | Positive_Correlation | Lipopolysaccharides | Liver Diseases
38283796 | Positive_Correlation | monobenzone | Vitiligo
38283796 | Negative_Correlation | nuezhenide | MIF
38283796 | Association | monobenzone | 8-Hydroxy-2'-Deoxyguanosine
38283796 | Association | monobenzone | Mif
38283796 | Negative_Correlation | monobenzone | nuezhenide
38348045 | Association | HLA-C | CD74
38348045 | Association | Endotoxemia | PLAT
38348045 | Association | ICAM1 | PLAT
38348045 | Association | Endotoxemia | ICAM1
38348045 | Association | CD8A | CD74
38348045 | Association | Acute Lung Injury | PLAT
38351322 | Association | Cd8a | Siglech
38351322 | Association | Cdk1 | Siglech
38395884 | Association | Colorectal Neoplasms | Pdcd1
38395884 | Association | Neoplasms | Pdcd1
38395884 | Association | Colorectal Neoplasms | Kdr
38475814 | Negative_Correlation | Precursor Cell Lymphoblastic Leukemia-Lymphoma | CXADRP1
38475814 | Positive_Correlation | Cd19 | IFNG
38475814 | Positive_Correlation | IFNG | KRT20
38475814 | Association | Ms4a1 | CXADRP1
38475814 | Positive_Correlation | Cd19 | IL15
38475814 | Negative_Correlation | CXADRP1 | CD19
38475814 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | Cd19
38475814 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | KRT20
38605414 | Association | Chitin | Chil3
38605414 | Association | Chitin | Chil1
38605414 | Association | Chil3 | Stat3
38605414 | Association | Chitin | Stat3
38605414 | Negative_Correlation | Chitin | Neoplasms
38605414 | Association | Neoplasms | Chil1
38605414 | Association | Neoplasms | Hapln1
38605414 | Association | Neoplasms | Stat3
38605414 | Association | Neoplasms | Chil3
38605414 | Negative_Correlation | Chitin | Triple Negative Breast Neoplasms
3115247 | Association | N-Acetylneuraminic Acid | C1QBP
9348308 | Negative_Correlation | benzyloxycarbonyl-valyl-alanyl-aspartyl-fluoromethane | Parp1
9348308 | Association | C1qbp | Casp3
9348308 | Association | HLA-C | TRBV20OR9-2
9348308 | Positive_Correlation | Dexamethasone | Casp3
24921432 | Association | Lipopolysaccharides | G6pc
24921432 | Positive_Correlation | Lipopolysaccharides | Cd8a
24921432 | Positive_Correlation | Lipopolysaccharides | Cd14
24921432 | Positive_Correlation | Lipopolysaccharides | Periodontitis
24921432 | Positive_Correlation | Lipopolysaccharides | Icam1
25013909 | Association | Neoplasms | Cd4
25013909 | Association | Neoplasms | Cd40lg
25013909 | Association | Neoplasms | Csf2
25013909 | Association | Neoplasms | Cd8a
25013909 | Association | Neoplasms | Itgax
28455608 | Positive_Correlation | Arthritis Experimental | Itgam
28455608 | Positive_Correlation | Arthritis Experimental | Itga4
28455608 | Association | Inflammation | Itgam
28455608 | Association | Inflammation | Itga4
28587645 | Association | Infections | HSPA1A
28587645 | Association | Mastitis | FOS
28587645 | Positive_Correlation | Infections | FOS
28587645 | Association | Mastitis | TNF
28587645 | Association | Infections | IL18
28587645 | Association | Infections | CXCL8
28587645 | Positive_Correlation | Infections | TNF
28670908 | Association | Rotavirus Infections | Cd8a
28670908 | Positive_Correlation | Rotavirus Infections | Itgax
28670908 | Association | Rotavirus Infections | Il10
28670908 | Positive_Correlation | Rotavirus Infections | Itgam
28670908 | Association | Rotavirus Infections | Il6
30038050 | Association | Osteosarcoma | HLA-DQA1
30038050 | Association | Osteosarcoma | HLA-DQB1
30038050 | Association | Osteosarcoma | HLA-A
30038050 | Association | Neoplasms | HLA-A
31646061 | Negative_Correlation | Indomethacin | Neoplasms
31646061 | Association | Neoplasms | LAG3
31646061 | Association | Neoplasms | CCL5
31646061 | Association | Uveal melanoma | CTLA4
31646061 | Association | Neoplasms | HLA-E
31646061 | Association | Neoplasms | CCL4
31646061 | Association | Neoplasms | CTLA4
31646061 | Association | Neoplasms | IFNG
31646061 | Association | Uveal melanoma | CD8A
31646061 | Association | Neoplasms | CD8A
31646061 | Association | Neoplasms | CCL20
31646061 | Association | Neoplasms | TGFB1
31646061 | Association | Neoplasms | FOXP3
32816604 | Association | Respiratory Syncytial Virus Infections | Atg5
32816604 | Positive_Correlation | Atg5 | Rps6kb1
32816604 | Positive_Correlation | Atg5 | Cd8a
32816604 | Association | Akt1 | Rps6kb1
32816604 | Association | Akt1 | Mtor
32816604 | Association | Atg5 | ORC1
32816604 | Association | Atg5 | MAP1LC3B
32816604 | Association | Mtor | Rps6kb1
32816604 | Positive_Correlation | Akt1 | Atg5
32816604 | Association | Atg5 | RPS6KB1
32816604 | Positive_Correlation | Atg5 | Mtor
34011522 | Positive_Correlation | Hypophysitis | IL17A
34011522 | Positive_Correlation | Hypophysitis | CD4
34011522 | Negative_Correlation | Hypophysitis | TGFB1
34011522 | Negative_Correlation | IL17A | TGFB1
34523824 | Association | Weight Loss | GRXCR1
34523824 | Association | Pulmonary Disease Chronic Obstructive | rs35368512
34523824 | Association | Pulmonary Disease Chronic Obstructive | GRXCR1
34523824 | Association | Weight Loss | BAIAP2
34523824 | Association | Weight Loss | EFNA2
34523824 | Association | Pulmonary Disease Chronic Obstructive | BAIAP2
34523824 | Positive_Correlation | Weight Loss | rs35368512
34523824 | Association | Pulmonary Disease Chronic Obstructive | EFNA2
34613801 | Association | ITGAM | TLR4
34613801 | Association | TLR4 | CD4
34613801 | Association | Cd8a | Tlr4
34613801 | Association | Itgam | Tlr4
34613801 | Association | Cdk1 | Tlr4
34630435 | Association | Inflammation | Cblb
34630435 | Association | Flt3 | Mtor
34630435 | Association | Fibrosis | Cbl
34630435 | Positive_Correlation | Cbl | Mtor
34630435 | Association | Inflammation | Mtor
34630435 | Positive_Correlation | Cblb | Mtor
34630435 | Association | Inflammation | Flt3
34630435 | Association | Inflammation | Cbl
34630435 | Positive_Correlation | Cbl | Flt3
34630435 | Association | Fibrosis | Cblb
34630435 | Positive_Correlation | Flt3 | Cblb
35720391 | Association | Inflammation | Ifng
35720391 | Association | Graft vs Host Disease | Ifng
35720391 | Negative_Correlation | Polyethylene Glycols | Reactive Oxygen Species
35720391 | Negative_Correlation | Polyethylene Glycols | Inflammation
35720391 | Positive_Correlation | Reactive Oxygen Species | Inflammation
36276947 | Association | IL1R2 | CD8A
36276947 | Association | CD3G | CD8A
36276947 | Association | PRKCQ | CD8A
36276947 | Association | Lymphoma Large B-Cell Diffuse | B2M
36276947 | Association | Lymphoma Large B-Cell Diffuse | EZH2
36276947 | Association | Lymphoma Large B-Cell Diffuse | PDCD1
36276947 | Association | Neoplasms | CD8A
36276947 | Association | CD3E | CD8A
36276947 | Association | Lymphoma Large B-Cell Diffuse | CD8A
36276947 | Association | CXCR6 | CD8A
37575977 | Negative_Correlation | Shock Septic | CD8A
37575977 | Association | Shock Septic | HLA-DRA
37575977 | Association | Shock Septic | CD4
37575977 | Negative_Correlation | Shock Septic | CD247
37575977 | Association | Shock Septic | LCK
37575977 | Negative_Correlation | Shock Septic | CD3G
38324114 | Association | Aortic Dissection | CLEC4D
38324114 | Negative_Correlation | LILRB4 | Tagln
38324114 | Association | Aortic Dissection | Ccl7
38324114 | Positive_Correlation | LILRB4 | Mmp2
38324114 | Association | Aortic Dissection | MSR1
38324114 | Positive_Correlation | LILRB4 | CCN2
38324114 | Negative_Correlation | LILRB4 | ACTA1
38324114 | Positive_Correlation | Aortic Dissection | Tnf
38324114 | Association | Aortic Dissection | LILRB4
38324114 | Positive_Correlation | Aortic Dissection | Il1b
38324114 | Positive_Correlation | Aortic Dissection | Il6
38324114 | Association | Aortic Dissection | Cxcl15
38324114 | Positive_Correlation | Aminopropionitrile | Aortic Dissection
38335276 | Association | Neoplasm Metastasis | Tnfrsf12a
38335276 | Negative_Correlation | Lipids | Neoplasm Metastasis
38335276 | Association | Neoplasms | TNFRSF12A
38335276 | Association | CD163L1 | CCL4
38335276 | Negative_Correlation | Lipids | Tnfrsf12a
38335276 | Association | CCR5 | CCL4
38335276 | Association | Colorectal Neoplasms | TNFSF12
38335276 | Bind | TNFRSF12A | TNFSF12
38432392 | Association | Fluoxetine | Stub1
38432392 | Association | Soft Tissue Injuries | Ccr5
38432392 | Association | Fluoxetine | Mtor
38432392 | Negative_Correlation | Fluoxetine | Meningism
38432392 | Association | Meningism | Ccr5
38432392 | Negative_Correlation | Fluoxetine | Soft Tissue Injuries
38432392 | Association | Ccr5 | Stub1
38432392 | Negative_Correlation | Fluoxetine | Ccr5
38436231 | Positive_Correlation | Aluminum | Neuroinflammatory Diseases
38436231 | Association | Nfkb1 | Tlr4
38436231 | Association | Metals | Neuroinflammatory Diseases
38436231 | Association | Metals | limbic-predominant age-related TDP-43 encephalopathy
38436231 | Association | Neuroinflammatory Diseases | Ccr5
38436231 | Positive_Correlation | Manganese | Ccr5
38436231 | Association | limbic-predominant age-related TDP-43 encephalopathy | Ccr5
38436231 | Association | Nervous System Diseases | Ccr5
38436231 | Positive_Correlation | Manganese | Neuroinflammatory Diseases
38436231 | Positive_Correlation | App | Ccr5
38436231 | Association | Neurodegenerative Diseases | Ccr5
38436231 | Positive_Correlation | Ccr5 | Nfkb1
38436231 | Association | limbic-predominant age-related TDP-43 encephalopathy | App
38436231 | Positive_Correlation | Aluminum | Ccr5
38436231 | Positive_Correlation | Ccr5 | Tlr4
38436231 | Association | Metals | Ccr5
38436231 | Association | Neuroinflammatory Diseases | Nfkb1
38436231 | Association | Inflammation | Ccr5
38459557 | Association | Tauopathies | Tyrobp
38459557 | Association | Peripheral Nerve Injuries | Tyrobp
38459557 | Association | Inflammation | C1QA
38459557 | Association | Huntington Disease | Tyrobp
38459557 | Association | Gliosis | Tyrobp
38459557 | Association | Neurologic Manifestations | Tyrobp
38459557 | Association | Peripheral Nerve Injuries | TYROBP
38459557 | Association | Alzheimer Disease | Tyrobp
38459557 | Association | Neurodegenerative Diseases | CCR5
38459557 | Association | Huntington Disease | TYROBP
38497114 | Association | Obesity | Ccl5
38497114 | Bind | Ccr5 | Ccl5
38497114 | Negative_Correlation | Maraviroc | Ccr5
38497114 | Negative_Correlation | Maraviroc | Ccl5
38537684 | Association | Liver Failure | Cx3cr1
38537684 | Association | Reperfusion Injury | Cx3cr1
38537684 | Negative_Correlation | Ccr5 | Cx3cr1
38537684 | Association | Wounds and Injuries | Cx3cr1
38537684 | Negative_Correlation | Ccr1 | Cx3cr1
38537684 | Association | Liver Failure | Mertk
38537684 | Negative_Correlation | Cx3cr1 | Mertk
38537684 | Negative_Correlation | AZD8797 | Cx3cr1
38623335 | Association | Zymosan | Granulomatous Disease Chronic
38623335 | Association | Granulomatous Disease Chronic | ITGAM
38627586 | Negative_Correlation | Azacitidine | Leukemia Myeloid Acute
38627586 | Association | Leukemia Myeloid Acute | CD8A
38627586 | Negative_Correlation | Azacitidine | TRDMT1
38627586 | Positive_Correlation | Azacitidine | Inflammation
38627586 | Negative_Correlation | Azacitidine | Testicular Neoplasms
38627815 | Association | Colorectal Neoplasms | ATG7
38627815 | Association | Reactive Oxygen Species | NFKB1
38627815 | Negative_Correlation | Reactive Oxygen Species | ATG7
38627815 | Association | Colorectal Neoplasms | PDCD1
38627815 | Positive_Correlation | ATG7 | PDCD1
38627815 | Association | Reactive Oxygen Species | Neoplasms
38627815 | Association | Microsatellite Instability | ATG7
38627815 | Negative_Correlation | ATG7 | CD8A
38627815 | Positive_Correlation | ATG7 | HMGCR
38627815 | Positive_Correlation | ATG7 | NFKB1
38627815 | Association | Colorectal Neoplasms | HMGCR
38627815 | Association | Neoplasms | NFKB1
38627815 | Association | Neoplasms | ATG7
38627815 | Association | Turcot syndrome | ATG7
38627815 | Positive_Correlation | Cholesterol | ATG7
38631714 | Positive_Correlation | Poly I-C | IFNA1
38631714 | Positive_Correlation | Poly I-C | CXCL10
38631714 | Positive_Correlation | Poly I-C | CCL3
38631714 | Positive_Correlation | Poly I-C | CCL5
38631714 | Negative_Correlation | Poly I-C | Neoplasms
38631714 | Positive_Correlation | Poly I-C | TNF
38636332 | Association | Neoplasms | HLA-C
38636332 | Association | TRBV20OR9-2 | CD8A
38646638 | Negative_Correlation | Lenalidomide | Hematologic Neoplasms
38646638 | Negative_Correlation | Lenalidomide | Acrospiroma
38646638 | Negative_Correlation | Lenalidomide | Neoplasms
1394850 | Negative_Correlation | phenethyl isothiocyanate | Nitrosamines
1394850 | Negative_Correlation | Nitrosamines | Vitamin A
1394850 | Negative_Correlation | Nitrosamines | Oleic Acid
1394850 | Negative_Correlation | Nitrosamines | Triolein
2013122 | Negative_Correlation | imidazole | N-Nitrosopyrrolidine
2013122 | Positive_Correlation | N-Nitrosopyrrolidine | Precancerous Conditions
2013122 | Association | Guanine | N-Nitrosopyrrolidine
2013122 | Negative_Correlation | Disulfiram | N-Nitrosopyrrolidine
2736720 | Positive_Correlation | C-1 N-PDGU | N-Nitrosopyrrolidine
2736720 | Association | Phosphorus-32 | 1 N(2)-propanodeoxyguanosine
2736720 | Positive_Correlation | 2-butenal | C-1 N-PDGU
2736720 | Positive_Correlation | alpha-acetoxy-N-nitrosopyrrolidine | C-1 N-PDGU
3180033 | Positive_Correlation | N-Nitrosopyrrolidine | Cell Transformation Neoplastic
3180033 | Positive_Correlation | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | Lung Neoplasms
3180033 | Positive_Correlation | N'-nitrosonornicotine | Cell Transformation Neoplastic
3180033 | Positive_Correlation | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | Cell Transformation Neoplastic
3180033 | Positive_Correlation | N-Nitrosopyrrolidine | Lung Neoplasms
3383193 | Association | Ethanol | N-Nitrosopyrrolidine
3383193 | Association | N-Nitrosopyrrolidine | LOC100328948
3679422 | Positive_Correlation | N'-nitrosonornicotine | Oropharyngeal Neoplasms
3679422 | Positive_Correlation | N-Nitrosopyrrolidine | Oropharyngeal Neoplasms
8313517 | Negative_Correlation | Ethanol | N-Nitrosopyrrolidine
8313517 | Negative_Correlation | Acetone | Nitrosamines
8313517 | Negative_Correlation | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | Ethanol
8313517 | Negative_Correlation | N'-nitrosonornicotine | Ethanol
8688157 | Association | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | Tritium
8688157 | Positive_Correlation | N'-nitrosonornicotine | Carcinogenesis
8688157 | Positive_Correlation | Dimethylnitrosamine | Carcinogenesis
8688157 | Positive_Correlation | 4-(methylnitrosamino)-1-(3-pyridyl)-1-butan-1-ol | Carcinogenesis
8688157 | Association | Carbon-14 | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone
8688157 | Positive_Correlation | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | Carcinogenesis
15651850 | Positive_Correlation | N-Nitrosopyrrolidine | Liver Neoplasms
15651850 | Positive_Correlation | Nitrosamines | Neoplasms
15651850 | Positive_Correlation | N-nitrosopiperidine | Lung Diseases
15651850 | Positive_Correlation | N'-nitrosonornicotine | Lung Diseases
15651850 | Positive_Correlation | N-Nitrosopyrrolidine | Neoplasms
21468772 | Association | Atherosclerosis | NPY
21468772 | Association | Atherosclerosis | Dpp4
21468772 | Positive_Correlation | Neovascularization Pathologic | Npy
21468772 | Association | DPP4 | PECAM1
21468772 | Association | Necrosis | Npy
21468772 | Association | Peripheral Arterial Disease | NPY1R
21468772 | Positive_Correlation | Peripheral Arterial Disease | NPY
22059948 | Positive_Correlation | N-Nitrosopyrrolidine | Neoplasms
22059948 | Association | Ascorbic Acid | Neoplasms
