31679624 | @GENE_CLCN3 | Clcn3 | 0 | 5 | Gene | gene | ClC-3
32581241 | @GENE_BCR | BCR | 248 | 8 | Gene | gene | BCR-ABL1
32581241 | @GENE_IL7R | IL7R | 277 | 22 | Gene | gene | interleukin 7 receptor
32581241 | @GENE_IL7R | IL7R | 301 | 4 | Gene | gene | IL7R
32581241 | @GENE_CXCR4 | CXCR4 | 326 | 18 | Gene | gene | chemokine receptor
32581241 | @GENE_CXCR4 | CXCR4 | 345 | 5 | Gene | gene | CXCR4
32581241 | @GENE_BCR | BCR | 362 | 8 | Gene | gene | BCR-ABL1
32581241 | @GENE_BCR | BCR | 422 | 8 | Gene | gene | BCR-ABL1
32581241 | @GENE_IL7R | IL7R | 483 | 4 | Gene | gene | IL7R
32581241 | @GENE_IL7 | IL7 | 541 | 3 | Gene | gene | IL7
32581241 | @GENE_IL7R | IL7R | 625 | 4 | Gene | gene | IL7R
32581241 | @DISEASE_Leukemia | Leukemia | 650 | 8 | Disease | disease | leukemia
32581241 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 723 | 7 | Disease | disease | Ph+ ALL
32581241 | @GENE_IL7R | IL7R | 787 | 4 | Gene | gene | IL7R
32581241 | @GENE_CXCR4 | CXCR4 | 796 | 5 | Gene | gene | CXCR4
32581241 | @GENE_BCR | BCR | 835 | 8 | Gene | gene | BCR-ABL1
32581241 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 886 | 7 | Disease | disease | Ph+ ALL
32581241 | @GENE_IL7R | IL7R | 929 | 4 | Gene | gene | IL7R
32581241 | @DISEASE_Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma | Precursor Cell Lymphoblastic Leukemia-Lymphoma | 954 | 7 | Disease | disease | Ph+ ALL
32581241 | @GENE_IL7R | IL7R | 1052 | 4 | Gene | gene | IL7R
32581241 | @DISEASE_Leukemia | Leukemia | 1171 | 8 | Disease | disease | leukemia
32801035 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 32 | 17 | Disease | disease | Spondyloarthritis
32801035 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 72 | 17 | Disease | disease | Spondyloarthritis
32801035 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 91 | 3 | Disease | disease | SpA
32801035 | @DISEASE_Chronic_Disease | Chronic Disease | 125 | 29 | Disease | disease | inflammatory chronic diseases
32801035 | @GENE_HLA_B | HLA-B | 481 | 7 | Gene | gene | HLA-B27
32801035 | @DISEASE_Axial_osteomalacia | Axial osteomalacia | 526 | 17 | Disease | disease | axial involvement
32801035 | @GENE_CD8A | CD8A | 666 | 3 | Gene | gene | CD8
32801035 | @DISEASE_Inflammation | Inflammation | 743 | 12 | Disease | disease | inflammatory
32801035 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 990 | 3 | Disease | disease | SpA
32801035 | @GENE_IL23A | IL23A | 1023 | 5 | Gene | gene | IL-23
32801035 | @GENE_IL17A | IL17A | 1033 | 5 | Gene | gene | IL-17
32801035 | @GENE_IL17A | IL17A | 1165 | 5 | Gene | gene | IL-17
32801035 | @DISEASE_Inflammation | Inflammation | 1238 | 21 | Disease | disease | synovial inflammation
32801035 | @DISEASE_Liver_Cirrhosis_Biliary | Liver Cirrhosis Biliary | 1264 | 17 | Disease | disease | joint destruction
32801035 | @GENE_IL17A | IL17A | 1327 | 5 | Gene | gene | IL-17
32801035 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 1429 | 3 | Disease | disease | SpA
32801035 | @GENE_TNF | TNF | 1482 | 3 | Gene | gene | TNF
32885389 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 13 | 26 | Disease | disease | Juvenile Spondyloarthritis
32885389 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 57 | 26 | Disease | disease | Juvenile spondyloarthritis
32885389 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 99 | 29 | Disease | disease | juvenile idiopathic arthritis
32885389 | @DISEASE_Arthritis_Juvenile | Arthritis Juvenile | 130 | 3 | Disease | disease | JIA
32885389 | @GENE_HLA_B | HLA-B | 210 | 34 | Gene | gene | human leukocyte antigen (HLA) B-27
32885389 | @DISEASE_Axial_osteomalacia | Axial osteomalacia | 308 | 17 | Disease | disease | axial involvement
32885389 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 350 | 22 | Disease | disease | ankylosing spondylitis
32885389 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 561 | 17 | Disease | disease | spondyloarthritis
32885389 | @GENE_IL17A | IL17A | 691 | 14 | Gene | gene | interleukin-17
32885389 | @GENE_IL17A | IL17A | 707 | 5 | Gene | gene | IL-17
32885389 | @GENE_IL23A | IL23A | 718 | 5 | Gene | gene | IL-23
32885389 | @GENE_PDE4A | PDE4A | 762 | 25 | Gene | gene | phosphodiesterase (PDE)-4
32885389 | @GENE_IL17A | IL17A | 853 | 5 | Gene | gene | IL-17
32885389 | @GENE_IL23A | IL23A | 872 | 5 | Gene | gene | IL-23
32885389 | @DISEASE_Inflammatory_Bowel_Diseases | Inflammatory Bowel Diseases | 1002 | 35 | Disease | disease | inflammatory bowel and skin disease
32885389 | @GENE_PDE4A | PDE4A | 1052 | 5 | Gene | gene | PDE-4
32885389 | @GENE_IL6 | IL6 | 1152 | 4 | Gene | gene | IL-6
34957697 | @GENE_FASLG | FASLG | 0 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 6 | 5 | Gene | gene | PD-L2
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 81 | 14 | Disease | disease | Gastric Cancer
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 192 | 14 | Disease | disease | gastric cancer
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 208 | 2 | Disease | disease | GC
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 272 | 2 | Disease | disease | GC
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 336 | 2 | Disease | disease | GC
34957697 | @DISEASE_Neoplasms | Neoplasms | 392 | 6 | Disease | disease | tumors
34957697 | @GENE_CXCL12 | CXCL12 | 420 | 6 | Gene | gene | CXCL12
34957697 | @GENE_CXCR4 | CXCR4 | 427 | 5 | Gene | gene | CXCR4
34957697 | @DISEASE_Neoplasms | Neoplasms | 451 | 5 | Disease | disease | tumor
34957697 | @GENE_FASLG | FASLG | 529 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 538 | 5 | Gene | gene | PD-L2
34957697 | @GENE_FASLG | FASLG | 554 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 560 | 5 | Gene | gene | PD-L2
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 665 | 2 | Disease | disease | GC
34957697 | @DISEASE_Neoplasms | Neoplasms | 704 | 5 | Disease | disease | Tumor
34957697 | @GENE_FASLG | FASLG | 741 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 750 | 5 | Gene | gene | PD-L2
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 800 | 9 | Disease | disease | GC tumors
34957697 | @GENE_IL17A | IL17A | 896 | 6 | Gene | gene | IL-17A
34957697 | @DISEASE_Neoplasms | Neoplasms | 907 | 5 | Disease | disease | tumor
34957697 | @GENE_CSF3 | CSF3 | 926 | 5 | Gene | gene | G-CSF
34957697 | @GENE_FASLG | FASLG | 968 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 977 | 5 | Gene | gene | PD-L2
34957697 | @GENE_MAPK1 | MAPK1 | 1009 | 3 | Gene | gene | ERK
34957697 | @GENE_NFKB1 | NFKB1 | 1013 | 9 | Gene | gene | NF-kappaB
34957697 | @GENE_STAT3 | STAT3 | 1031 | 5 | Gene | gene | STAT3
34957697 | @GENE_FASLG | FASLG | 1104 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 1113 | 5 | Gene | gene | PD-L2
34957697 | @DISEASE_Neoplasms | Neoplasms | 1171 | 5 | Disease | disease | tumor
34957697 | @GENE_CD8A | CD8A | 1186 | 3 | Gene | gene | CD8
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 1247 | 9 | Disease | disease | GC tumors
34957697 | @GENE_FASLG | FASLG | 1313 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 1322 | 5 | Gene | gene | PD-L2
34957697 | @GENE_FASLG | FASLG | 1399 | 4 | Gene | gene | FasL
34957697 | @GENE_PDCD1LG2 | PDCD1LG2 | 1405 | 5 | Gene | gene | PD-L2
34957697 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 1433 | 2 | Disease | disease | GC
34957697 | @DISEASE_Neoplasms | Neoplasms | 1472 | 6 | Disease | disease | cancer
34957697 | @DISEASE_Neoplasms | Neoplasms | 1506 | 6 | Disease | disease | cancer
35391709 | @DISEASE_Prehypertension | Prehypertension | 31 | 15 | Disease | disease | Prehypertension
35391709 | @DISEASE_Prehypertension | Prehypertension | 180 | 15 | Disease | disease | prehypertension
35391709 | @GENE_CXCR4 | CXCR4 | 593 | 5 | Gene | gene | CXCR4
35391709 | @GENE_CXCL12 | CXCL12 | 694 | 5 | Gene | gene | SDF-1
35391709 | @GENE_CXCR4 | CXCR4 | 727 | 5 | Gene | gene | CXCR4
35391709 | @GENE_CXCR4 | CXCR4 | 794 | 5 | Gene | gene | CXCR4
35391709 | @GENE_CXCR4 | CXCR4 | 825 | 5 | Gene | gene | CXCR4
35391709 | @GENE_CXCL12 | CXCL12 | 865 | 5 | Gene | gene | SDF-1
35391709 | @GENE_CXCR4 | CXCR4 | 871 | 5 | Gene | gene | CXCR4
35391709 | @GENE_JAK2 | JAK2 | 887 | 5 | Gene | gene | JAK-2
35391709 | @GENE_CXCR4 | CXCR4 | 934 | 5 | Gene | gene | CXCR4
35391709 | @GENE_JAK2 | JAK2 | 953 | 5 | Gene | gene | JAK-2
35391709 | @GENE_CXCR4 | CXCR4 | 1229 | 5 | Gene | gene | CXCR4
35391709 | @GENE_JAK2 | JAK2 | 1244 | 5 | Gene | gene | JAK-2
35391709 | @DISEASE_Prehypertension | Prehypertension | 1324 | 15 | Disease | disease | prehypertension
36311731 | @DISEASE_Neoplasms | Neoplasms | 52 | 5 | Disease | disease | tumor
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 78 | 14 | Disease | disease | uveal melanoma
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 106 | 14 | Disease | disease | Uveal melanoma
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 122 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Melanoma_Malignant_Familial_Intraocular | Melanoma Malignant Familial Intraocular | 154 | 22 | Disease | disease | intraocular malignancy
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 335 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Neoplasms | Neoplasms | 595 | 5 | Disease | disease | tumor
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 628 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 745 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 750 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 1013 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Neoplasms | Neoplasms | 1226 | 5 | Disease | disease | tumor
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 1324 | 3 | Disease | disease | UVM
36311731 | @GENE_HLA_C | HLA-C | 1574 | 5 | Gene | gene | HLA-C
36311731 | @GENE_CD8A | CD8A | 1580 | 5 | Gene | gene | CD8A.
36311731 | @GENE_CABP4 | CABP4 | 1586 | 5 | Gene | gene | CABP4
36311731 | @GENE_KCNJ10 | KCNJ10 | 1593 | 6 | Gene | gene | KCNJ10
36311731 | @GENE_RORB | RORB | 1604 | 4 | Gene | gene | RORB
36311731 | @GENE_HLA_C | HLA-C | 1644 | 5 | Gene | gene | HLA-C
36311731 | @GENE_CD8A | CD8A | 1650 | 4 | Gene | gene | CD8A
36311731 | @GENE_CABP4 | CABP4 | 1732 | 5 | Gene | gene | CABP4
36311731 | @GENE_RORB | RORB | 1742 | 4 | Gene | gene | RORB
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 1846 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Neoplasms | Neoplasms | 1900 | 5 | Disease | disease | tumor
36311731 | @GENE_CABP4 | CABP4 | 1931 | 5 | Gene | gene | CABP4
36311731 | @GENE_RORB | RORB | 1941 | 4 | Gene | gene | RORB
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 1993 | 3 | Disease | disease | UVM
36311731 | @DISEASE_Uveal_melanoma | Uveal melanoma | 2145 | 3 | Disease | disease | UVM
36738160 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 46 | 18 | Disease | disease | glomerulonephritis
36738160 | @DISEASE_Kidney_Diseases | Kidney Diseases | 152 | 13 | Disease | disease | Kidney injury
36738160 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 205 | 18 | Disease | disease | glomerulonephritis
36738160 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 225 | 4 | Disease | disease | CrGN
36738160 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 401 | 4 | Disease | disease | CrGN
36738160 | @DISEASE_Air_crescent_sign | Air crescent sign | 535 | 8 | Disease | disease | crescent
36738160 | @DISEASE_Air_crescent_sign | Air crescent sign | 716 | 8 | Disease | disease | crescent
36738160 | @GENE_F2 | F2 | 957 | 8 | Gene | gene | thrombin
36738160 | @DISEASE_Kidney_Diseases | Kidney Diseases | 1145 | 28 | Disease | disease | glomerular crescentic injury
36738160 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 1238 | 4 | Disease | disease | CrGN
36738160 | @DISEASE_Air_crescent_sign | Air crescent sign | 1268 | 8 | Disease | disease | crescent
36738160 | @GENE_F2 | F2 | 1460 | 8 | Gene | gene | thrombin
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 65 | 15 | Chemical | chemical | Deucravacitinib
37513344 | @DISEASE_Psoriasis | Psoriasis | 153 | 16 | Disease | disease | Plaque psoriasis
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 352 | 15 | Chemical | chemical | Deucravacitinib
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 369 | 3 | Chemical | chemical | DEU
37513344 | @DISEASE_Psoriasis | Psoriasis | 428 | 16 | Disease | disease | plaque psoriasis
37513344 | @DISEASE_Skin_Diseases | Skin Diseases | 456 | 14 | Disease | disease | skin condition
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 515 | 3 | Chemical | chemical | DEU
37513344 | @DISEASE_Inflammation | Inflammation | 653 | 12 | Disease | disease | inflammation
37513344 | @DISEASE_Psoriasis | Psoriasis | 702 | 9 | Disease | disease | psoriasis
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 874 | 3 | Chemical | chemical | DEU
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 942 | 3 | Chemical | chemical | DEU
37513344 | @CHEMICAL_Trimethoprim | Trimethoprim | 981 | 12 | Chemical | chemical | trimethoprim
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 1042 | 3 | Chemical | chemical | DEU
37513344 | @CHEMICAL_Methanol | Methanol | 1267 | 8 | Chemical | chemical | methanol
37513344 | @CHEMICAL_formic_acid | formic acid | 1299 | 16 | Chemical | chemical | ammonium formate
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 1609 | 3 | Chemical | chemical | DEU
37513344 | @CHEMICAL_Trimethoprim | Trimethoprim | 1685 | 12 | Chemical | chemical | trimethoprim
37513344 | @CHEMICAL_deucravacitinib | deucravacitinib | 1777 | 3 | Chemical | chemical | DEU
37597651 | @GENE_CXADRP1 | CXADRP1 | 44 | 4 | Gene | gene | CAR-
37597651 | @GENE_CD276 | CD276 | 66 | 5 | Gene | gene | B7-H3
37597651 | @DISEASE_Hereditary_Breast_and_Ovarian_Cancer_Syndrome | Hereditary Breast and Ovarian Cancer Syndrome | 107 | 42 | Disease | disease | ovarian and triple-negative breast cancers
37597651 | @GENE_NR1I3 | NR1I3 | 178 | 3 | Gene | gene | CAR
37597651 | @DISEASE_Hematologic_Neoplasms | Hematologic Neoplasms | 232 | 23 | Disease | disease | hematological neoplasms
37597651 | @DISEASE_Neoplasms | Neoplasms | 275 | 5 | Disease | disease | tumor
37597651 | @GENE_NR1I3 | NR1I3 | 348 | 3 | Gene | gene | CAR
37597651 | @DISEASE_Neoplasms | Neoplasms | 391 | 12 | Disease | disease | solid tumors
37597651 | @GENE_NR1I3 | NR1I3 | 430 | 3 | Gene | gene | CAR
37597651 | @GENE_CD276 | CD276 | 451 | 5 | Gene | gene | B7-H3
37597651 | @GENE_STAT3 | STAT3 | 511 | 5 | Gene | gene | STAT3
37597651 | @GENE_STAT5A | STAT5A | 521 | 5 | Gene | gene | STAT5
37597651 | @GENE_CD276 | CD276 | 600 | 5 | Gene | gene | B7-H3
37597651 | @DISEASE_Neoplasms | Neoplasms | 609 | 5 | Disease | disease | tumor
37597651 | @GENE_NR1I3 | NR1I3 | 665 | 3 | Gene | gene | CAR
