31679624 | Association | Muscle Neoplasms | Clcn3
34957697 | Association | NFKB1 | MAPK1
34957697 | Association | Stomach Neoplasms | CXCR4
34957697 | Association | Neoplasms | FASLG
34957697 | Association | Neoplasms | CSF3
34957697 | Association | Stomach Neoplasms | PDCD1LG2
34957697 | Association | Stomach Neoplasms | CXCL12
34957697 | Association | Neoplasms | PDCD1LG2
34957697 | Positive_Correlation | CSF3 | PDCD1LG2
34957697 | Association | Neoplasms | STAT3
34957697 | Positive_Correlation | CSF3 | NFKB1
34957697 | Association | FASLG | NFKB1
35391709 | Association | Prehypertension | JAK2
35391709 | Association | JAK2 | CXCL12
35391709 | Association | JAK2 | CXCR4
35391709 | Association | Prehypertension | CXCR4
35391709 | Positive_Correlation | CXCL12 | CXCR4
36311731 | Association | Uveal melanoma | CABP4
36311731 | Association | HLA-C | KCNJ10
36311731 | Association | HLA-C | CABP4
36311731 | Association | RORB | CD8A
36311731 | Association | Uveal melanoma | CD8A
36311731 | Association | KCNJ10 | CD8A
36311731 | Association | Uveal melanoma | RORB
36311731 | Association | CABP4 | CD8A
36311731 | Association | HLA-C | CD8A
37513344 | Negative_Correlation | deucravacitinib | Inflammation
37513344 | Negative_Correlation | deucravacitinib | Psoriasis
37513344 | Negative_Correlation | deucravacitinib | Skin Diseases
37597651 | Association | Hereditary Breast and Ovarian Cancer Syndrome | CXADRP1
37597651 | Association | Neoplasms | CD276
37597651 | Association | Leukocyte adhesion deficiency type 1 | STAT3
37597651 | Association | STAT5A | NR1I3
37597651 | Association | CD276 | NR1I3
37597651 | Association | CXADRP1 | CD276
37597651 | Association | STAT3 | NR1I3
37597651 | Association | Neoplasms | NR1I3
37597651 | Association | Hereditary Breast and Ovarian Cancer Syndrome | CD276
37597651 | Association | Leukocyte adhesion deficiency type 1 | STAT5A
37641144 | Association | Autoimmune Diseases | JAK1
37641144 | Association | Neoplasms | JAK1
37641144 | Association | Inflammation | JAK1
37794185 | Association | Inflammation | PTPN1
37794185 | Association | Neoplasms | Pdcd1
37794185 | Association | Neoplasms | PTPN1
37794185 | Association | Neoplasms | PTPN2
37794185 | Association | Inflammation | PTPN2
37847297 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
37847297 | Negative_Correlation | tofacitinib | Dyspnea
37847297 | Negative_Correlation | tofacitinib | Inflammation
37847297 | Negative_Correlation | tofacitinib | Corneal Opacity
37847297 | Negative_Correlation | tofacitinib | Lung Diseases Interstitial
38030681 | Positive_Correlation | Ifng | Il6
38030681 | Association | Poly I-C | IFNG
38030681 | Positive_Correlation | Poly I-C | IL6
38030681 | Association | Inflammation | IL6
38030681 | Association | Inflammation | IFNG
38030681 | Association | Poly I-C | TLR3
38030681 | Association | COVID-19 | IL6
38030681 | Negative_Correlation | tofacitinib | Poly I-C
38030681 | Negative_Correlation | tofacitinib | TLR3
38030681 | Negative_Correlation | tofacitinib | IL6
38030681 | Association | IL6 | TLR3
38030681 | Negative_Correlation | tofacitinib | IFNG
38030681 | Positive_Correlation | IFNG | IL6
38030681 | Positive_Correlation | IFNG | TLR3
38071510 | Association | Infections | p.M41V
38071510 | Positive_Correlation | VEXAS syndrome | p.M41V
38084635 | Association | Endocrine System Diseases | STAT1
38084635 | Association | Autoimmune Diseases | STAT1
38084635 | Association | Virus Diseases | STAT1
38084635 | Association | Candidiasis Chronic Mucocutaneous | STAT1
38084635 | Association | Neoplasms | STAT1
38084635 | Association | Aneurysm | STAT1
38084635 | Association | Infections | STAT1
38129594 | Association | Arthritis Rheumatoid | CD4
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | FOXO3
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | RB1
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | ZNRF1
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | CXCR4
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | JAK2
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | CRLF2
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | ERG
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | NR3C1
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | CREBBP
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | NF1
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | ZAP70
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | TSLP
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | IKZF1
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | PAX5
38162155 | Association | Precursor B-Cell Lymphoblastic Leukemia-Lymphoma | EBF1
38182048 | Association | baricitinib | tocilizumab
38182048 | Association | baricitinib | Oxygen
38182048 | Association | sarilumab | tocilizumab
38182048 | Association | sarilumab | vilobelimab
38182048 | Negative_Correlation | tocilizumab | COVID-19
38182048 | Association | vilobelimab | COVID-19
38182048 | Association | vilobelimab | Oxygen
38182048 | Negative_Correlation | baricitinib | COVID-19
38182048 | Association | sarilumab | baricitinib
38182048 | Association | vilobelimab | tocilizumab
38182048 | Association | baricitinib | vilobelimab
38182048 | Association | tocilizumab | Oxygen
38182048 | Association | sarilumab | Oxygen
38236950 | Positive_Correlation | Triglycerides | Atherosclerosis
38236950 | Positive_Correlation | Cholesterol | Atherosclerosis
38236950 | Positive_Correlation | Cholesterol | Fatty Liver
38236950 | Positive_Correlation | Triglycerides | Fatty Liver
38304729 | Association | Inflammation | JAK1
38304729 | Association | Immune System Diseases | JAK1
38304729 | Association | Skin Diseases | JAK1
38310397 | Negative_Correlation | tofacitinib | Methotrexate
38310397 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
38441463 | Negative_Correlation | Rituximab | Rheumatic Fever
38568967 | Association | EIF2AK2 | ENDOU
38568967 | Negative_Correlation | ruxolitinib | IFNA1
38568967 | Positive_Correlation | Infections | EIF2AK2
38578007 | Positive_Correlation | Spondylitis Ankylosing | HLA-B
38578007 | Negative_Correlation | upadacitinib | Behcet Syndrome
38578007 | Negative_Correlation | upadacitinib | Spondylitis Ankylosing
38634132 | Positive_Correlation | Infections | Alb
38634132 | Association | Creatinine | Lcn2
38634132 | Positive_Correlation | Creatinine | Infections
9867857 | Association | Adenosine Triphosphate | IFNG
16051670 | Positive_Correlation | AR | ZMIZ2
16051670 | Association | Adenosine Triphosphate | BANF1
16051670 | Association | ZMIZ2 | BANF1
16051670 | Association | SMARCA4 | ZMIZ2
16051670 | Bind | ZMIZ1 | ZMIZ2
16051670 | Association | SMARCE1 | ZMIZ2
16051670 | Association | Adenosine Triphosphate | ZMIZ2
16777850 | Association | SMAD4 | TGFB1
16777850 | Association | ZMIZ1 | TGFB1
16777850 | Positive_Correlation | SMAD3 | ZMIZ1
16777850 | Association | SMAD3 | TGFB1
16777850 | Association | SMAD4 | ZMIZ1
20552027 | Association | HIV Infections | rs9264942
20552027 | Association | HIV Infections | HLA-C
20552027 | Association | HIV Infections | CCR2
20552027 | Association | HIV Infections | HLA-B
20552027 | Association | HIV Infections | CCR5
20566692 | Association | Ifng | Irf1
20566692 | Positive_Correlation | Ifng | Nos2
20566692 | Association | Ifng | Kpna1
21167753 | Positive_Correlation | Bcl2 | Zbtb17
21167753 | Positive_Correlation | Bcl2 | Cd19
21167753 | Association | Ebf1 | Zbtb17
21167753 | Negative_Correlation | Socs1 | Zbtb17
21167753 | Association | Bcl2 | Il7
21167753 | Association | Il7r | Zbtb17
21167753 | Association | Tcf3 | Zbtb17
22000024 | Positive_Correlation | ZBTB17 | SOCS1
22000024 | Association | Lymphoma | MYC
22000024 | Association | CDKN1A | ZBTB17
22000024 | Positive_Correlation | STAT5A | ZBTB17
22000024 | Bind | EP300 | ZBTB17
22000024 | Association | BCL6 | ZBTB17
22000024 | Association | MYC | ZBTB17
22000024 | Positive_Correlation | IL7 | ZBTB17
22000024 | Association | CDKN2B | ZBTB17
22000024 | Negative_Correlation | STAT5A | SOCS1
22000024 | Bind | NPM1 | ZBTB17
22000024 | Association | Lymphoma | ZBTB17
22000024 | Positive_Correlation | BCL2 | ZBTB17
23399412 | Association | HIV Infections | CCR5
23449802 | Association | benzyloxycarbonylleucyl-leucyl-leucine aldehyde | KPNA1
23449802 | Negative_Correlation | Infections | KPNA1
23630526 | Association | NRSN1 | CD8A
23630526 | Association | NRSN1 | CD4
23630526 | Association | HLA-C | KIR2DL4
24286865 | Association | Lif | Ptpn2
24286865 | Association | Socs3 | Stat3
24286865 | Positive_Correlation | Socs3 | Lif
24286865 | Negative_Correlation | Hydrogen Peroxide | Kpna4
24286865 | Negative_Correlation | Hydrogen Peroxide | Socs3
24286865 | Positive_Correlation | Lif | Stat3
24286865 | Association | Xpo1 | Stat3
24286865 | Association | Ptpn2 | Stat3
24286865 | Positive_Correlation | Il6 | Stat3
24286865 | Negative_Correlation | Hydrogen Peroxide | Ran
24286865 | Association | Hydrogen Peroxide | Ptpn2
24286865 | Positive_Correlation | Hydrogen Peroxide | Stat3
25119688 | Association | HIV Infections | KIR2DS1
25119688 | Association | Infections | KIR2DS1
26647083 | Association | IFNG | KIR2DL1
26692933 | Positive_Correlation | Decitabine | ULBP3
26692933 | Positive_Correlation | Decitabine | SOCS1
26692933 | Positive_Correlation | Decitabine | ULBP1
26692933 | Negative_Correlation | Decitabine | JAK2
26692933 | Association | Decitabine | Leukemia Myeloid Acute
26692933 | Negative_Correlation | Decitabine | JAK1
26692933 | Positive_Correlation | Decitabine | KLRK1
26692933 | Positive_Correlation | Decitabine | SOCS3
26692933 | Association | Leukemia Myeloid Acute | STAT3
26692933 | Association | Decitabine | STAT3
28525837 | Association | Enteritis | PIAS4
28525837 | Association | Enteritis | AKT3
28525837 | Association | Enteritis | TYK2
28525837 | Association | Enteritis | JAK3
28525837 | Association | Enteritis | PIAS1
28525837 | Association | Enteritis | JAK2
28525837 | Association | Enteritis | STAT4
28525837 | Association | Enteritis | STAT3
28525837 | Association | Enteritis | STAT6
28525837 | Association | Enteritis | STAT1
28525837 | Association | Enteritis | SOCS4
28525837 | Association | Enteritis | JAK1
28525837 | Association | Enteritis | SOCS2
28525837 | Association | Enteritis | STAT2
28525837 | Association | Enteritis | PIAS2
28525837 | Association | Enteritis | SOCS5
28525837 | Association | Enteritis | SOCS3
28525837 | Association | Enteritis | AKT1
28525837 | Association | Enteritis | SOCS1
28525837 | Association | Enteritis | STAT5A
29693186 | Association | Prostatic Neoplasms Castration-Resistant | MICB
29693186 | Negative_Correlation | Hypoxia | MICB
29693186 | Negative_Correlation | Hypoxia | ULBP3
29693186 | Association | Prostatic Neoplasms Castration-Resistant | CD274
29693186 | Positive_Correlation | Hypoxia | CD274
29693186 | Association | CD274 | JAK2
29693186 | Negative_Correlation | Hypoxia | ULBP2
29693186 | Association | Hypoxia | STAT3
29693186 | Positive_Correlation | CD274 | STAT3
29693186 | Association | Hypoxia | JAK2
29693186 | Association | JAK1 | STAT3
29693186 | Association | Prostatic Neoplasms Castration-Resistant | MICA
29693186 | Negative_Correlation | Hypoxia | MICA
29693186 | Association | Prostatic Neoplasms Castration-Resistant | STAT3
29693186 | Association | Prostatic Neoplasms Castration-Resistant | KLRK1
29693186 | Association | Prostatic Neoplasms Castration-Resistant | JAK2
29693186 | Negative_Correlation | Hypoxia | KLRK1
29693186 | Association | Hypoxia | JAK1
29693186 | Negative_Correlation | Hypoxia | ULBP1
29693186 | Association | Prostatic Neoplasms Castration-Resistant | ULBP2
29693186 | Association | Prostatic Neoplasms Castration-Resistant | ULBP3
29693186 | Association | CD274 | JAK1
29693186 | Association | JAK2 | STAT3
29693186 | Association | Prostatic Neoplasms Castration-Resistant | ULBP1
29693186 | Association | Prostatic Neoplasms Castration-Resistant | JAK1
30584347 | Association | IFNB1 | PIAS2
30584347 | Negative_Correlation | Multiple Sclerosis | IFNB1
30584347 | Association | Multiple Sclerosis | PIAS1
30584347 | Association | IFNB1 | PIAS1
30584347 | Association | Multiple Sclerosis | PIAS2
30584347 | Association | Multiple Sclerosis | PIAS3
30584347 | Association | Multiple Sclerosis | PIAS4
30584347 | Association | PIAS3 | IFNB1
30584347 | Association | IFNB1 | PIAS4
32151676 | Negative_Correlation | DDX58 | PIAS2
32151676 | Association | LOC101795904 | PIAS2
36670997 | Association | Alopecia Areata | NUP62
36670997 | Association | NFE2L2 | KEAP1
36670997 | Positive_Correlation | IFNG | JAK2
36670997 | Negative_Correlation | Alopecia Areata | ATG5
36670997 | Association | Malondialdehyde | Alopecia Areata
36670997 | Association | Glycation End Products Advanced | Alopecia Areata
36670997 | Positive_Correlation | IFNG | JAK1
36670997 | Negative_Correlation | Alopecia Areata | MAP1LC3B
38023123 | Association | SOCS1 | PIAS2
38023123 | Association | Leukemia Myeloid Acute | FLT3
38023123 | Association | Leukemia Myeloid Acute | TYK2
38023123 | Association | FLT3 | STAT4
38023123 | Association | Leukemia Myeloid Acute | STAT4
38023123 | Association | Leukemia Myeloid Acute | CD44
38023123 | Association | FLT3 | TYK2
38286854 | Negative_Correlation | MLN2238 | Neoplasms
38286854 | Negative_Correlation | carfilzomib | Neoplasms
38286854 | Negative_Correlation | Cisplatin | Neoplasms
38286854 | Negative_Correlation | Bortezomib | Triple Negative Breast Neoplasms
38286854 | Negative_Correlation | Docetaxel | Neoplasms
38286854 | Negative_Correlation | delanzomib | Triple Negative Breast Neoplasms
38286854 | Cotreatment | Carboplatin | Paclitaxel
38286854 | Cotreatment | Bortezomib | Epirubicin
38286854 | Negative_Correlation | Bortezomib | Neoplasms
38286854 | Negative_Correlation | Docetaxel | Triple Negative Breast Neoplasms
38286854 | Negative_Correlation | epoxomicin | Triple Negative Breast Neoplasms
38286854 | Negative_Correlation | carfilzomib | Triple Negative Breast Neoplasms
38286854 | Negative_Correlation | Carboplatin | Neoplasms
38286854 | Comparison | delanzomib | Bortezomib
38286854 | Cotreatment | nedaplatin | Bortezomib
38286854 | Cotreatment | epoxomicin | Epirubicin
38286854 | Negative_Correlation | delanzomib | Neoplasms
38354486 | Association | COVID-19 | IL6
38371751 | Negative_Correlation | Oligonucleotides | TYK2
38371751 | Association | COVID-19 | TYK2
38371751 | Association | Inflammation | TYK2
38391212 | Negative_Correlation | baricitinib | Alopecia Areata
38391212 | Negative_Correlation | baricitinib | Alopecia
38395305 | Negative_Correlation | SH2D3A | IFNA1
38395305 | Negative_Correlation | SH2D3A | CREBBP
38395305 | Association | CREBBP | STAT1
38395305 | Negative_Correlation | SH2D3A | JAK1
38395305 | Negative_Correlation | SH2D3A | STAT1
38557174 | Association | Phosphatidylserines | Lymphoma
38557174 | Association | Phosphatidylserines | TMEM30A
38557174 | Association | Lymphoma | TMEM30A
38557174 | Association | Leukemia | TMEM30A
38557174 | Positive_Correlation | Phosphatidylserines | Leukemia
38557174 | Association | TMEM30A | HAVCR2
38557174 | Association | Phosphatidylserines | HAVCR2
38557174 | Association | Neoplasms | HAVCR2
15296650 | Association | IFNA1 | STAT1
16124062 | Association | IFNA1 | EIF2AK2
16124062 | Association | Severe Acute Respiratory Syndrome | CXCL8
16124062 | Association | Inflammation | TNFAIP3
16124062 | Association | Severe Acute Respiratory Syndrome | CXCL11
16124062 | Negative_Correlation | Inflammation | IL1RN
16124062 | Association | Inflammation | IL1A
16124062 | Association | Severe Acute Respiratory Syndrome | GBP2
16124062 | Association | IFNA1 | CXCL10
16124062 | Association | GBP1 | IFNA1
16124062 | Association | Severe Acute Respiratory Syndrome | TNF
16124062 | Negative_Correlation | Inflammation | IL4R
16124062 | Positive_Correlation | Inflammation | TNF
16124062 | Association | IFNA1 | CXCL11
16124062 | Association | Severe Acute Respiratory Syndrome | IL1A
16124062 | Association | GBP2 | IFNA1
16124062 | Association | Inflammation | CXCL8
16124062 | Association | Inflammation | TNFAIP6
16124062 | Association | Severe Acute Respiratory Syndrome | CXCL10
16124062 | Association | Severe Acute Respiratory Syndrome | GBP1
16689661 | Association | GBP1 | IFNG
17371985 | Association | STAT1 | PIAS1
17371985 | Negative_Correlation | IFNG | TGFB1
17371985 | Negative_Correlation | SMAD7 | MAPK8
17371985 | Positive_Correlation | IFNG | STAT1
17371985 | Negative_Correlation | SMAD7 | TGFB1
17371985 | Positive_Correlation | TGFB1 | PIAS1
17371985 | Negative_Correlation | STAT1 | TGFB1
19857525 | Association | IFNA1 | STAT1
19857525 | Bind | STAT1 | PIAS1
19857525 | Positive_Correlation | S-Adenosylmethionine | EIF2AK2
19857525 | Positive_Correlation | S-Adenosylmethionine | STAT1
19857525 | Negative_Correlation | Hepatitis B | IFNA1
19857525 | Positive_Correlation | S-Adenosylmethionine | IFNA1
19857525 | Negative_Correlation | S-Adenosylmethionine | PIAS1
19857525 | Positive_Correlation | IFNA1 | EIF2AK2
19857525 | Negative_Correlation | Hepatitis B Chronic | IFNA1
19913854 | Association | Dyslipidemias | SOCS3
19913854 | Association | SREBF1 | STAT3
19913854 | Association | Weight Loss | FASN
19913854 | Association | Insulin Resistance | SREBF1
19913854 | Association | Dyslipidemias | SREBF1
19913854 | Association | Obesity | SOCS3
19913854 | Positive_Correlation | SREBF1 | SOCS3
19913854 | Association | INS | SREBF1
19913854 | Association | Obesity | FASN
19913854 | Association | Weight Loss | SREBF1
19913854 | Positive_Correlation | Obesity | SREBF1
19913854 | Association | Lipids | SOCS3
19913854 | Association | Insulin Resistance | SOCS3
19913854 | Association | Lipids | SREBF1
20235152 | Negative_Correlation | PIAS3 | STAT3
20235152 | Negative_Correlation | Curcumin | Neoplasms
20235152 | Positive_Correlation | Curcumin | CASP3
20235152 | Association | Neoplasms | IL6
20235152 | Negative_Correlation | Curcumin | SOCS3
20235152 | Negative_Correlation | Curcumin | Endometrial Hyperplasia
20235152 | Negative_Correlation | Curcumin | IL6
20235152 | Negative_Correlation | Curcumin | STAT3
20235152 | Association | Neoplasms | SOCS3
20235152 | Association | Endometrial Hyperplasia | STAT3
20235152 | Positive_Correlation | IL6 | STAT3
20235152 | Association | Endometrial Hyperplasia | PIAS3
20235152 | Association | Neoplasms | PIAS3
20235152 | Positive_Correlation | Curcumin | PIAS3
21261500 | Association | Leukemia | MEF2C
21261500 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | MEF2C
21261500 | Positive_Correlation | NKX2-5 | MEF2C
21261500 | Association | MEF2C | NMI
21261500 | Association | Leukemia | GFI1B
21261500 | Positive_Correlation | MEF2C | GFI1B
21261500 | Positive_Correlation | MEF2C | NKX3-1
21261500 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | NKX2-5
21261500 | Association | MEF2C | STAT5A
21261500 | Association | Leukemia | NKX3-1
21261500 | Association | IL7 | STAT5A
21261500 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | NKX3-1
21261500 | Association | HOXA9 | MEF2C
21261500 | Positive_Correlation | HOXA10 | MYCN
21261500 | Association | IL7 | MEF2C
21261500 | Positive_Correlation | HOXA10 | MEF2C
21261500 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | GFI1B
21261500 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | STAT5A
21261500 | Positive_Correlation | HOXA9 | MYCN
21261500 | Association | Leukemia | NKX2-5
21683644 | Association | Chlorpromazine | Clcf1
21683644 | Association | Chlorpromazine | Arrhythmias Cardiac
21683644 | Association | Chlorpromazine | Cardiovascular Diseases
21683644 | Positive_Correlation | Chlorpromazine | Bcl2l1
21683644 | Association | Chlorpromazine | Pias1
21683644 | Association | Chlorpromazine | Ifnlr1
21683644 | Positive_Correlation | Chlorpromazine | Cardiomyopathies
21683644 | Positive_Correlation | Chlorpromazine | Tnf
21992896 | Positive_Correlation | IFNG | JAK2
21992896 | Negative_Correlation | salvianolic acid B | CXCL9
21992896 | Positive_Correlation | salvianolic acid B | SOCS1
21992896 | Association | Inflammation | STAT1
21992896 | Positive_Correlation | salvianolic acid B | PIAS1
21992896 | Negative_Correlation | salvianolic acid B | Cerebrovascular Disorders
21992896 | Negative_Correlation | salvianolic acid B | CXCL10
21992896 | Negative_Correlation | salvianolic acid B | Inflammation
21992896 | Positive_Correlation | IFNG | STAT1
21992896 | Positive_Correlation | IFNG | CXCL11
21992896 | Negative_Correlation | salvianolic acid B | CXCL11
21992896 | Association | CXCL10 | STAT1
21992896 | Association | CXCL9 | STAT1
21992896 | Association | CXCL11 | STAT1
21992896 | Positive_Correlation | IFNG | CXCL10
21992896 | Negative_Correlation | salvianolic acid B | STAT1
21992896 | Association | Cerebrovascular Disorders | STAT1
21992896 | Negative_Correlation | salvianolic acid B | JAK2
21992896 | Negative_Correlation | salvianolic acid B | IFNG
21992896 | Positive_Correlation | IFNG | CXCL9
22972521 | Association | Neoplasms | MMP2
22972521 | Negative_Correlation | MAPK1 | PIAS1
22972521 | Association | Neoplasms | MMP9
22972521 | Negative_Correlation | Neoplasms | PIAS1
22972521 | Negative_Correlation | MMP2 | PIAS1
22972521 | Association | Neoplasms | ICAM1
22972521 | Negative_Correlation | MMP9 | PIAS1
22972521 | Negative_Correlation | Stomach Neoplasms | PIAS1
22972521 | Negative_Correlation | Inflammation | PIAS1
22972521 | Association | Neoplasm Metastasis | PIAS1
23279849 | Negative_Correlation | morin | SRC
23279849 | Negative_Correlation | Bortezomib | STAT3
23279849 | Association | Neoplasms | STAT3
23279849 | Negative_Correlation | morin | JAK1
23279849 | Negative_Correlation | morin | Multiple Myeloma
23279849 | Positive_Correlation | morin | PTPN22
23279849 | Negative_Correlation | Thalidomide | Neoplasms
23279849 | Negative_Correlation | morin | Squamous Cell Carcinoma of Head and Neck
23279849 | Negative_Correlation | morin | Neoplasms
23279849 | Positive_Correlation | morin | PTPN6
23279849 | Negative_Correlation | morin | STAT3
23279849 | Association | Neoplasms | PTPN6
23279849 | Association | morin | pervanadate
23279849 | Association | Neoplasm Metastasis | STAT3
23279849 | Association | SRC | STAT3
23279849 | Association | Neoplasms | PTPN22
23279849 | Association | PTPN6 | STAT3
23279849 | Negative_Correlation | morin | JAK2
23279849 | Negative_Correlation | Thalidomide | STAT3
23279849 | Association | pervanadate | STAT3
23279849 | Negative_Correlation | Bortezomib | Neoplasms
23279849 | Positive_Correlation | morin | PIAS3
23279849 | Association | JAK1 | STAT3
23665184 | Association | Polyamines | MAT1A
23665184 | Association | Carcinoma Hepatocellular | Mat1a
23665184 | Positive_Correlation | Akt1 | MAT2A
23665184 | Association | Polyamines | MAT2A
23665184 | Positive_Correlation | MAT2A | MYC
23665184 | Association | Stk11 | MAT1A
23665184 | Association | S-Adenosylmethionine | MAT2A
23665184 | Positive_Correlation | Mapk1 | MAT2A
23665184 | Association | Protein S Deficiency | Mat1a
23665184 | Negative_Correlation | S-Adenosylmethionine | MAT1A
23665184 | Association | Carcinoma Hepatocellular | MAT1A
23665184 | Association | Carcinoma Hepatocellular | Stk11
23665184 | Association | Carcinoma Hepatocellular | Mat2a
23665184 | Association | Fatty Liver | Mat1a
23665184 | Association | Stk11 | MAT2A
23665184 | Association | S-Adenosylmethionine | Carcinoma Hepatocellular
23665184 | Association | Carcinoma Hepatocellular | MYC
23665184 | Association | Polyamines | Carcinoma Hepatocellular
23665184 | Association | Carcinoma Hepatocellular | Mapk1
23665184 | Association | Carcinoma Hepatocellular | MAT2A
23665184 | Association | MAT1A | MYC
23665184 | Association | Carcinoma Hepatocellular | Akt1
23665184 | Positive_Correlation | Mapk1 | MAT1A
23665184 | Association | Akt1 | MAT1A
24120699 | Association | Colorectal Neoplasms | PIAS3
24120699 | Association | Neoplasms | PIAS3
24120699 | Negative_Correlation | PIAS3 | AKT1
24120699 | Association | Neoplasms | AKT1
24301930 | Association | Myeloproliferative Disorders | JAK2
24301930 | Negative_Correlation | Thrombocythemia Essential | PIAS1
24301930 | Association | Thrombocythemia Essential | p.V61F
24301930 | Association | Thrombocythemia Essential | JAK2
24301930 | Association | Leukemia Myeloid Chronic Atypical BCR-ABL Negative | JAK2
24301930 | Negative_Correlation | Thrombocythemia Essential | PIAS3
24301930 | Association | Thrombocythemia Essential | CISH
24486434 | Negative_Correlation | Stat3 | Pias3
24486434 | Association | Inflammation | Stat3
24486434 | Positive_Correlation | Lipopolysaccharides | Nfkb1
24486434 | Association | Inflammation | Nfkb1
24486434 | Association | Neuroinflammatory Diseases | Jak2
24486434 | Association | Neuroinflammatory Diseases | Syk
24486434 | Association | Jak2 | Mapk14
24486434 | Positive_Correlation | Lipopolysaccharides | Akt1
24486434 | Positive_Correlation | Lipopolysaccharides | Syk
