38613283 | @CHEMICAL_Tungsten | Tungsten | 242 | 1 | Chemical | chemical | W
28798155 | @GENE_NR1H3 | Nr1h3 | 2358 | 22 | Gene | gene | liver X receptor-alpha
29061306 | @GENE_ATF6 | ATF6 | 95 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 327 | 33 | Gene | gene | Activating transcription factor 6
29061306 | @GENE_ATF6 | ATF6 | 362 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 529 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 618 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 671 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 792 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 871 | 4 | Gene | gene | ATF6
29061306 | @GENE_CFTR | CFTR | 937 | 51 | Gene | gene | cystic fibrosis transmembrane conductance regulator
29061306 | @GENE_CFTR | CFTR | 990 | 4 | Gene | gene | CFTR
29061306 | @GENE_CFTR | CFTR | 1024 | 4 | Gene | gene | CFTR
29061306 | @GENE_ATF6 | ATF6 | 1151 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 1206 | 4 | Gene | gene | ATF6
29061306 | @GENE_SUMO1 | SUMO1 | 1258 | 39 | Gene | gene | small ubiquitin-like modifier protein 1
29061306 | @GENE_SUMO1 | SUMO1 | 1299 | 6 | Gene | gene | SUMO-1
29061306 | @GENE_PIAS1 | PIAS1 | 1337 | 5 | Gene | gene | PIAS1
29061306 | @GENE_ATF6 | ATF6 | 1447 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 1547 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 1591 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 1712 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 1799 | 4 | Gene | gene | ATF6
29061306 | @GENE_ATF6 | ATF6 | 1880 | 4 | Gene | gene | ATF6
29494344 | @DISEASE_Neoplasms | Neoplasms | 1327 | 5 | Disease | disease | tumor
29494344 | @DISEASE_Neoplasms | Neoplasms | 1967 | 5 | Disease | disease | tumor
29494344 | @DISEASE_Neoplasms | Neoplasms | 2163 | 5 | Disease | disease | tumor
29622578 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 117 | 15 | Disease | disease | type 1 diabetes
29622578 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 230 | 15 | Disease | disease | type 1 diabetes
29622578 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 561 | 15 | Disease | disease | type 1 diabetes
29622578 | @DISEASE_Weight_Loss | Weight Loss | 944 | 11 | Disease | disease | weight loss
29622578 | @DISEASE_Fatigue | Fatigue | 960 | 7 | Disease | disease | fatigue
29622578 | @DISEASE_Ketosis | Ketosis | 969 | 12 | Disease | disease | Ketoacidosis
29622578 | @DISEASE_Overweight | Overweight | 1062 | 10 | Disease | disease | overweight
29622578 | @DISEASE_Obesity | Obesity | 1076 | 5 | Disease | disease | obese
29622578 | @GENE_GLUL | GLUL | 1193 | 23 | Gene | gene | glutamate decarboxylase
29622578 | @GENE_SLC30A8 | SLC30A8 | 1238 | 18 | Gene | gene | zinc transporter 8
29622578 | @DISEASE_Ketosis | Ketosis | 1384 | 12 | Disease | disease | ketoacidosis
29622578 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 1850 | 8 | Disease | disease | diabetes
29622578 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1912 | 18 | Disease | disease | autoimmune disease
29622578 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 1998 | 15 | Disease | disease | type 1 diabetes
29622578 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 2239 | 8 | Disease | disease | diabetes
29922483 | @DISEASE_Neoplasms | Neoplasms | 44 | 5 | Disease | disease | tumor
29922483 | @DISEASE_Neoplasms | Neoplasms | 384 | 5 | Disease | disease | tumor
29922483 | @GENE_MAOA | Maoa | 400 | 19 | Gene | gene | monoamine oxidase A
29922483 | @CHEMICAL_MHI_148 | MHI-148 | 697 | 7 | Chemical | chemical | MHI-148
29922483 | @CHEMICAL_acetonitrile | acetonitrile | 751 | 12 | Chemical | chemical | acetonitrile
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 0 | 17 | Chemical | chemical | delta-Tocotrienol
30031388 | @GENE_EIF2S1 | EIF2S1 | 55 | 4 | Gene | gene | EIF2
30031388 | @GENE_MTOR | MTOR | 61 | 4 | Gene | gene | mTOR
30031388 | @DISEASE_Hepatitis_C_Chronic | Hepatitis C Chronic | 129 | 19 | Disease | disease | chronic hepatitis C
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 171 | 17 | Chemical | chemical | delta-Tocotrienol
30031388 | @DISEASE_Neoplasms | Neoplasms | 316 | 6 | Disease | disease | cancer
30031388 | @DISEASE_Neoplasms | Neoplasms | 379 | 6 | Disease | disease | cancer
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 444 | 17 | Chemical | chemical | delta-tocotrienol
30031388 | @DISEASE_Hepatitis_C_Chronic | Hepatitis C Chronic | 473 | 11 | Disease | disease | hepatitis C
30031388 | @DISEASE_Inflammation | Inflammation | 551 | 12 | Disease | disease | inflammatory
30031388 | @GENE_TNF | TNF | 575 | 9 | Gene | gene | TNF-alpha
30031388 | @GENE_VCAM1 | VCAM1 | 586 | 5 | Gene | gene | VCAM1
30031388 | @GENE_ICAM1 | ICAM1 | 649 | 5 | Gene | gene | ICAM1
30031388 | @GENE_IFNG | IFNG | 659 | 9 | Gene | gene | IFN-gamma
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 886 | 17 | Chemical | chemical | delta-tocotrienol
30031388 | @DISEASE_Hepatitis_C_Chronic | Hepatitis C Chronic | 917 | 11 | Disease | disease | hepatitis C
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 1062 | 17 | Chemical | chemical | delta-tocotrienol
30031388 | @DISEASE_Hepatitis_C_Chronic | Hepatitis C Chronic | 1093 | 11 | Disease | disease | hepatitis C
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 1668 | 17 | Chemical | chemical | delta-tocotrienol
30031388 | @GENE_CERS3 | CERS3 | 1746 | 19 | Gene | gene | ceramide synthase 3
30031388 | @GENE_MKX | MKX | 1770 | 15 | Gene | gene | Mohawk homeobox
30031388 | @GENE_HSP90AB1 | HSP90AB1 | 1906 | 8 | Gene | gene | HSP90AB1
30031388 | @GENE_PSMC3 | PSMC3 | 1916 | 5 | Gene | gene | PSMC3
30031388 | @GENE_CYB5R4 | CYB5R4 | 1923 | 6 | Gene | gene | CYB5R4
30031388 | @GENE_NDUFB1 | NDUFB1 | 1931 | 6 | Gene | gene | NDUFB1
30031388 | @GENE_CYP2R1 | CYP2R1 | 1939 | 6 | Gene | gene | CYP2R1
30031388 | @GENE_VEGFA | VEGFA | 1956 | 5 | Gene | gene | VEGFA
30031388 | @GENE_GPR65 | GPR65 | 1963 | 5 | Gene | gene | GPR65
30031388 | @GENE_PIAS1 | PIAS1 | 1970 | 5 | Gene | gene | PIAS1
30031388 | @GENE_SFPQ | SFPQ | 1977 | 4 | Gene | gene | SFPQ
30031388 | @GENE_GPS2 | GPS2 | 1983 | 4 | Gene | gene | GPS2
30031388 | @GENE_EIF3F | EIF3F | 1989 | 5 | Gene | gene | EIF3F
30031388 | @GENE_GTPBP8 | GTPBP8 | 1996 | 6 | Gene | gene | GTPBP8
30031388 | @GENE_EIF4A1 | EIF4A1 | 2004 | 6 | Gene | gene | EIF4A1
30031388 | @GENE_HSPA14 | HSPA14 | 2012 | 6 | Gene | gene | HSPA14
30031388 | @GENE_TLR8 | TLR8 | 2020 | 4 | Gene | gene | TLR8
30031388 | @GENE_PPARA | PPARA | 2165 | 4 | Gene | gene | PPAR
30031388 | @GENE_RXRA | RXRA | 2195 | 8 | Gene | gene | RXRalpha
30031388 | @GENE_PPARG | PPARG | 2205 | 9 | Gene | gene | PPARgamma
30031388 | @GENE_PPARG | PPARG | 2222 | 9 | Gene | gene | PPARgamma
30031388 | @GENE_RARA | RARA | 2246 | 8 | Gene | gene | RARalpha
30031388 | @GENE_IL21 | IL21 | 2256 | 5 | Gene | gene | IL-21
30031388 | @GENE_IL23A | IL23A | 2263 | 5 | Gene | gene | IL-23
30031388 | @GENE_STAT2 | STAT2 | 2374 | 5 | Gene | gene | STAT2
30031388 | @GENE_CSF1 | CSF1 | 2397 | 4 | Gene | gene | CSF1
30031388 | @GENE_IFNG | IFNG | 2403 | 8 | Gene | gene | IFNgamma
30031388 | @GENE_TGFA | TGFA | 2418 | 4 | Gene | gene | TGFA
30031388 | @GENE_MIR155 | MIR155 | 2428 | 12 | Gene | gene | microRNA-155
30031388 | @GENE_MIR223 | MIR223 | 2445 | 7 | Gene | gene | miR-223
30031388 | @GENE_MIR21 | MIR21 | 2454 | 6 | Gene | gene | miR-21
30031388 | @GENE_IL2 | IL2 | 2591 | 4 | Gene | gene | IL-2
30031388 | @GENE_IL5 | IL5 | 2597 | 4 | Gene | gene | IL-5
30031388 | @GENE_IL6 | IL6 | 2603 | 4 | Gene | gene | IL-6
30031388 | @GENE_IL12B | IL12B | 2609 | 5 | Gene | gene | IL-12
30031388 | @GENE_IL13 | IL13 | 2616 | 5 | Gene | gene | IL-13
30031388 | @GENE_IL15 | IL15 | 2623 | 5 | Gene | gene | IL-15
30031388 | @GENE_IL17A | IL17A | 2630 | 5 | Gene | gene | IL-17
30031388 | @GENE_IL18 | IL18 | 2637 | 5 | Gene | gene | IL-18
30031388 | @GENE_IL21 | IL21 | 2644 | 5 | Gene | gene | IL-21
30031388 | @GENE_IL24 | IL24 | 2651 | 5 | Gene | gene | IL-24
30031388 | @GENE_IL27 | IL27 | 2658 | 5 | Gene | gene | IL-27
30031388 | @GENE_IL32 | IL32 | 2665 | 5 | Gene | gene | IL-32
30031388 | @GENE_IFNG | IFNG | 2693 | 16 | Gene | gene | interferon gamma
30031388 | @GENE_TNF | TNF | 2711 | 9 | Gene | gene | TNF-alpha
30031388 | @GENE_STAT2 | STAT2 | 2722 | 5 | Gene | gene | STAT2
30031388 | @GENE_NOX1 | NOX1 | 2729 | 4 | Gene | gene | NOX1
30031388 | @GENE_NFKB1 | NFKB1 | 2753 | 9 | Gene | gene | NF-kappaB
30031388 | @GENE_TCF3 | TCF3 | 2773 | 4 | Gene | gene | TCF3
30031388 | @CHEMICAL_tocotrienol_delta | tocotrienol delta | 2943 | 17 | Chemical | chemical | delta-tocotrienol
30031388 | @DISEASE_Hepatitis_C_Chronic | Hepatitis C Chronic | 3002 | 19 | Disease | disease | chronic hepatitis C
30031388 | @DISEASE_Hepatitis_C_Chronic | Hepatitis C Chronic | 3181 | 19 | Disease | disease | chronic hepatitis C
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 0 | 41 | Disease | disease | TSC-associated neuropsychiatric disorders
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 43 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 127 | 41 | Disease | disease | TSC-associated neuropsychiatric disorders
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 170 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 262 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 299 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 463 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 542 | 3 | Disease | disease | TSC
30201051 | @DISEASE_Urinary_Bladder_Overactive | Urinary Bladder Overactive | 751 | 12 | Disease | disease | overactivity
30201051 | @DISEASE_Sleep_Wake_Disorders | Sleep Wake Disorders | 765 | 18 | Disease | disease | sleep difficulties
30201051 | @DISEASE_Disruptive_Impulse_Control_and_Conduct_Disorders | Disruptive Impulse Control and Conduct Disorders | 785 | 11 | Disease | disease | impulsivity
30201051 | @DISEASE_Anxiety | Anxiety | 798 | 7 | Disease | disease | anxiety
30201051 | @DISEASE_Mood_Disorders | Mood Disorders | 807 | 11 | Disease | disease | mood swings
30201051 | @DISEASE_Personality_Disorders | Personality Disorders | 827 | 10 | Disease | disease | aggression
30201051 | @DISEASE_Depressive_Disorder | Depressive Disorder | 839 | 14 | Disease | disease | depressed mood
30201051 | @DISEASE_Self_Mutilation | Self Mutilation | 855 | 11 | Disease | disease | self-injury
30201051 | @DISEASE_Obsessive_Compulsive_Disorder | Obsessive-Compulsive Disorder | 872 | 10 | Disease | disease | obsessions
30201051 | @DISEASE_Mental_Disorders | Mental Disorders | 884 | 21 | Disease | disease | Psychiatric disorders
30201051 | @DISEASE_Autism_Spectrum_Disorder | Autism Spectrum Disorder | 915 | 24 | Disease | disease | autism spectrum disorder
30201051 | @DISEASE_Autism_Spectrum_Disorder | Autism Spectrum Disorder | 941 | 3 | Disease | disease | ASD
30201051 | @DISEASE_Attention_Deficit_Disorder_with_Hyperactivity | Attention Deficit Disorder with Hyperactivity | 954 | 40 | Disease | disease | attention deficit hyperactivity disorder
30201051 | @DISEASE_Attention_Deficit_Disorder_with_Hyperactivity | Attention Deficit Disorder with Hyperactivity | 996 | 4 | Disease | disease | ADHD
30201051 | @DISEASE_Anxiety_Disorders | Anxiety Disorders | 1010 | 16 | Disease | disease | anxiety disorder
30201051 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1039 | 19 | Disease | disease | depressive disorder
30201051 | @DISEASE_Intellectual_Disability | Intellectual Disability | 1223 | 23 | Disease | disease | intellectual disability
30201051 | @DISEASE_Learning_Disabilities | Learning Disabilities | 1310 | 21 | Disease | disease | Academic difficulties
30201051 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 1378 | 27 | Disease | disease | neuropsychological deficits
30201051 | @DISEASE_Urinary_Bladder_Overactive | Urinary Bladder Overactive | 1476 | 12 | Disease | disease | overactivity
30201051 | @DISEASE_Disruptive_Impulse_Control_and_Conduct_Disorders | Disruptive Impulse Control and Conduct Disorders | 1493 | 11 | Disease | disease | impulsivity
30201051 | @DISEASE_Anxiety | Anxiety | 1551 | 7 | Disease | disease | anxiety
30201051 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1560 | 14 | Disease | disease | depressed mood
30201051 | @DISEASE_Mood_Disorders | Mood Disorders | 1576 | 11 | Disease | disease | mood swings
30201051 | @DISEASE_Obsessive_Compulsive_Disorder | Obsessive-Compulsive Disorder | 1589 | 10 | Disease | disease | obsessions
30201051 | @DISEASE_Psychotic_Disorders | Psychotic Disorders | 1601 | 9 | Disease | disease | psychosis
30201051 | @DISEASE_Hallucinations | Hallucinations | 1615 | 14 | Disease | disease | hallucinations
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 1664 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Self_Mutilation | Self Mutilation | 1711 | 11 | Disease | disease | self-injury
30201051 | @DISEASE_Autism_Spectrum_Disorder | Autism Spectrum Disorder | 1724 | 3 | Disease | disease | ASD
30201051 | @DISEASE_Learning_Disabilities | Learning Disabilities | 1729 | 21 | Disease | disease | academic difficulties
30201051 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 1755 | 27 | Disease | disease | neuropsychological deficits
30201051 | @GENE_TSC2 | TSC2 | 1786 | 4 | Gene | gene | TSC2
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 1859 | 4 | Disease | disease | TAND
30201051 | @GENE_TSC2 | TSC2 | 1904 | 4 | Gene | gene | TSC2
30201051 | @DISEASE_Intellectual_Disability | Intellectual Disability | 1943 | 23 | Disease | disease | intellectual disability
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 2103 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 2111 | 3 | Disease | disease | TSC
30201051 | @DISEASE_Pediatric_acute_onset_neuropsychiatric_syndrome | Pediatric acute-onset neuropsychiatric syndrome | 2152 | 28 | Disease | disease | neuropsychiatric comorbidity
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 2213 | 3 | Disease | disease | TSC
30201051 | @GENE_TSC1 | TSC1 | 2225 | 4 | Gene | gene | TSC1
30201051 | @GENE_TSC2 | TSC2 | 2234 | 4 | Gene | gene | TSC2
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 2349 | 4 | Disease | disease | TAND
30201051 | @DISEASE_Tuberous_Sclerosis_1 | Tuberous Sclerosis 1 | 2422 | 4 | Disease | disease | TAND
30257217 | @DISEASE_Torsades_de_Pointes | Torsades de Pointes | 420 | 19 | Disease | disease | torsades de pointes
30257217 | @DISEASE_Torsades_de_Pointes | Torsades de Pointes | 441 | 3 | Disease | disease | TdP
30257217 | @DISEASE_Torsades_de_Pointes | Torsades de Pointes | 720 | 3 | Disease | disease | TdP
30257217 | @DISEASE_Arrhythmias_Cardiac | Arrhythmias Cardiac | 793 | 10 | Disease | disease | arrhythmia
30412405 | @CHEMICAL_beta_Lactams | beta-Lactams | 90 | 12 | Chemical | chemical | beta-Lactams
30412405 | @CHEMICAL_Aldehydes | Aldehydes | 108 | 9 | Chemical | chemical | Aldehydes
30412405 | @CHEMICAL_1_methylimidazole | 1-methylimidazole | 137 | 17 | Chemical | chemical | N-Methylimidazole
30412405 | @CHEMICAL_1_methylimidazole | 1-methylimidazole | 186 | 17 | Chemical | chemical | N-methylimidazole
30412405 | @CHEMICAL_1_methylimidazole | 1-methylimidazole | 206 | 4 | Chemical | chemical | N-MI
30412405 | @CHEMICAL_Aldehydes | Aldehydes | 260 | 9 | Chemical | chemical | aldehydes
30412405 | @CHEMICAL_beta_Lactams | beta-Lactams | 275 | 11 | Chemical | chemical | beta-lactam
30412405 | @CHEMICAL_Amino_Alcohols | Amino Alcohols | 873 | 13 | Chemical | chemical | aminoalcohols
30412405 | @CHEMICAL_beta_Lactams | beta-Lactams | 1022 | 11 | Chemical | chemical | beta-lactam
30412405 | @CHEMICAL_Aldehydes | Aldehydes | 1038 | 8 | Chemical | chemical | aldehyde
31786976 | @GENE_KIT | KIT | 91 | 5 | Gene | gene | c-Kit
31786976 | @CHEMICAL_Adenosine | Adenosine | 247 | 9 | Chemical | chemical | adenosine
