38011559 | Association | Neoplasms | Pikfyve
32113162 | Association | Squamous Cell Carcinoma of Head and Neck | CCND1
32986841 | Association | CTCF | C17orf49
32986841 | Association | Breast Neoplasms | C17orf49
32986841 | Association | Estradiol | C17orf49
32986841 | Association | Breast Neoplasms | ESR1
32986841 | Positive_Correlation | C17orf49 | ESR1
37344694 | Negative_Correlation | PR-957 | PSMB8
37344694 | Negative_Correlation | PR-957 | CCL5
37344694 | Association | IL6 | PSMB8
37344694 | Negative_Correlation | PR-957 | CXCL8
37344694 | Negative_Correlation | PR-957 | IL6
37344694 | Positive_Correlation | Nicotine | TNF
37344694 | Positive_Correlation | Nicotine | Inflammation
37344694 | Negative_Correlation | PR-957 | CCL2
38199985 | Association | ROCK1 | CD86
38199985 | Negative_Correlation | ROCK1 | TNF
38199985 | Association | ROCK1 | CD80
38199985 | Association | IL6 | ROCK1
38199985 | Association | IL1B | ROCK1
38199985 | Association | NOS2 | ROCK1
38293085 | Association | Neoplasms | HLA-C
38414132 | Association | Hypertrophy Left Ventricular | Slit3
38414132 | Association | Robo1 | SLIT3
38414132 | Association | Hypertrophy | Slit3
38414132 | Positive_Correlation | Hypertrophy | SLIT3
38414132 | Association | Cardiomegaly | Robo1
38414132 | Association | Robo1 | Slit3
38414132 | Positive_Correlation | Heart Defects Congenital | SLIT3
38414132 | Association | Hypertrophy Left Ventricular | Tcf21
38414132 | Association | Myelitis Transverse | Slit3
38414132 | Association | Fibrosis | Slit3
38414132 | Association | Cardiomyopathy Hypertrophic | Robo1
38414132 | Association | Cardiomegaly | SLIT3
38414132 | Association | Cardiomyopathy Hypertrophic | SLIT3
38414132 | Positive_Correlation | Iron Overload | SLIT3
38414132 | Association | Hypertrophy | Robo1
38414132 | Association | Myelitis Transverse | Tcf21
38414132 | Association | Fibrosis | Tcf21
