38011559 | @GENE_PIKFYVE | Pikfyve | 27 | 7 | Gene | gene | PIKfyve
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 313 | 4 | Disease | disease | COPD
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 386 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 410 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 536 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 587 | 4 | Disease | disease | COPD
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 621 | 5 | Disease | disease | mucus
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 691 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 831 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 874 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 1015 | 4 | Disease | disease | COPD
38013161 | @DISEASE_Cough | Cough | 1034 | 5 | Disease | disease | cough
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1102 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1155 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1192 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Cough | Cough | 1333 | 5 | Disease | disease | cough
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1357 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1385 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Emphysema | Emphysema | 1471 | 9 | Disease | disease | emphysema
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1596 | 11 | Disease | disease | Mucus plugs
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 1622 | 4 | Disease | disease | COPD
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1675 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Mucus_Inspissation_of_Respiratory_Tract | Mucus Inspissation of Respiratory Tract | 1784 | 11 | Disease | disease | mucus plugs
38013161 | @DISEASE_Pulmonary_Disease_Chronic_Obstructive | Pulmonary Disease Chronic Obstructive | 1843 | 4 | Disease | disease | COPD
38023788 | @DISEASE_Neoplasms | Neoplasms | 14 | 6 | Disease | disease | Cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 56 | 6 | Disease | disease | Cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 222 | 6 | Disease | disease | cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 297 | 5 | Disease | disease | tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 422 | 6 | Disease | disease | cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 440 | 5 | Disease | disease | tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 472 | 5 | Disease | disease | tumor
38023788 | @GENE_SPI1 | SPI1 | 559 | 4 | Gene | gene | PU.1
38023788 | @GENE_IRF8 | IRF8 | 565 | 4 | Gene | gene | IRF8
38023788 | @GENE_BATF3 | BATF3 | 575 | 5 | Gene | gene | BATF3
38023788 | @DISEASE_Neoplasms | Neoplasms | 615 | 5 | Disease | disease | Tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 763 | 5 | Disease | disease | Tumor
38023788 | @GENE_PTPRC | Ptprc | 807 | 4 | Gene | gene | CD45
38023788 | @DISEASE_Neoplasms | Neoplasms | 1042 | 5 | Disease | disease | tumor
38023788 | @GENE_CD8A | CD8A | 1079 | 3 | Gene | gene | CD8
38023788 | @GENE_CD4 | CD4 | 1088 | 3 | Gene | gene | CD4
38023788 | @DISEASE_Neoplasms | Neoplasms | 1169 | 5 | Disease | disease | tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 1198 | 5 | Disease | disease | tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 1292 | 5 | Disease | disease | tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 1355 | 6 | Disease | disease | cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 1487 | 6 | Disease | disease | cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 1543 | 5 | Disease | disease | tumor
38023788 | @DISEASE_Neoplasms | Neoplasms | 1662 | 6 | Disease | disease | cancer
38023788 | @DISEASE_Neoplasms | Neoplasms | 1877 | 5 | Disease | disease | tumor
38049662 | @DISEASE_Inflammation | Inflammation | 858 | 12 | Disease | disease | inflammatory
38049662 | @DISEASE_Metabolic_Syndrome | Metabolic Syndrome | 948 | 23 | Disease | disease | cardiometabolic disease
38049662 | @DISEASE_Renal_Insufficiency_Chronic | Renal Insufficiency Chronic | 1044 | 22 | Disease | disease | chronic kidney disease
38049662 | @DISEASE_Diabetes_Mellitus_Type_2 | Diabetes Mellitus Type 2 | 1070 | 15 | Disease | disease | type 2 diabetes
38131058 | @DISEASE_Sleep_Initiation_and_Maintenance_Disorders | Sleep Initiation and Maintenance Disorders | 42 | 16 | Disease | disease | chronic insomnia
38131058 | @DISEASE_Sleep_Initiation_and_Maintenance_Disorders | Sleep Initiation and Maintenance Disorders | 124 | 16 | Disease | disease | Chronic insomnia
38131058 | @DISEASE_Sleep_Initiation_and_Maintenance_Disorders | Sleep Initiation and Maintenance Disorders | 1021 | 8 | Disease | disease | insomnia
38131058 | @DISEASE_Sleep_Initiation_and_Maintenance_Disorders | Sleep Initiation and Maintenance Disorders | 1215 | 8 | Disease | disease | insomnia
38131058 | @CHEMICAL_Benzodiazepines | Benzodiazepines | 1261 | 15 | Chemical | chemical | Benzodiazepines
38131058 | @DISEASE_Sleep_Initiation_and_Maintenance_Disorders | Sleep Initiation and Maintenance Disorders | 1446 | 16 | Disease | disease | chronic insomnia
38131058 | @DISEASE_Substance_Related_Disorders | Substance-Related Disorders | 1578 | 9 | Disease | disease | addiction
38131058 | @DISEASE_Depressive_Disorder | Depressive Disorder | 1593 | 10 | Disease | disease | depression
38131058 | @DISEASE_Amnesia | Amnesia | 1609 | 7 | Disease | disease | amnesia
38170159 | @GENE_IRF4 | Irf4 | 0 | 30 | Gene | gene | Interferon regulatory factor 4
38170159 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 74 | 5 | Disease | disease | aGVHD
38170159 | @DISEASE_Colitis | Colitis | 91 | 7 | Disease | disease | colitis
38170159 | @GENE_IRF4 | IRF4 | 100 | 30 | Gene | gene | Interferon regulatory factor 4
38170159 | @GENE_IRF4 | IRF4 | 132 | 4 | Gene | gene | IRF4
38170159 | @GENE_BATF | Batf | 297 | 4 | Gene | gene | BATF
38170159 | @GENE_CD4 | Cd4 | 326 | 3 | Gene | gene | CD4
38170159 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 349 | 31 | Disease | disease | acute graft-versus-host disease
38170159 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 382 | 5 | Disease | disease | aGVHD
38170159 | @DISEASE_Colitis | Colitis | 397 | 7 | Disease | disease | colitis
38170159 | @GENE_IRF4 | Irf4 | 458 | 4 | Gene | gene | Irf4
38170159 | @GENE_IRF4 | Irf4 | 565 | 4 | Gene | gene | Irf4
38170159 | @GENE_CD4 | Cd4 | 573 | 3 | Gene | gene | CD4
38170159 | @GENE_IRF4 | Irf4 | 668 | 4 | Gene | gene | Irf4
38170159 | @GENE_CD4 | Cd4 | 676 | 3 | Gene | gene | CD4
38170159 | @GENE_BACH2 | Bach2 | 953 | 21 | Gene | gene | BTB and CNC homolog 2
38170159 | @GENE_IRF4 | Irf4 | 987 | 4 | Gene | gene | Irf4
38170159 | @GENE_IRF4 | Irf4 | 1251 | 4 | Gene | gene | IRF4
38170159 | @GENE_IRF4 | Irf4 | 1381 | 4 | Gene | gene | IRF4
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 76 | 22 | Disease | disease | Visceral leishmaniasis
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 132 | 22 | Disease | disease | Visceral Leishmaniasis
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 156 | 2 | Disease | disease | VL
38196838 | @DISEASE_Neglected_Diseases | Neglected Diseases | 165 | 26 | Disease | disease | neglected tropical disease
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 389 | 2 | Disease | disease | VL
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 427 | 39 | Disease | disease | post kala azar dermatitis leishmaniasis
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 468 | 4 | Disease | disease | PKDL
38196838 | @DISEASE_HIV_Infections | HIV Infections | 478 | 18 | Disease | disease | HIV-VL co-infected
38196838 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1328 | 8 | Disease | disease | toxicity
38196838 | @GENE_TLR4 | TLR4 | 1524 | 5 | Gene | gene | TLR-4
38196838 | @DISEASE_Leishmaniasis_Visceral | Leishmaniasis Visceral | 2307 | 2 | Disease | disease | VL
38415261 | @DISEASE_Neoplasms | Neoplasms | 947 | 6 | Disease | disease | cancer
38415261 | @GENE_APP | APP | 996 | 9 | Gene | gene | alphabeta
38415261 | @GENE_APP | APP | 1231 | 9 | Gene | gene | alphabeta
38570827 | @GENE_THY1 | Thy1 | 17 | 5 | Gene | gene | Thy-1
38570827 | @DISEASE_Lymphoma | Lymphoma | 56 | 8 | Disease | disease | lymphoma
38570827 | @DISEASE_Leukemia | Leukemia | 65 | 8 | Disease | disease | leukemia
38570827 | @GENE_ITGAM | Itgam | 98 | 5 | Gene | gene | CD11b
38570827 | @GENE_HAMP2 | Hamp2 | 108 | 5 | Gene | gene | Hamp2
38570827 | @GENE_TCL1A | TCL1A | 134 | 4 | Gene | gene | TCL1
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 181 | 28 | Disease | disease | chronic lymphocytic leukemia
38570827 | @GENE_TCL1A | TCL1A | 224 | 4 | Gene | gene | TCL1
38570827 | @GENE_ZAP70 | ZAP70 | 229 | 5 | Gene | gene | ZAP70
38570827 | @GENE_CD5 | CD5 | 235 | 3 | Gene | gene | CD5
38570827 | @GENE_CD5 | CD5 | 255 | 3 | Gene | gene | CD5
38570827 | @GENE_BCR | BCR | 269 | 3 | Gene | gene | BCR
38570827 | @GENE_ZAP70 | Zap70 | 294 | 5 | Gene | gene | ZAP70
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 313 | 5 | Disease | disease | U-CLL
38570827 | @GENE_TCL1A | TCL1A | 328 | 4 | Gene | gene | TCL1
38570827 | @GENE_TCL1 | Tcl1 | 350 | 4 | Gene | gene | TCL1
38570827 | @GENE_TCL1 | Tcl1 | 356 | 5 | Gene | gene | TCL1A
38570827 | @DISEASE_275350 | 275350 | 408 | 2 | Disease | disease | TC
38570827 | @GENE_THY1 | Thy1 | 449 | 5 | Gene | gene | Thy-1
38570827 | @GENE_CD5 | Cd5 | 557 | 3 | Gene | gene | CD5
38570827 | @GENE_CD5 | Cd5 | 601 | 3 | Gene | gene | CD5
38570827 | @GENE_CD5 | Cd5 | 634 | 3 | Gene | gene | CD5
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 655 | 12 | Disease | disease | CLL/lymphoma
38570827 | @GENE_ITGAM | Itgam | 694 | 5 | Gene | gene | CD11b
38570827 | @DISEASE_275350 | 275350 | 703 | 2 | Disease | disease | TC
38570827 | @GENE_ZAP70 | Zap70 | 706 | 5 | Gene | gene | ZAP70
38570827 | @GENE_CD5 | Cd5 | 712 | 3 | Gene | gene | CD5
38570827 | @DISEASE_275350 | 275350 | 720 | 2 | Disease | disease | TC
38570827 | @GENE_ZAP70 | Zap70 | 723 | 5 | Gene | gene | ZAP70
38570827 | @GENE_CD5 | Cd5 | 729 | 3 | Gene | gene | CD5
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 810 | 3 | Disease | disease | CLL
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 818 | 5 | Disease | disease | U-CLL
38570827 | @GENE_ZAP70 | Zap70 | 832 | 5 | Gene | gene | ZAP70
38570827 | @GENE_CD5 | Cd5 | 838 | 3 | Gene | gene | CD5
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 876 | 5 | Disease | disease | U-CLL
38570827 | @DISEASE_Neoplasms | Neoplasms | 975 | 5 | Disease | disease | tumor
38570827 | @GENE_TBX21 | TBX21 | 995 | 5 | Gene | gene | T-bet
38570827 | @GENE_ITGAX | ITGAX | 1001 | 5 | Gene | gene | CD11c
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1135 | 3 | Disease | disease | CLL
38570827 | @DISEASE_Leukemia_B_Cell | Leukemia B-Cell | 1157 | 16 | Disease | disease | ATA B cell tumor
38570827 | @GENE_CD38 | CD38 | 1180 | 4 | Gene | gene | CD38
38570827 | @GENE_CD44 | CD44 | 1186 | 4 | Gene | gene | CD44
38570827 | @GENE_AICDA | AICDA | 1210 | 3 | Gene | gene | AID
38570827 | @GENE_CD180 | CD180 | 1230 | 5 | Gene | gene | CD180
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1262 | 5 | Disease | disease | U-CLL
38570827 | @GENE_WNT10B | Wnt10b | 1314 | 6 | Gene | gene | Wnt10b
38570827 | @DISEASE_275350 | 275350 | 1322 | 2 | Disease | disease | TC
38570827 | @DISEASE_Neoplasms | Neoplasms | 1381 | 5 | Disease | disease | tumor
38570827 | @DISEASE_275350 | 275350 | 1390 | 2 | Disease | disease | TC
38570827 | @GENE_ZAP70 | Zap70 | 1393 | 5 | Gene | gene | ZAP70
38570827 | @GENE_CD5 | Cd5 | 1399 | 3 | Gene | gene | CD5
38570827 | @DISEASE_275350 | 275350 | 1407 | 2 | Disease | disease | TC
38570827 | @GENE_ZAP70 | Zap70 | 1410 | 5 | Gene | gene | ZAP70
38570827 | @GENE_CD5 | Cd5 | 1416 | 3 | Gene | gene | CD5
38570827 | @GENE_NFKB1 | Nfkb1 | 1432 | 6 | Gene | gene | NF-kB1
38570827 | @GENE_ITGAM | Itgam | 1477 | 5 | Gene | gene | CD11b
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1548 | 12 | Disease | disease | CLL/lymphoma
38570827 | @GENE_ZAP70 | Zap70 | 1640 | 5 | Gene | gene | ZAP70
38570827 | @DISEASE_Ataxia_Telangiectasia | Ataxia Telangiectasia | 1678 | 11 | Disease | disease | ATA B tumor
38570827 | @DISEASE_Neoplasms | Neoplasms | 1715 | 5 | Disease | disease | tumor
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 1753 | 3 | Disease | disease | CLL
38570827 | @GENE_ITGAM | Itgam | 1777 | 5 | Gene | gene | CD11b
38570827 | @GENE_CD22 | Cd22 | 1783 | 4 | Gene | gene | CD22
38570827 | @GENE_CD24A | Cd24a | 1791 | 4 | Gene | gene | CD24
38570827 | @GENE_HAMP | Hamp | 1806 | 8 | Gene | gene | hepcidin
38570827 | @GENE_HAMP2 | Hamp2 | 1815 | 5 | Gene | gene | Hamp2
38570827 | @CHEMICAL_Iron | Iron | 1828 | 4 | Chemical | chemical | iron
38570827 | @DISEASE_Neoplasms | Neoplasms | 1903 | 7 | Disease | disease | cancers
38570827 | @GENE_HAMP | Hamp | 1950 | 8 | Gene | gene | hepcidin
38570827 | @GENE_HAMP | Hamp | 1983 | 8 | Gene | gene | hepcidin
38570827 | @CHEMICAL_Iron | Iron | 1993 | 4 | Chemical | chemical | iron
38570827 | @DISEASE_Neoplasms | Neoplasms | 2004 | 5 | Disease | disease | tumor
38570827 | @DISEASE_Colonic_Neoplasms | Colonic Neoplasms | 2138 | 11 | Disease | disease | colon tumor
38570827 | @DISEASE_Neoplasms | Neoplasms | 2209 | 5 | Disease | disease | tumor
38570827 | @GENE_ITGAM | Itgam | 2230 | 5 | Gene | gene | CD11b
38570827 | @DISEASE_Leukemia | Leukemia | 2244 | 8 | Disease | disease | leukemia
38570827 | @DISEASE_Leukemia_Lymphocytic_Chronic_B_Cell | Leukemia Lymphocytic Chronic B-Cell | 2253 | 3 | Disease | disease | CLL
38570827 | @DISEASE_Neoplasms | Neoplasms | 2271 | 15 | Disease | disease | lymphoma cancer
38570827 | @GENE_HAMP | Hamp | 2292 | 8 | Gene | gene | hepcidin
38570827 | @GENE_HAMP2 | Hamp2 | 2309 | 5 | Gene | gene | Hamp2
38570827 | @CHEMICAL_Iron | Iron | 2351 | 4 | Chemical | chemical | iron
38576241 | @GENE_BMP2 | Bmp2 | 68 | 5 | Gene | gene | BMP-2
38576241 | @GENE_CXCR4 | Cxcr4 | 78 | 5 | Gene | gene | CXCR4
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 98 | 12 | Disease | disease | osteoporosis
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 112 | 12 | Disease | disease | Osteoporosis
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 126 | 2 | Disease | disease | OP
38576241 | @DISEASE_Bone_Diseases | Bone Diseases | 146 | 12 | Disease | disease | bone disease
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 253 | 2 | Disease | disease | OP
38576241 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 291 | 8 | Disease | disease | toxicity
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 438 | 2 | Disease | disease | OP
38576241 | @GENE_BMP2 | Bmp2 | 529 | 5 | Gene | gene | BMP-2
38576241 | @GENE_CXCR4 | Cxcr4 | 535 | 5 | Gene | gene | CXCR4
38576241 | @GENE_BMP2 | Bmp2 | 552 | 5 | Gene | gene | BMP-2
38576241 | @GENE_CXCR4 | Cxcr4 | 558 | 5 | Gene | gene | CXCR4
38576241 | @GENE_BMP2 | Bmp2 | 575 | 5 | Gene | gene | BMP-2
38576241 | @GENE_CXCR4 | Cxcr4 | 585 | 5 | Gene | gene | CXCR4
38576241 | @GENE_BMP2 | Bmp2 | 694 | 5 | Gene | gene | BMP-2
38576241 | @GENE_CXCR4 | Cxcr4 | 700 | 5 | Gene | gene | CXCR4
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 720 | 2 | Disease | disease | OP
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 986 | 2 | Disease | disease | OP
38576241 | @DISEASE_Osteoporosis | Osteoporosis | 1187 | 2 | Disease | disease | OP
38630814 | @GENE_CXCR4 | CXCR4 | 790 | 5 | Gene | gene | CXCR4
38630814 | @DISEASE_Brain_Ischemia | Brain Ischemia | 838 | 17 | Disease | disease | cerebral ischemia
38630814 | @DISEASE_Infarction | Infarction | 885 | 7 | Disease | disease | infarct
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 0 | 12 | Chemical | chemical | Icariside II
38631668 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 24 | 18 | Chemical | chemical | lipopolysaccharide
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 51 | 17 | Disease | disease | acute lung injury
38631668 | @DISEASE_Neoplasms_Glandular_and_Epithelial | Neoplasms Glandular and Epithelial | 83 | 15 | Disease | disease | lung epithelial
38631668 | @DISEASE_Inflammation | Inflammation | 99 | 12 | Disease | disease | inflammatory
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 183 | 17 | Disease | disease | Acute lung injury
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 202 | 3 | Disease | disease | ALI
38631668 | @DISEASE_Lung_Diseases | Lung Diseases | 229 | 12 | Disease | disease | lung disease
38631668 | @DISEASE_Inflammation | Inflammation | 259 | 12 | Disease | disease | inflammatory
38631668 | @DISEASE_Neoplasms_Glandular_and_Epithelial | Neoplasms Glandular and Epithelial | 294 | 15 | Disease | disease | lung epithelial
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 318 | 12 | Chemical | chemical | Icariside II
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 332 | 6 | Chemical | chemical | ICS II
38631668 | @DISEASE_Inflammation | Inflammation | 409 | 12 | Disease | disease | inflammatory
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 489 | 6 | Chemical | chemical | ICS II
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 499 | 3 | Disease | disease | ALI
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 626 | 6 | Chemical | chemical | ICS II
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 636 | 3 | Disease | disease | ALI
38631668 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 728 | 18 | Chemical | chemical | lipopolysaccharide
38631668 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 748 | 3 | Chemical | chemical | LPS
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 761 | 3 | Disease | disease | ALI
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 963 | 6 | Chemical | chemical | ICS II
38631668 | @DISEASE_Lung_Diseases | Lung Diseases | 992 | 29 | Disease | disease | lung histopathological damage
38631668 | @DISEASE_Edema | Edema | 1023 | 5 | Disease | disease | edema
38631668 | @DISEASE_Inflammation | Inflammation | 1034 | 12 | Disease | disease | inflammatory
38631668 | @DISEASE_Inflammation | Inflammation | 1085 | 12 | Disease | disease | inflammatory
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 1111 | 3 | Disease | disease | ALI
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 1211 | 3 | Disease | disease | ALI
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 1266 | 6 | Chemical | chemical | ICS II
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 1314 | 6 | Chemical | chemical | ICS II
38631668 | @GENE_CXCR4 | CXCR4 | 1374 | 31 | Gene | gene | C-X-C chemokine receptor type 4
38631668 | @GENE_CXCR4 | CXCR4 | 1407 | 5 | Gene | gene | CXCR4
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 1440 | 6 | Chemical | chemical | ICS II
38631668 | @GENE_CGAS | Cgas | 1530 | 4 | Gene | gene | cGAS
38631668 | @GENE_TMEM173 | Tmem173 | 1535 | 5 | Gene | gene | STING
38631668 | @GENE_NFKB1 | Nfkb1 | 1541 | 9 | Gene | gene | NF-kappaB
38631668 | @DISEASE_Inflammation | Inflammation | 1585 | 12 | Disease | disease | inflammatory
38631668 | @DISEASE_Neoplasms_Glandular_and_Epithelial | Neoplasms Glandular and Epithelial | 1619 | 15 | Disease | disease | lung epithelial
38631668 | @CHEMICAL_baohuoside_I | baohuoside I | 1682 | 6 | Chemical | chemical | ICS II
38631668 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1703 | 3 | Chemical | chemical | LPS
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 1715 | 3 | Disease | disease | ALI
38631668 | @DISEASE_Inflammation | Inflammation | 1737 | 12 | Disease | disease | inflammatory
38631668 | @DISEASE_Acute_Lung_Injury | Acute Lung Injury | 1812 | 3 | Disease | disease | ALI
8799160 | @GENE_IFNG | Ifng | 351 | 16 | Gene | gene | interferon gamma
8799160 | @GENE_PSMB9 | Psmb9 | 395 | 38 | Gene | gene | low molecular mass polypeptide (LMP) 2
8799160 | @GENE_PSMB8 | Psmb8 | 438 | 4 | Gene | gene | LMP7
8799160 | @GENE_PSMB10 | PSMB10 | 452 | 5 | Gene | gene | MECL1
