37919427 | Negative_Correlation | Neoplasms | CD274
9224818 | Association | Dextran Sulfate | ITIH4
9224818 | Negative_Correlation | Dextran Sulfate | p.N293D
10392962 | Association | CXCR4 | CD34
12729474 | Association | Hypothyroidism | CD8A
12729474 | Association | CD8A | TNFRSF8
12729474 | Association | Hashimoto Disease | CD4
12729474 | Association | Graves Disease | TNFRSF8
12729474 | Association | Hashimoto Disease | CD8A
12729474 | Association | Hashimoto Disease | TNFRSF8
12729474 | Association | Graves Disease | CD4
12729474 | Association | Graves Disease | CD8A
12729474 | Negative_Correlation | Hypothyroidism | TNFRSF8
12729474 | Association | Thyroiditis Autoimmune | TNFRSF8
12729474 | Association | CD4 | TNFRSF8
12729474 | Association | Thyroid Crisis | CCR5
12729474 | Association | Graves Disease | CCR5
12801524 | Association | LAD1 | CXCR4
12801524 | Association | Leukemia | KITLG
12801524 | Association | LAD1 | CD14
12801524 | Association | Mast Cell Activation Disorders | FCGR1A
12801524 | Association | FCER1A | LAD1
12801524 | Association | KITLG | CXCR4
12801524 | Association | CCR5 | LAD1
12801524 | Association | LAD1 | KITLG
12801524 | Association | Mast Cell Activation Disorders | KITLG
12801524 | Association | Histamine | LAD1
12801524 | Association | LAD1 | CD9
12801524 | Association | Leukemia | LAD1
12801524 | Association | Mast-Cell Sarcoma | FCER1A
12801524 | Association | Mast Cell Activation Disorders | FCER1A
12801524 | Association | FCGR1A | KITLG
12801524 | Association | Mast Cell Activation Disorders | CXCR4
12801524 | Association | Mast Cell Activation Disorders | LAD1
12801524 | Association | LAD1 | PTPRC
12801524 | Association | FCGR2A | LAD1
12801524 | Association | Mast-Cell Sarcoma | KITLG
12801524 | Association | LAD1 | PECAM1
12801524 | Association | LAD1 | TFRC
12801524 | Association | Mast-Cell Sarcoma | LAD1
12801524 | Association | ANPEP | LAD1
12801524 | Association | FCGR1A | LAD1
12801524 | Association | CCR5 | KITLG
12801524 | Association | KIT | KITLG
12801524 | Association | FCER1A | KITLG
12801524 | Association | ITGAE | LAD1
12801524 | Positive_Correlation | OGA | FCGR1A
12801524 | Association | LAD1 | CD4
12801524 | Positive_Correlation | OGA | FCER1A
12801524 | Association | Mast-Cell Sarcoma | FCGR1A
12801524 | Association | Mast Cell Activation Disorders | CCR5
12801524 | Positive_Correlation | OGA | LAD1
12801524 | Association | IL2RG | LAD1
12801524 | Association | Leukemia | FCGR1A
12801524 | Association | LAD1 | CD22
16918819 | Positive_Correlation | CD8A | TNFRSF8
16918819 | Positive_Correlation | CTLA4 | CD4
16918819 | Positive_Correlation | B3GAT1 | CD4
16918819 | Negative_Correlation | CD4 | CD28
16918819 | Association | Granulomatosis with Polyangiitis | CD4
16918819 | Association | Granulomatosis with Polyangiitis | CTLA4
16918819 | Positive_Correlation | CTLA4 | CD8A
16918819 | Positive_Correlation | CCR5 | CD4
16918819 | Negative_Correlation | CD8A | CD28
16918819 | Positive_Correlation | TNFRSF9 | CD8A
16918819 | Positive_Correlation | TNFSF9 | CD8A
16918819 | Positive_Correlation | TNFRSF4 | CD8A
16918819 | Association | Granulomatosis with Polyangiitis | CD8A
17302896 | Association | Diabetes Mellitus Type 1 | TNFRSF8
19223489 | Association | Infections | CD4
19740335 | Bind | CCR5 | CCL5
19740335 | Association | Arthritis Rheumatoid | CCR5
19740335 | Association | Arthritis Rheumatoid | CCL5
19740335 | Negative_Correlation | Rituximab | KRT20
21180278 | Association | Lupus Erythematosus Systemic | IL10RA
21180278 | Association | Lupus Erythematosus Systemic | CCR8
21180278 | Association | Lupus Erythematosus Systemic | CXCR3
21180278 | Association | Lupus Erythematosus Systemic | CCR5
21180278 | Positive_Correlation | Lupus Erythematosus Systemic | CX3CR1
21180278 | Association | Lupus Erythematosus Systemic | CXCR5
21289125 | Positive_Correlation | ITIH4 | CD4
21289125 | Negative_Correlation | Maraviroc | CCR5
21289125 | Negative_Correlation | ibalizumab | CD4
21289125 | Negative_Correlation | ibalizumab | HIV Infections
22316480 | Bind | CCR5 | CCL5
22316480 | Bind | CCR5 | CCL3
22316480 | Bind | CCR5 | CCL4
26668134 | Cotreatment | Lenalidomide | Dexamethasone
26668134 | Negative_Correlation | Dexamethasone | Smoldering Multiple Myeloma
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | IFNG
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | CD28
26668134 | Association | Smoldering Multiple Myeloma | TNFRSF1B
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | IL2
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | CCR5
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | IL2RA
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | TNF
26668134 | Negative_Correlation | Lenalidomide | Smoldering Multiple Myeloma
26668134 | Association | Smoldering Multiple Myeloma | IFNGR1
26668134 | Negative_Correlation | Smoldering Multiple Myeloma | ICAM1
27608299 | Negative_Correlation | AG 127 | Arthritis Rheumatoid
27608299 | Negative_Correlation | Tyrphostins | Inflammation
27608299 | Negative_Correlation | Tyrphostins | Arthritis
27608299 | Negative_Correlation | AG 127 | Fcer2a
27608299 | Association | Arthritis Rheumatoid | Foxp3
27608299 | Negative_Correlation | AG 127 | Cd2
27608299 | Negative_Correlation | Tyrphostins | Arthritis Rheumatoid
27608299 | Negative_Correlation | AG 127 | Il17a
27608299 | Negative_Correlation | AG 127 | Arthritis Psoriatic
27608299 | Association | Arthritis Psoriatic | Il17a
27608299 | Negative_Correlation | AG 127 | Cd4
27608299 | Negative_Correlation | AG 127 | Inflammation
27608299 | Negative_Correlation | AG 127 | Cd86
27608299 | Positive_Correlation | AG 127 | Tnf
27608299 | Negative_Correlation | Arthritis Psoriatic | Il4
27608299 | Negative_Correlation | AG 127 | Edema
27608299 | Negative_Correlation | AG 127 | Ifng
27608299 | Negative_Correlation | AG 127 | Arthritis Experimental
27608299 | Negative_Correlation | AG 127 | Cd247
27608299 | Positive_Correlation | AG 127 | Il4
27608299 | Positive_Correlation | AG 127 | Foxp3
27608299 | Positive_Correlation | Tyrphostins | Foxp3
27608299 | Negative_Correlation | AG 127 | Tcrb
27608299 | Negative_Correlation | AG 127 | Il2rb
27608299 | Negative_Correlation | AG 127 | Tnfrsf18
27608299 | Negative_Correlation | AG 127 | Cd80
27608299 | Negative_Correlation | AG 127 | Il2ra
27608299 | Association | Arthritis Psoriatic | Ifng
27608299 | Positive_Correlation | Arthritis Psoriatic | Tnf
27608299 | Negative_Correlation | AG 127 | Arthritis
27608299 | Negative_Correlation | AG 127 | Ccr5
28963085 | Positive_Correlation | Overweight | IL6
28963085 | Association | Obesity | CCR5
28963085 | Negative_Correlation | Overweight | IL2
28963085 | Association | Overweight | CCR5
28963085 | Association | Pulmonary Disease Chronic Obstructive | IL6
28963085 | Association | Pulmonary Disease Chronic Obstructive | IL2RA
28963085 | Positive_Correlation | Obesity | IL6
28963085 | Negative_Correlation | Pulmonary Disease Chronic Obstructive | IL2
28963085 | Association | Pulmonary Disease Chronic Obstructive | CCR5
28963085 | Association | Obesity | IL2RA
28963085 | Association | Overweight | IL2RA
28963085 | Negative_Correlation | Obesity | IL2
29892279 | Association | FOXP3 | PTPRC
29892279 | Positive_Correlation | Foxp3 | FLT3LG
29892279 | Positive_Correlation | Cd14 | FLT3LG
29892279 | Association | Cxcr4 | Thbd
29892279 | Positive_Correlation | Thbd | Cd40
29892279 | Positive_Correlation | CSF2 | CD4
29892279 | Positive_Correlation | Cd14 | Csf2
29892279 | Positive_Correlation | CSF2 | Foxp3
29892279 | Positive_Correlation | Csf2 | Thbd
29892279 | Positive_Correlation | Cd80 | Csf2
29892279 | Positive_Correlation | Ccr5 | Thbd
29892279 | Positive_Correlation | Cd4 | Csf2
29892279 | Positive_Correlation | Thbd | FLT3LG
29892279 | Positive_Correlation | Cd4 | FLT3LG
29892279 | Positive_Correlation | Cd86 | Thbd
29892279 | Positive_Correlation | Csf2 | Foxp3
37715885 | Association | Multiple Sclerosis | CCR6
37715885 | Negative_Correlation | Natalizumab | CCR5
37715885 | Negative_Correlation | Natalizumab | Multiple Sclerosis
37715885 | Association | Multiple Sclerosis | KLRB1
37715885 | Association | Multiple Sclerosis | CCR5
38385000 | Negative_Correlation | ocrelizumab | CCR5
38385000 | Negative_Correlation | ocrelizumab | CXCR3
38385000 | Association | Multiple Sclerosis Chronic Progressive | CD4
38385000 | Negative_Correlation | ocrelizumab | Multiple Sclerosis Chronic Progressive
38385000 | Negative_Correlation | ocrelizumab | CD8A
38385000 | Negative_Correlation | ocrelizumab | KRT20
38385000 | Association | CCR5 | KRT20
38385000 | Negative_Correlation | ocrelizumab | CD4
38385000 | Negative_Correlation | ocrelizumab | CCR6
38385000 | Association | KRT20 | CD4
38397455 | Association | Obesity | CD4
38397455 | Negative_Correlation | Obesity | PDCD1
38397455 | Association | Obesity | CCR5
38420260 | Association | Acquired Immunodeficiency Syndrome | CD4
38426750 | Bind | ITIH4 | CD4
38426750 | Bind | env | CD4
38426750 | Association | Neurocognitive Disorders | env
38427640 | Association | HIV Infections | CD4
38504093 | Association | Infections | IFNA1
38504093 | Association | CCR5 | CD4
38504093 | Association | HIV Infections | IFNA1
38504093 | Positive_Correlation | CCR5 | IFNA1
38504093 | Association | HIV Infections | CD4
38504093 | Association | IFNA1 | CD4
38504093 | Association | HIV Infections | CCR5
38507500 | Negative_Correlation | tofacitinib | HIV Infections
38507500 | Association | CCR5 | STAT5B
38507500 | Positive_Correlation | STAT5B | CCR2
38507500 | Positive_Correlation | JAK2 | CCR2
38507500 | Association | CCR5 | CD4
38507500 | Negative_Correlation | ruxolitinib | CCR5
38507500 | Negative_Correlation | ruxolitinib | HIV Infections
38507500 | Association | HIV Infections | CD4
38507500 | Association | SGK1 | CCR2
38507500 | Association | HIV Infections | CCR5
38507500 | Association | CCR5 | SGK1
38507500 | Negative_Correlation | tofacitinib | CCR5
38507500 | Positive_Correlation | STAT5A | CCR2
38517294 | Association | Neonatal hemochromatosis | Cxcr5
38567606 | Negative_Correlation | Infections | CXCR4
38567606 | Association | Infections | CCR5
38567606 | Association | CCR5 | CD4
38567606 | Association | Acquired Immunodeficiency Syndrome | CCR5
38580334 | Association | Chemical and Drug Induced Liver Injury | Ifng
38580334 | Association | Cleft Palate Isolated And Mental Retardation | Ifng
38580334 | Negative_Correlation | cenicriviroc | Ccr2
38580334 | Association | Cleft Palate Isolated And Mental Retardation | Nfkb1
38580334 | Association | Chemical and Drug Induced Liver Injury | Cxcl9
38580334 | Positive_Correlation | cyclopropapyrroloindole | Chemical and Drug Induced Liver Injury
38580334 | Association | Chemical and Drug Induced Liver Injury | Ccl2
38580334 | Positive_Correlation | cyclopropapyrroloindole | Liver Failure
38580334 | Association | Chemical and Drug Induced Liver Injury | Ccr2
38580334 | Association | Chemical and Drug Induced Liver Injury | Nfkb1
38580334 | Negative_Correlation | cenicriviroc | Chemical and Drug Induced Liver Injury
38580334 | Association | Cleft Palate Isolated And Mental Retardation | Cxcl9
38580334 | Association | Cleft Palate Isolated And Mental Retardation | Ccl2
38580334 | Association | Cleft Palate Isolated And Mental Retardation | Ccr2
38580334 | Negative_Correlation | cyclopropapyrroloindole | Neoplasms
38585261 | Positive_Correlation | 4-Nitroquinoline-1-oxide | Hyperkeratosis Epidermolytic
38585261 | Positive_Correlation | 4-Nitroquinoline-1-oxide | Retinal Dysplasia
38585261 | Positive_Correlation | 4-Nitroquinoline-1-oxide | Carcinogenesis
38636371 | Positive_Correlation | Sjogren's Syndrome | KLRB1
38636371 | Association | Sjogren's Syndrome | CD4
38636371 | Association | IL22 | CD4
38636371 | Association | IL21 | CD4
38636371 | Association | CX3CR1 | KLRB1
38636371 | Positive_Correlation | IL2RA | KLRB1
38636371 | Association | CCR6 | KLRB1
38636371 | Positive_Correlation | IFNG | CD4
38636371 | Association | IL17A | CD4
38636371 | Association | CXCR3 | KLRB1
38636371 | Positive_Correlation | CCR5 | KLRB1
38636371 | Association | KLRB1 | IL21
38636371 | Positive_Correlation | KLRB1 | CD4
38636371 | Positive_Correlation | IFNG | KLRB1
38636371 | Association | KLRB1 | CCR2
38636371 | Association | IL17A | KLRB1
38636371 | Association | KLRB1 | IL22
38643381 | Positive_Correlation | cenicriviroc | EGR2
38643381 | Negative_Correlation | cenicriviroc | Non-alcoholic Fatty Liver Disease
38643381 | Association | Inflammation | IFNG
38643381 | Association | Crohn Disease | CD4
38643381 | Positive_Correlation | cenicriviroc | MAF
38643381 | Negative_Correlation | cenicriviroc | IFNG
38643381 | Positive_Correlation | cenicriviroc | PRDM1
38643381 | Negative_Correlation | cenicriviroc | Inflammation
38643381 | Negative_Correlation | cenicriviroc | Liver Failure
38643381 | Positive_Correlation | cenicriviroc | IL10
38643381 | Association | Crohn Disease | CCR5
38643381 | Association | Inflammatory Bowel Diseases | CCR5
38643381 | Association | Liver Failure | CCR5
38643381 | Association | Crohn Disease | CCR2
38643381 | Association | Colitis | IL1B
38643381 | Negative_Correlation | cenicriviroc | Weight Loss
38643381 | Negative_Correlation | cenicriviroc | Colitis
38643381 | Negative_Correlation | cenicriviroc | IL17A
38643381 | Negative_Correlation | cenicriviroc | IL1B
38643381 | Association | Inflammatory Bowel Diseases | CCR2
38643381 | Association | Liver Failure | CCR2
38643381 | Association | Liver Cirrhosis | CCR5
38643381 | Association | Colitis | IFNG
38643381 | Positive_Correlation | cenicriviroc | IRF1
38643381 | Association | Inflammation | IL1B
38643381 | Association | Colitis | IL17A
38643381 | Negative_Correlation | cenicriviroc | IL6
38643381 | Negative_Correlation | cenicriviroc | Liver Cirrhosis
38643381 | Association | Liver Cirrhosis | CCR2
38643381 | Negative_Correlation | cenicriviroc | CCR5
38643381 | Positive_Correlation | cenicriviroc | BATF
38643381 | Association | Inflammation | IL17A
38643381 | Association | Inflammation | IL6
38643381 | Negative_Correlation | cenicriviroc | CCR2
8751444 | Association | Infections | CXCR4
8752280 | Negative_Correlation | Infections | CXCL12
8752280 | Association | Infections | CXCR4
8752280 | Association | CXCL12 | CXCR4
8752281 | Negative_Correlation | Infections | CXCL12
8752281 | Negative_Correlation | Infections | CCL5
8752281 | Association | CXCR4 | CD4
8752281 | Positive_Correlation | Cxcr4 | CXCL12
8752281 | Association | Acquired Immunodeficiency Syndrome | CXCL12
8752281 | Negative_Correlation | Infections | CCL3
8752281 | Negative_Correlation | Infections | CCL4
8752281 | Association | CXCL12 | CXCR4
8995702 | Association | CXCR4 | CD4
8995702 | Association | Immunoglobulin G4-Related Disease | CD4
8995702 | Association | Immunoglobulin G4-Related Disease | CXCR4
9024623 | Bind | CXCL12 | CXCR4
9024623 | Bind | CCR5 | CD4
9024623 | Association | ITIH4 | CXCR4
9024623 | Bind | CXCR4 | CD4
9060623 | Bind | CCR5 | CCL5
9060623 | Bind | CCR5 | CCL4
9295051 | Association | Cxcr4 | CD4
9295051 | Association | CXCR4 | CD4
9311827 | Association | Infections | CCR5
9379028 | Positive_Correlation | CXCR4 | CD28
9379028 | Association | NRF1 | CXCR4
9379028 | Association | HIV Infections | CXCR4
9379028 | Positive_Correlation | IL2 | CXCR4
9379028 | Positive_Correlation | Ionomycin | CXCR4
9499113 | Bind | ENPEP | CXCR4
9499113 | Bind | ITIH4 | CXCR4
9499113 | Association | metaperiodate | ENPEP
9499113 | Bind | env | CXCR4
9499113 | Association | metaperiodate | env
9499113 | Association | metaperiodate | CXCR4
9770524 | Association | ITIH4 | CD4
9770524 | Association | Acquired Immunodeficiency Syndrome | CD4
9770524 | Association | CXCL12 | CXCR4
9770524 | Association | FAS | CXCR4
9770524 | Association | FAS | CD4
9770524 | Association | ITIH4 | CXCR4
9770524 | Association | Acquired Immunodeficiency Syndrome | CXCR4
9815249 | Association | Ctla4 | Cd4
9815249 | Negative_Correlation | Ctla4 | Ifng
9815249 | Association | Cd3e | Cd4
9815249 | Association | Leishmaniasis Visceral | Cd80
9815249 | Association | Ctla4 | Cd80
9815249 | Association | Ctla4 | Cd3e
9815249 | Association | Leishmaniasis Visceral | Ctla4
9815249 | Negative_Correlation | Ctla4 | Il4
9815249 | Association | Leishmaniasis Visceral | Cd4
9815249 | Association | Cd4 | Cd80
9815249 | Negative_Correlation | Ctla4 | Il2
10555208 | Association | ITIH4 | CXCR4
10555208 | Association | ITIH4 | CD4
10555208 | Association | CCR5 | ITIH4
10820198 | Negative_Correlation | Neurotoxicity Syndromes | CCL5
10820198 | Bind | CCL5 | CXCR4
10820198 | Bind | CCR5 | CCL4
10820198 | Negative_Correlation | HIV Infections | CCL3
10820198 | Association | HIV Infections | CCR5
10820198 | Association | CCR5 | ITIH4
10820198 | Association | ITIH4 | CXCR4
10820198 | Association | Neuroblastoma | ITIH4
10820198 | Negative_Correlation | HIV Infections | CXCL8
10820198 | Negative_Correlation | Neurotoxicity Syndromes | CXCL8
10820198 | Positive_Correlation | CCL3 | CXCR4
10820198 | Negative_Correlation | CXCL8 | ITIH4
10820198 | Positive_Correlation | Nerve Degeneration | ITIH4
10820198 | Positive_Correlation | Neurotoxicity Syndromes | ITIH4
10820198 | Negative_Correlation | HIV Infections | CCL4
10820198 | Negative_Correlation | Tetradecanoylphorbol Acetate | CXCR4
10820198 | Negative_Correlation | Tetradecanoylphorbol Acetate | ITIH4
10820198 | Bind | CCL4 | CXCR4
10820198 | Negative_Correlation | Tetradecanoylphorbol Acetate | CCR5
10820198 | Negative_Correlation | HIV Infections | CCL5
10820198 | Association | Neuroblastoma | CXCR4
10820198 | Bind | CCR5 | CCL5
10820198 | Bind | CCR5 | CCL3
10820198 | Association | Neurologic Manifestations | ITIH4
10820198 | Association | Neuroblastoma | CCR5
10820198 | Negative_Correlation | ITIH4 | CCL5
16146542 | Association | Leukemia | GZMB
16146542 | Association | Leukemia T-Cell | PTPRC
16146542 | Association | Leukemia | CD38
16146542 | Association | Leukemia | CD40
16146542 | Association | Leukemia | PTPRC
16146542 | Association | Leukemia | CD68
16146542 | Association | Leukemia | IL3RA
16146542 | Association | Leukemia | CLEC4C
16146542 | Association | Leukemia | CXCR4
22133596 | Association | Ileal Neoplasms | CA9
22133596 | Association | Hypoxia Brain | CA9
22133596 | Association | Hypoxia | CXCR4
22133596 | Association | Ileal Neoplasms | CXCR4
22133596 | Association | Hypoxia Brain | CXCR4
22133596 | Association | Hypoxia | CA9
22140264 | Association | Osteosarcoma | CD4
22363634 | Bind | CS | ELANE
22363634 | Bind | ELANE | SERPINA1
23495770 | Association | Carcinoma Renal Cell | CSF3
23495770 | Association | Carcinoma Renal Cell | FOXP3
23495770 | Association | Carcinoma Renal Cell | IL6
23495770 | Association | Carcinoma Renal Cell | CXCL10
23495770 | Association | Carcinoma Renal Cell | KIR2DL1
23495770 | Association | Carcinoma Renal Cell | KIR2DL4
23495770 | Association | Carcinoma Renal Cell | KLRB1
23495770 | Association | Carcinoma Renal Cell | EGF
23495770 | Association | Carcinoma Renal Cell | CXCL8
23495770 | Association | Carcinoma Renal Cell | CXCL11
23495770 | Association | Carcinoma Renal Cell | NELFCD
23495770 | Association | Carcinoma Renal Cell | IL10
23495770 | Association | Carcinoma Renal Cell | FCGR3A
23495770 | Association | Carcinoma Renal Cell | PTPRC
23495770 | Association | Carcinoma Renal Cell | IL4
23495770 | Association | Carcinoma Renal Cell | CD4
23495770 | Association | Carcinoma Renal Cell | IL2RA
23495770 | Association | Carcinoma Renal Cell | HGF
23495770 | Association | Carcinoma Renal Cell | VEGFA
26154172 | Bind | CCR5 | CCL5
26154172 | Negative_Correlation | Infections | CCR5
26154172 | Association | HIV Infections | CCR5
28655090 | Association | Sincalide | Multiple Myeloma
28655090 | Association | Multiple Myeloma | FLT1
28655090 | Negative_Correlation | Dexamethasone | Multiple Myeloma
28655090 | Association | Inflammation | IL6
29221851 | Association | Toxoplasmosis Ocular | CCR5
29221851 | Association | g.59029A>G | Inflammation
29221851 | Positive_Correlation | g.59029A>G | Toxoplasmosis Ocular
29221851 | Association | Communicable Diseases | CCR5
29221851 | Association | #1234# | Inflammation
29221851 | Positive_Correlation | #1234# | Toxoplasmosis Ocular
29221851 | Association | Inflammation | CCR5
30776910 | Negative_Correlation | plerixafor | WHIM syndrome
30776910 | Negative_Correlation | plerixafor | Neoplasms
30776910 | Negative_Correlation | plerixafor | Lymphoma Non-Hodgkin
30776910 | Negative_Correlation | plerixafor | Hepatopulmonary Syndrome
30776910 | Positive_Correlation | plerixafor | CD34
30776910 | Negative_Correlation | plerixafor | Neoplastic Syndromes Hereditary
30776910 | Negative_Correlation | plerixafor | CXCR4
30776910 | Association | CXCL12 | CXCR4
30776910 | Negative_Correlation | plerixafor | Multiple Myeloma
31428524 | Positive_Correlation | CCR5 | PDCD1
31428524 | Association | Liver Diseases | CCL5
31428524 | Association | Neoplasm Metastasis | CCR5
31428524 | Association | Neoplasms | CCL5
31428524 | Association | Liver Diseases | CCR5
31428524 | Bind | CCR5 | CCL5
31428524 | Negative_Correlation | Maraviroc | CCR5
31428524 | Association | Colorectal Neoplasms | CCR5
31428524 | Association | Colorectal Neoplasms | CCL5
31428524 | Positive_Correlation | CCR5 | CTLA4
31428524 | Positive_Correlation | Euthyroid Sick Syndromes | CCR5
31428524 | Association | Neoplasms | CCR5
31428524 | Association | Neoplasms | PDCD1
33047584 | Negative_Correlation | Mitomycin | Colorectal Neoplasms
34744730 | Negative_Correlation | LIT-927 | Lupus Erythematosus Systemic
34744730 | Negative_Correlation | LIT-927 | Cxcl12
34744730 | Association | Lupus Erythematosus Systemic | Cxcr4
34744730 | Association | Inflammation | Cxcl12
34744730 | Association | Inflammation | Cxcr4
34744730 | Association | Lupus Erythematosus Systemic | Cxcl12
34744730 | Positive_Correlation | plerixafor | Ackr3
34744730 | Bind | Cxcr4 | Cxcl12
34744730 | Negative_Correlation | plerixafor | Cxcr4
34744730 | Association | Lupus Erythematosus Systemic | Fas
36815832 | Association | env | CD4
36815832 | Association | env | CXCR4
36815832 | Negative_Correlation | BMS 806 | AD8
36815832 | Association | env | AD8
36815832 | Negative_Correlation | BMS 806 | ERVK-20
36815832 | Negative_Correlation | BMS 806 | env
36815832 | Association | ERVK-20 | CD4
36815832 | Association | ERVK-20 | AD8
36961924 | Negative_Correlation | indoline | env
36961924 | Association | indoline | Drug-Related Side Effects and Adverse Reactions
36961924 | Bind | env | CXCR4
36961924 | Bind | env | CD4
36961924 | Bind | CCR5 | env
36961924 | Bind | ERVK-20 | CXCR4
36961924 | Negative_Correlation | indoline | HIV Infections
36961924 | Bind | ERVK-20 | CCR5
36961924 | Negative_Correlation | BNM-III-170 | indoline
36961924 | Association | Drug-Related Side Effects and Adverse Reactions | CD4
36961924 | Association | ERVK-20 | CD4
36961924 | Association | HIV Infections | env
36961924 | Bind | indoline | CD4
36961924 | Bind | ITIH4 | CD4
37133343 | Negative_Correlation | plerixafor | CD8A
37133343 | Negative_Correlation | plerixafor | Lymphopenia
37133343 | Association | WHIM syndrome | CD8A
37133343 | Negative_Correlation | plerixafor | Cd4
37133343 | Association | Lymphopenia | CD8A
37133343 | Association | CD8 Deficiency Familial | Cxcr4
37133343 | Association | Cxcr4 | Cxcl12
37133343 | Association | Cxcl12 | CD8A
37133343 | Association | WHIM syndrome | Cxcr4
37133343 | Association | WHIM syndrome | CXCR4
37133343 | Negative_Correlation | plerixafor | Cxcr4
37417915 | Association | Pulmonary Disease Chronic Obstructive | Cxcr4
37417915 | Negative_Correlation | astragaloside A | Cxcr4
37417915 | Positive_Correlation | astragaloside A | Il6
37417915 | Negative_Correlation | astragaloside A | Cd4
37417915 | Negative_Correlation | astragaloside A | Pneumonia
37417915 | Negative_Correlation | astragaloside A | Pulmonary Disease Chronic Obstructive
37417915 | Positive_Correlation | astragaloside A | Il1b
37417915 | Positive_Correlation | astragaloside A | Il10
37417915 | Positive_Correlation | astragaloside A | Foxp3
37417915 | Negative_Correlation | astragaloside A | Il17a
37417915 | Positive_Correlation | astragaloside A | Tnf
37696048 | Association | Sugars | env
37696048 | Bind | ERVK-20 | CD4
37696048 | Association | Polysaccharides | ITIH4
37696048 | Association | Carbohydrates | env
37696048 | Bind | ERVK-20 | ITIH4
37696048 | Bind | CCR5 | env
37696048 | Association | Polysaccharides | ERVK-20
37696048 | Bind | env | CXCR4
37696048 | Association | Polysaccharides | env
37696048 | Bind | env | CD4
37696048 | Bind | ERVK-20 | CCR5
37696048 | Bind | ERVK-20 | CXCR4
37762230 | Negative_Correlation | Simufilam | Alzheimer Disease
37762230 | Negative_Correlation | Simufilam | APP
37762230 | Negative_Correlation | Simufilam | Ccr5
37762230 | Association | Ccr5 | FLNA
37762230 | Association | CHRNA7 | FLNA
37762230 | Association | Cxcr4 | FLNA
37762230 | Association | Alzheimer Disease | Ccr5
37762230 | Negative_Correlation | Simufilam | FLNA
37762230 | Association | Cd4 | FLNA
37762230 | Association | Alzheimer Disease | FLNA
37762230 | Association | Inflammation | FLNA
37762230 | Association | Simufilam | Ccl3
37762230 | Association | Alzheimer Disease | TLR4
37762230 | Association | FLNA | TLR4
37762230 | Association | Ccr5 | Ccl3
37762230 | Negative_Correlation | Simufilam | Dementia
