27256105 | Association | Runx2 | Pias1
30031388 | Association | CSF1 | IL5
30031388 | Association | tocotrienol delta | MIR21
30031388 | Association | tocotrienol delta | CERS3
30031388 | Association | tocotrienol delta | IL2
30031388 | Association | MIR21 | TGFA
30031388 | Association | tocotrienol delta | RARA
30031388 | Association | CSF1 | IL15
30031388 | Association | IL24 | IL13
30031388 | Association | IL27 | IL23A
30031388 | Association | CSF1 | IL17A
30031388 | Association | IL27 | NFKB1
30031388 | Association | Hepatitis C Chronic | NFKB1
30031388 | Association | MIR21 | MIR223
30031388 | Association | IL24 | IL12B
30031388 | Association | IL24 | TCF3
30031388 | Association | IL6 | IL12B
30031388 | Association | tocotrienol delta | IL6
30031388 | Negative_Correlation | tocotrienol delta | HSPA14
30031388 | Association | IL18 | MIR223
30031388 | Association | IL15 | IL18
30031388 | Positive_Correlation | tocotrienol delta | IFNG
30031388 | Association | IL6 | NFKB1
30031388 | Association | TCF3 | IL32
30031388 | Association | STAT2 | TGFA
30031388 | Association | IL6 | STAT2
30031388 | Association | IL24 | MIR223
30031388 | Association | IL13 | MIR21
30031388 | Association | MIR223 | STAT2
30031388 | Association | IL24 | IL15
30031388 | Association | IL6 | IL18
30031388 | Association | IL17A | NFKB1
30031388 | Association | MIR155 | STAT2
30031388 | Association | tocotrienol delta | IL21
30031388 | Association | NOX1 | STAT2
30031388 | Association | Hepatitis C Chronic | IL2
30031388 | Association | Hepatitis C Chronic | IL24
30031388 | Association | Hepatitis C Chronic | IL5
30031388 | Association | IL24 | IL18
30031388 | Association | CSF1 | NFKB1
30031388 | Association | IL5 | MIR155
30031388 | Association | IL5 | IL32
30031388 | Association | tocotrienol delta | IL27
30031388 | Association | IL5 | IL17A
30031388 | Association | tocotrienol delta | EIF2S1
30031388 | Association | IL2 | MIR21
30031388 | Association | IL2 | IL23A
30031388 | Association | IL27 | TGFA
30031388 | Association | IL27 | IL13
30031388 | Association | IL27 | IL32
30031388 | Association | IL5 | TGFA
30031388 | Association | tocotrienol delta | STAT2
30031388 | Association | IL12B | IL15
30031388 | Association | Hepatitis C Chronic | IL17A
30031388 | Association | MIR21 | NFKB1
30031388 | Association | Hepatitis C Chronic | MIR223
30031388 | Association | tocotrienol delta | IL13
30031388 | Association | IL23A | TCF3
30031388 | Association | IL27 | MIR223
30031388 | Association | IL15 | TGFA
30031388 | Association | TGFA | IL32
30031388 | Association | tocotrienol delta | IL12B
30031388 | Association | NFKB1 | TCF3
30031388 | Association | CSF1 | IL2
30031388 | Association | IL5 | TCF3
30031388 | Association | NOX1 | MIR21
30031388 | Negative_Correlation | tocotrienol delta | VEGFA
30031388 | Negative_Correlation | tocotrienol delta | GPR65
30031388 | Association | tocotrienol delta | CSF1
30031388 | Association | IL27 | TCF3
30031388 | Association | tocotrienol delta | TGFA
30031388 | Association | IL12B | MIR155
30031388 | Association | MIR155 | IL23A
30031388 | Association | CSF1 | IL32
30031388 | Association | tocotrienol delta | MIR155
30031388 | Association | IL5 | IL13
30031388 | Association | IL18 | STAT2
30031388 | Association | IL24 | NFKB1
30031388 | Negative_Correlation | tocotrienol delta | EIF3F
30031388 | Association | IL12B | NFKB1
30031388 | Association | IL13 | IL15
30031388 | Association | IL5 | IL12B
30031388 | Association | IL27 | MIR21
30031388 | Association | IL18 | MIR155
30031388 | Association | NFKB1 | IL32
30031388 | Association | tocotrienol delta | PPARG
30031388 | Association | tocotrienol delta | PPARA
30031388 | Association | IL24 | STAT2
30031388 | Association | IL5 | STAT2
30031388 | Association | IL15 | MIR223
30031388 | Association | IL2 | IL12B
30031388 | Association | IL17A | MIR223
30031388 | Association | IL24 | MIR155
30031388 | Association | IL27 | IL12B
30031388 | Association | NOX1 | IL12B
30031388 | Association | CSF1 | TCF3
30031388 | Association | IL13 | IL23A
30031388 | Association | IL15 | NFKB1
30031388 | Association | IL15 | STAT2
30031388 | Association | tocotrienol delta | IL18
30031388 | Association | IL5 | NFKB1
30031388 | Association | IL12B | MIR21
30031388 | Association | Hepatitis C Chronic | TGFA
30031388 | Negative_Correlation | tocotrienol delta | PIAS1
30031388 | Association | IL2 | IL18
30031388 | Association | IL18 | NFKB1
30031388 | Association | IL2 | IL17A
30031388 | Association | MIR155 | MIR21
30031388 | Association | IL12B | IL17A
30031388 | Association | Hepatitis C Chronic | IL23A
30031388 | Association | NOX1 | IL18
30031388 | Association | NOX1 | IL17A
30031388 | Association | NOX1 | IL15
30031388 | Association | CSF1 | IL13
30031388 | Association | IL23A | TGFA
30031388 | Association | IL24 | TGFA
30031388 | Association | NOX1 | IL5
30031388 | Association | IL13 | NFKB1
30031388 | Negative_Correlation | tocotrienol delta | SFPQ
30201051 | Association | Autism Spectrum Disorder | TSC2
30201051 | Association | Self Mutilation | TSC2
30201051 | Association | Learning Disabilities | TSC2
30201051 | Association | Tuberous Sclerosis 1 | TSC2
30201051 | Association | Pediatric acute-onset neuropsychiatric syndrome | TSC2
30201051 | Association | Intellectual Disability | TSC2
30201051 | Association | Neurologic Manifestations | TSC2
30412405 | Association | Aldehydes | beta-Lactams
31786976 | Positive_Correlation | 2-Chloroadenosine | CDKN1B
31786976 | Negative_Correlation | Adenosine | Neointima
31786976 | Negative_Correlation | 2-Chloroadenosine | AKT1
31786976 | Association | AKT1 | CCND1
31786976 | Negative_Correlation | 2-Chloroadenosine | Hyperplasia
31786976 | Negative_Correlation | 2-Chloroadenosine | CCND1
31786976 | Positive_Correlation | Cyclic AMP | 2-Chloroadenosine
31786976 | Positive_Correlation | 2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine | IGKV2D-29
31786976 | Association | CDKN1B | SKP2
31786976 | Negative_Correlation | 2-Chloroadenosine | SKP2
31786976 | Association | Adenosine | ADK
31786976 | Association | 5-iodotubercidin | Adenosine
31786976 | Negative_Correlation | 5-iodotubercidin | ADK
31786976 | Association | Adenosine | ADA
31786976 | Negative_Correlation | 2-Chloroadenosine | KIT
33643791 | Negative_Correlation | Ischemia | Nid1
33643791 | Association | Hypoxia | Nid1
33643791 | Negative_Correlation | Fibrosis | Nid1
34537242 | Association | H2BC21 | PIAS1
34537242 | Association | SH2D1A | PIAS1
34537242 | Association | H2AZ1 | PIAS1
36216795 | Association | Neoplasms | SMARCA2
36216795 | Negative_Correlation | SMARCA2 | VHL
36216795 | Bind | SMARCA2 | SMARCA4
36216795 | Association | Neoplasms | SMARCA4
37272165 | Positive_Correlation | IFNG | TMEM132A
37272165 | Association | IRF1 | TMEM132A
37272165 | Bind | TMEM132A | STAT1
37272165 | Positive_Correlation | IFNG | STAT1
37272165 | Association | IFNG | IRF1
37993889 | Negative_Correlation | Levetiracetam | Cognition Disorders
37993889 | Negative_Correlation | Levetiracetam | Cognitive Dysfunction
37993889 | Negative_Correlation | Levetiracetam | Parkinson Disease
37993889 | Negative_Correlation | Levetiracetam | Memory Disorders
37993889 | Negative_Correlation | Levetiracetam | Dementia
37993889 | Negative_Correlation | Levetiracetam | Conversion Disorder
38389037 | Association | COVID-19 | SLAMF1
38389037 | Association | COVID-19 | TYK2
38389037 | Association | COVID-19 | PRKDC
38389037 | Association | COVID-19 | SYK
38389037 | Association | COVID-19 | IL12B
38389037 | Association | COVID-19 | PRKCD
38389037 | Association | COVID-19 | GRK2
38489266 | Bind | Stat1 | Pias1
38489266 | Association | Neoplasms | Stat1
38489266 | Association | Neoplasms | Pias1
3476226 | Association | Lung Neoplasms | HLA-A
17534855 | Positive_Correlation | abacavir | Drug Hypersensitivity
17534855 | Negative_Correlation | abacavir | HIV Infections
20012975 | Association | Sjogren's Syndrome | SSB
20012975 | Association | Sjogren's Syndrome | TRIM21
21964766 | Association | Neoplasm Metastasis | IRF1
21964766 | Association | Neoplasm Metastasis | HLA-A
21964766 | Association | Neoplasm Metastasis | STAT1
21968657 | Association | HLA-B | IFNA1
21968657 | Association | EIF2AK2 | STAT1
21968657 | Association | Lipopolysaccharides | Tetradecanoylphorbol Acetate
21968657 | Association | Lipopolysaccharides | HLA-B
21968657 | Association | Inflammation | MRAP
21968657 | Association | IFNA1 | STAT1
21968657 | Positive_Correlation | MRAP | STAT1
21968657 | Association | MAPK14 | STAT1
21968657 | Association | Inflammation | STAT1
21968657 | Association | HLA-B | STAT1
21968657 | Positive_Correlation | Lipopolysaccharides | STAT1
22140419 | Association | Diabetes Mellitus Type 1 | PTPN22
22140419 | Association | Diabetes Mellitus Type 1 | IL2RA
22140419 | Association | Diabetes Mellitus Type 1 | CTLA4
22140419 | Association | Diabetes Mellitus Type 1 | HLA-C
23349666 | Association | Rheumatic Diseases | HLA-B
23349666 | Association | Bacterial Infections | HLA-B
23349666 | Association | Infections | STAT1
23349666 | Association | EIF2AK2 | STAT1
23349666 | Association | Spondylitis Ankylosing | HLA-B
23349666 | Association | Infections | HLA-B
23349666 | Association | Arthritis Reactive | EIF2AK2
23349666 | Association | HLA-B | STAT1
23349666 | Association | Bacterial Infections | STAT1
27480135 | Positive_Correlation | Muscular Atrophy | TNF
27480135 | Association | NFKB1 | TNF
27480135 | Positive_Correlation | HLA-A | TNF
27480135 | Positive_Correlation | HLA-C | TNF
27480135 | Association | Cholesterol | Myocardial Infarction
27480135 | Association | MYOG | TNF
27480135 | Positive_Correlation | HLA-B | TNF
27480135 | Association | MYOD1 | TNF
27480135 | Positive_Correlation | HLA-G | TNF
27480135 | Association | Cachexia | TNF
29095668 | Association | PIAS4 | H2AZ2
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | NFE2L2
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | TP53
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | NBN
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | KMT2D
30046007 | Association | Head and Neck Neoplasms | TP53
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | BRIP1
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | FAT1
30046007 | Association | Head and Neck Neoplasms | NSD1
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | TSC2
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | HLA-A
30046007 | Negative_Correlation | Platinum | Squamous Cell Carcinoma of Head and Neck
30046007 | Association | Squamous Cell Carcinoma of Head and Neck | CASP8
30487281 | Association | Neonatal herpes | CD8A
30487281 | Association | Keratitis Herpetic | CD8A
30487281 | Association | Herpesviridae Infections | CD8A
30619313 | Negative_Correlation | MTOR | IL2RB
30619313 | Negative_Correlation | MTOR | STAT5A
30619313 | Positive_Correlation | Sirolimus | GZMB
30619313 | Negative_Correlation | Sirolimus | Cytomegalovirus Infections
30619313 | Negative_Correlation | Sirolimus | MTOR
30619313 | Positive_Correlation | Sirolimus | IFNG
30619313 | Association | MTOR | TRBV20OR9-2
30619313 | Association | Cytomegalovirus Infections | MTOR
31741759 | Positive_Correlation | Breast Neoplasms | NEK3
31741759 | Positive_Correlation | Breast Neoplasms | PIAS3
31741759 | Positive_Correlation | Breast Neoplasms | CYP19A1
31741759 | Positive_Correlation | Breast Neoplasms | PRL
31788121 | Association | C17orf49 | IFNAR2
31788121 | Association | C17orf49 | IL2RA
31788121 | Negative_Correlation | C17orf49 | NFKB1
31788121 | Association | Breast Neoplasms | C17orf49
32393046 | Association | PRKCQ | VEGFA
32393046 | Association | ZEB1 | TRAF1
32393046 | Association | TP53 | VEGFA
32393046 | Association | AKT1 | PDGFRB
32393046 | Association | PRKCQ | AHRR
32393046 | Association | TP53 | XRCC2
32393046 | Association | ZEB1 | ZEB2
32393046 | Association | TREM1 | PRKCQ
32393046 | Association | PDGFRB | TRAF1
32393046 | Association | PRKCQ | TP53
32393046 | Association | TRAF1 | VCAM1
32393046 | Association | TRIAP1 | PRKCQ
32393046 | Association | PDGFRB | XRCC2
32393046 | Association | TRIAP1 | VEGFA
32393046 | Association | TREM1 | TNF
32393046 | Association | YBX2 | TP53
32393046 | Association | AKT1 | VCAM1
32393046 | Association | PRKCQ | ZEB1
32393046 | Association | TREM1 | XRCC2
32393046 | Association | TP53 | TRAF1
32393046 | Association | TNF | TP53
32393046 | Association | VCAM1 | VEGFA
32393046 | Association | TRAF1 | ZEB2
32393046 | Association | TNF | ZEB2
32393046 | Association | YBX2 | TRAF1
32393046 | Association | ZEB1 | TNF
32393046 | Association | TREM1 | TRAF1
32393046 | Association | YBX2 | ZEB1
32393046 | Association | ZEB1 | VEGFA
32393046 | Association | TRIAP1 | TREM1
32393046 | Association | AKT1 | YBX2
32393046 | Association | VEGFA | ZEB2
32393046 | Association | ZEB1 | XRCC2
32393046 | Association | AKT1 | TREM1
32393046 | Association | PDGFRB | TREM1
32393046 | Association | TRIAP1 | ZEB1
32393046 | Association | AKT1 | TP53
32393046 | Association | PRKCQ | XRCC2
32393046 | Association | TNF | VCAM1
32393046 | Association | YBX2 | VEGFA
32393046 | Association | TP53 | VCAM1
32393046 | Association | TNF | TRAF1
32393046 | Association | PDGFRB | ZEB1
32393046 | Association | PRKCQ | ZEB2
32393046 | Association | PDGFRB | PRKCQ
32393046 | Association | PDGFRB | VCAM1
32393046 | Association | XRCC2 | ZEB2
32393046 | Association | YBX2 | XRCC2
32393046 | Association | TRAF1 | VEGFA
32393046 | Association | VCAM1 | XRCC2
32393046 | Association | AKT1 | VEGFA
32393046 | Association | TRIAP1 | TP53
32393046 | Association | PRKCQ | TNF
32393046 | Association | YBX2 | PRKCQ
32393046 | Association | TRIAP1 | XRCC2
32393046 | Association | AKT1 | XRCC2
32393046 | Association | AKT1 | TRAF1
32393046 | Association | AKT1 | TRIAP1
32393046 | Association | PRKCQ | TRAF1
32393046 | Association | TREM1 | TP53
32393046 | Association | AKT1 | PRKCQ
32393046 | Association | PDGFRB | ZEB2
32393046 | Association | YBX2 | PDGFRB
32393046 | Association | VCAM1 | ZEB2
32393046 | Association | ZEB1 | VCAM1
32393046 | Association | TREM1 | ZEB2
32393046 | Association | TREM1 | ZEB1
32393046 | Association | YBX2 | TREM1
32393046 | Association | AHRR | VEGFA
32393046 | Association | YBX2 | TNF
32393046 | Association | YBX2 | VCAM1
32393046 | Association | PRKCQ | VCAM1
32393046 | Association | TRAF1 | XRCC2
32393046 | Association | PDGFRB | VEGFA
32393046 | Association | TREM1 | VEGFA
32393046 | Association | TP53 | ZEB2
32393046 | Association | ZEB1 | TP53
32393046 | Association | TRIAP1 | ZEB2
32393046 | Association | TNF | VEGFA
32393046 | Association | AKT1 | ZEB2
32393046 | Association | AKT1 | ZEB1
32393046 | Association | TRIAP1 | VCAM1
32393046 | Association | TRIAP1 | TRAF1
32393046 | Association | TNF | XRCC2
32393046 | Association | TRIAP1 | TNF
32393046 | Association | VEGFA | XRCC2
32393046 | Association | YBX2 | TRIAP1
32393046 | Association | YBX2 | ZEB2
32393046 | Association | AKT1 | TNF
32393046 | Association | TREM1 | VCAM1
32393046 | Association | TRIAP1 | PDGFRB
32964767 | Association | Lymphoma Extranodal NK-T-Cell | B2M
32964767 | Association | Lymphoma Extranodal NK-T-Cell | PDCD1LG2
32964767 | Association | Lymphoma Extranodal NK-T-Cell | CD274
32964767 | Association | Lymphoma Extranodal NK-T-Cell | TAP1
32964767 | Association | Lymphoma Extranodal NK-T-Cell | HLA-A
33453166 | Association | POLD3 | ATR
33453166 | Association | HFM1 | BLM
33453166 | Association | Alternating hemiplegia of childhood | PIAS4
33453166 | Association | PIAS4 | TERF2
33453166 | Association | Alternating hemiplegia of childhood | BLM
34584159 | Positive_Correlation | IL2 | CD80
34758826 | Association | Colorectal Neoplasms | IFNG
34758826 | Association | Neoplasms | STAT1
34758826 | Association | Colorectal Neoplasms | CD274
34758826 | Positive_Correlation | Bortezomib | STAT1
34758826 | Positive_Correlation | CD274 | STAT1
34758826 | Association | Neoplasms | CD274
35442061 | Association | Diarrhea | KPNA1
35442061 | Association | IFNA1 | KPNA1
35442061 | Association | KPNA1 | STAT1
35672711 | Negative_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | TAGLN
35672711 | Negative_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | AKT1
35672711 | Positive_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | SENP3
35672711 | Association | Triple Negative Breast Neoplasms | EIF4A1
35672711 | Association | Triple Negative Breast Neoplasms | SAPCD1
35672711 | Positive_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | Lupus Erythematosus Systemic
35672711 | Association | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | RAP1A
35672711 | Association | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | IL17A
35672711 | Negative_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | Triple Negative Breast Neoplasms
35672711 | Association | Triple Negative Breast Neoplasms | SENP3
35672711 | Negative_Correlation | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | KISS1
35672711 | Association | Triple Negative Breast Neoplasms | CDRT4
35672711 | Association | 1-(1-(3-(methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone | TNF
35672711 | Association | Triple Negative Breast Neoplasms | AQP3
36298827 | Association | Diarrhea | PROS1
36407092 | Negative_Correlation | obinutuzumab | Lymphoma Non-Hodgkin
36407092 | Negative_Correlation | obinutuzumab | Lymphoma Follicular
36693093 | Association | S | FURIN
36693093 | Association | GBP2 | FURIN
36693093 | Association | GBP2 | S
36693093 | Association | GBP5 | S
36693093 | Association | GBP5 | FURIN
36742975 | Negative_Correlation | COVID-19 | S
36899812 | Positive_Correlation | Carbamazepine | Inflammation
36899812 | Positive_Correlation | Carbamazepine | Stevens-Johnson Syndrome
36899812 | Positive_Correlation | Carbamazepine | NFKB1
36899812 | Association | Necrosis | NFKB1
36899812 | Positive_Correlation | carbamazepine epoxide | NFKB1
36899812 | Association | Carbamazepine | Necrosis
36899812 | Association | Inflammation | ERBB2
36899812 | Association | Inflammation | NFKB1
36899812 | Positive_Correlation | Carbamazepine | Eosinophilia
36899812 | Positive_Correlation | Carbamazepine | Exanthema
36899812 | Positive_Correlation | Carbamazepine | Drug Hypersensitivity
36899812 | Association | Carbamazepine | ERBB2
37478010 | Negative_Correlation | COVID-19 | RNF5
37478010 | Association | ORF3a | RNF5
37521792 | Association | Polysaccharides | TMEM132A
38201275 | Association | Virus Diseases | STAT1
38201275 | Association | Virus Diseases | KPNA1
38201275 | Association | IRF3 | KPNA1
38201275 | Association | KPNA1 | STAT1
38201275 | Association | KPNA1 | NFKB1
9796060 | Association | Acquired Immunodeficiency Syndrome | Pold4
9796060 | Association | Acquired Immunodeficiency Syndrome | Mela
20465573 | Association | IL7 | CD8A
20465573 | Association | FOXP3 | CD8A
20465573 | Association | LAMP1 | CD4
20465573 | Association | IL7 | STAT5A
20465573 | Association | IL2RA | CD8A
20465573 | Association | IL7 | CD4
20465573 | Association | STAT5A | CD8A
20465573 | Association | STAT5A | IL7
20465573 | Association | STAT5A | CD4
22046267 | Association | Arthritis Rheumatoid | BDNF
22238455 | Bind | LCK | CD8A
22238455 | Association | LCK | TRBV20OR9-2
22238455 | Association | IL21 | STAT3
22238455 | Association | IL21 | TRBV20OR9-2
22238455 | Association | LCK | IL21
22238455 | Association | HLA-C | TRBV20OR9-2
22238455 | Association | HLA-C | LCK
22238455 | Association | IL21 | CD8A
